signal,or_bucket,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
BASELINE_every_bar,OR<40%,792,18,50.0,0.09,19.19,30.56,9.22,29.58,-2.9,-7.18,-9.0,39.9,-4.43,26.39,-6.01,111.2
BASELINE_every_bar,40-70%,968,22,50.0,0.1,21.38,31.82,11.67,29.46,-1.67,-6.58,-8.4,36.47,-5.13,26.96,-7.73,114.18
BASELINE_every_bar,>70% of typ range,220,5,50.0,0.12,21.82,37.73,16.36,34.27,2.19,2.96,0.9,39.55,-6.68,28.64,-9.56,104.79
BB_squeeze_break,OR<40%,44,17,59.09,0.09,20.45,31.82,2.27,27.92,0.72,-25.66,-27.47,34.09,-0.81,31.82,-3.9,94.97
BB_squeeze_break,40-70%,58,18,39.66,0.09,29.31,32.76,6.9,25.61,-0.54,-18.28,-20.2,32.76,-11.22,24.14,-9.99,114.69
BB_squeeze_break,>70% of typ range,8,3,100.0,0.19,62.5,87.5,62.5,135.2,74.4,83.48,78.43,87.5,26.57,75.0,32.07,73.42
EMA9x21_trend,OR<40%,41,15,56.1,0.07,21.95,24.39,7.32,27.99,-10.91,-26.11,-28.24,29.27,-12.16,19.51,-13.34,105.27
EMA9x21_trend,40-70%,48,16,45.83,0.06,20.83,27.08,14.58,19.01,-15.62,-27.92,-29.95,18.75,-18.19,16.67,-21.01,106.66
EMA9x21_trend,>70% of typ range,7,4,71.43,0.21,57.14,71.43,42.86,89.58,29.02,14.16,11.56,71.43,17.64,57.14,33.95,106.12
LateBreak_1415,OR<40%,8,8,12.5,0.01,0.0,0.0,0.0,5.13,-61.33,-77.58,-79.69,12.5,-32.98,0.0,-22.57,61.11
LateBreak_1415,40-70%,10,10,50.0,0.13,40.0,40.0,40.0,33.14,94.3,45.25,40.08,30.0,-1.57,40.0,-8.09,64.29
LateBreak_1415,>70% of typ range,3,3,33.33,0.11,100.0,100.0,66.67,129.99,-22.03,-11.06,-19.53,33.33,13.35,66.67,6.01,21.47
MidBreak_1015_1200,OR<40%,11,11,27.27,0.07,9.09,27.27,0.0,21.68,-11.76,5.7,4.05,54.55,4.11,27.27,5.97,125.65
MidBreak_1015_1200,40-70%,15,14,20.0,0.05,13.33,13.33,0.0,13.16,-9.52,-14.42,-15.84,33.33,-9.42,13.33,-5.63,128.74
MidBreak_1015_1200,>70% of typ range,4,4,75.0,0.13,25.0,75.0,25.0,62.09,23.67,29.77,27.87,100.0,22.9,50.0,44.56,108.05
ORB30,OR<40%,21,18,38.1,0.07,23.81,28.57,9.52,20.62,-3.86,-3.21,-4.88,42.86,-2.34,28.57,-3.84,118.96
ORB30,40-70%,26,21,42.31,0.1,11.54,15.38,7.69,26.55,15.17,0.64,-1.57,30.77,-7.73,15.38,-12.16,130.92
ORB30,>70% of typ range,6,5,50.0,0.11,16.67,50.0,16.67,46.45,4.62,-1.07,-2.8,66.67,4.7,33.33,18.93,107.27
ORB30_tight,OR<40%,21,18,38.1,0.07,23.81,28.57,9.52,20.62,-3.86,-3.21,-4.88,42.86,-2.34,28.57,-3.84,118.96
ORB30_tight,40-70%,21,16,42.86,0.09,14.29,14.29,9.52,24.77,16.04,1.47,-0.88,33.33,-9.41,14.29,-14.39,141.41
PDH_PDL,OR<40%,8,8,62.5,0.16,12.5,25.0,0.0,38.09,7.45,8.78,7.15,75.0,5.83,25.0,1.34,119.66
PDH_PDL,40-70%,15,14,53.33,0.11,26.67,26.67,20.0,31.41,0.83,-13.06,-15.31,26.67,-6.47,20.0,-5.64,136.59
PDH_PDL,>70% of typ range,3,2,33.33,0.1,33.33,33.33,33.33,37.87,-14.31,-2.53,-5.78,66.67,12.78,33.33,5.94,92.53
RSI_mom,OR<40%,90,18,44.44,0.08,24.44,30.0,7.78,28.94,-8.37,-23.82,-25.67,34.44,-4.43,27.78,-5.23,106.4
RSI_mom,40-70%,116,22,45.69,0.09,20.69,25.0,9.48,26.8,4.21,-3.53,-5.93,36.21,-8.42,22.41,-10.31,107.41
RSI_mom,>70% of typ range,29,5,62.07,0.14,31.03,51.72,20.69,57.05,-3.65,-9.36,-12.02,41.38,5.8,48.28,0.86,100.31
RangeExp,OR<40%,16,10,31.25,0.07,18.75,18.75,6.25,23.21,-22.66,-34.49,-36.12,18.75,-18.92,12.5,-25.5,119.49
RangeExp,40-70%,15,12,46.67,0.09,26.67,26.67,13.33,24.54,1.65,3.14,-0.03,26.67,-8.29,26.67,-14.51,102.86
RangeExp,>70% of typ range,6,3,83.33,0.34,66.67,83.33,66.67,125.57,49.24,49.89,47.52,83.33,34.66,83.33,49.0,182.34
SessMean_cross,OR<40%,129,16,43.41,0.08,27.91,40.31,13.18,29.35,-8.35,-13.98,-15.92,41.86,-3.66,31.78,-4.13,112.59
SessMean_cross,40-70%,125,19,44.0,0.09,22.4,27.2,8.0,23.77,-8.34,-12.76,-14.85,33.6,-9.79,21.6,-11.22,105.65
SessMean_cross,>70% of typ range,14,5,71.43,0.23,42.86,64.29,42.86,73.78,39.1,49.95,47.7,57.14,13.73,57.14,28.84,105.2
