signal,vol_regime,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
BASELINE_every_bar,high,572,13,50.0,0.11,17.31,27.1,8.74,25.71,-3.78,-9.76,-11.05,36.19,-5.21,23.78,-10.19,150.99
BASELINE_every_bar,low,968,22,50.0,0.09,22.31,34.81,13.43,31.49,-0.14,-2.53,-4.74,39.77,-4.85,28.93,-5.64,97.68
BASELINE_every_bar,mid,440,10,50.0,0.1,20.91,32.05,9.55,32.18,-2.57,-7.64,-9.43,37.27,-5.14,26.59,-6.95,112.96
BB_squeeze_break,high,42,13,40.48,0.09,28.57,30.95,9.52,24.32,7.84,-16.82,-18.54,38.1,-7.0,28.57,-6.04,130.69
BB_squeeze_break,low,42,16,61.9,0.12,35.71,52.38,14.29,54.68,12.17,3.32,0.58,54.76,7.92,47.62,5.59,85.6
BB_squeeze_break,mid,26,9,53.85,0.08,15.38,19.23,0.0,21.64,-9.42,-36.73,-38.42,7.69,-19.71,7.69,-18.29,99.6
EMA9x21_trend,high,34,11,47.06,0.06,20.59,20.59,8.82,17.23,-18.44,-36.17,-37.83,17.65,-12.51,20.59,-15.36,122.6
EMA9x21_trend,low,41,16,51.22,0.07,24.39,34.15,21.95,24.74,-7.41,-14.1,-16.47,36.59,-14.97,19.51,-15.47,102.69
EMA9x21_trend,mid,21,8,61.9,0.1,28.57,33.33,4.76,39.46,-3.01,-23.99,-26.34,23.81,-9.98,23.81,-7.66,96.67
LateBreak_1415,high,3,3,33.33,0.05,0.0,0.0,0.0,17.55,-40.67,-94.56,-95.4,0.0,-31.37,0.0,-40.14,141.41
LateBreak_1415,low,15,15,33.33,0.07,46.67,46.67,40.0,14.82,40.96,15.74,10.1,26.67,-3.17,40.0,-3.03,50.63
LateBreak_1415,mid,3,3,33.33,0.04,0.0,0.0,0.0,5.12,-35.36,-51.26,-53.53,33.33,-32.64,0.0,-25.87,67.14
MidBreak_1015_1200,high,9,9,55.56,0.1,33.33,55.56,11.11,50.06,13.2,15.29,14.08,66.67,22.8,55.56,45.19,182.63
MidBreak_1015_1200,low,14,13,21.43,0.06,7.14,21.43,0.0,30.91,-9.69,-6.51,-8.37,50.0,-4.46,14.29,-4.02,109.43
MidBreak_1015_1200,mid,7,7,14.29,0.07,0.0,0.0,0.0,7.99,-22.95,-11.56,-13.03,28.57,-21.03,0.0,-27.27,132.75
ORB30,high,13,13,61.54,0.16,23.08,30.77,7.69,38.12,3.88,0.13,-0.95,53.85,4.29,30.77,12.46,182.63
ORB30,low,27,21,48.15,0.09,18.52,25.93,14.81,24.83,20.48,9.54,6.99,40.74,-5.07,22.22,-8.87,110.69
ORB30,mid,13,10,7.69,0.08,7.69,15.38,0.0,20.62,-20.18,-24.36,-25.87,23.08,-10.86,15.38,-15.84,118.58
ORB30_tight,high,11,11,54.55,0.12,18.18,27.27,0.0,38.12,-3.31,-2.04,-3.15,54.55,1.09,27.27,4.0,166.15
ORB30_tight,low,20,15,50.0,0.08,25.0,25.0,20.0,23.22,29.69,15.64,12.83,40.0,-2.64,25.0,-7.62,113.18
ORB30_tight,mid,11,8,9.09,0.07,9.09,9.09,0.0,19.51,-27.41,-29.72,-31.18,18.18,-18.72,9.09,-24.93,118.58
PDH_PDL,high,6,5,33.33,0.15,33.33,33.33,16.67,23.55,2.21,-5.19,-6.33,50.0,2.34,33.33,9.56,187.01
PDH_PDL,low,14,13,71.43,0.11,28.57,35.71,21.43,38.89,3.6,-3.05,-6.04,57.14,6.43,28.57,4.07,114.0
PDH_PDL,mid,6,6,33.33,0.07,0.0,0.0,0.0,24.28,-5.74,-9.9,-11.21,16.67,-19.35,0.0,-28.38,160.58
RSI_mom,high,60,13,36.67,0.08,11.67,13.33,1.67,22.36,-13.7,-29.66,-31.09,28.33,-12.89,13.33,-16.16,140.98
RSI_mom,low,122,22,57.38,0.12,32.79,44.26,18.85,39.54,12.74,6.53,3.78,46.72,3.13,40.16,-0.08,96.19
RSI_mom,mid,53,10,35.85,0.06,15.09,16.98,0.0,17.9,-20.81,-34.75,-36.67,20.75,-15.37,15.09,-12.49,98.61
RangeExp,high,17,10,35.29,0.13,23.53,23.53,11.76,34.99,-22.96,-22.26,-23.57,29.41,-10.19,23.53,-12.34,183.46
RangeExp,low,14,10,57.14,0.1,42.86,50.0,35.71,53.74,37.35,35.01,31.02,42.86,1.55,42.86,-5.55,87.73
RangeExp,mid,6,5,50.0,0.06,16.67,16.67,0.0,15.75,-29.16,-52.85,-54.49,16.67,-11.28,16.67,-7.37,100.69
SessMean_cross,high,75,10,40.0,0.09,22.67,29.33,6.67,24.11,-10.15,-16.39,-17.93,32.0,-5.04,25.33,-5.39,137.67
SessMean_cross,low,107,20,48.6,0.09,27.1,37.38,18.69,29.32,-0.09,2.28,-0.19,46.73,-4.61,30.84,-3.64,95.66
SessMean_cross,mid,86,10,45.35,0.1,27.91,38.37,9.3,29.54,-9.32,-19.92,-21.84,34.88,-7.34,27.91,-8.59,107.84
