regime,signal,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
expiry,BASELINE_every_bar,1980,45,50.0,0.1,20.56,31.97,11.21,30.0,-1.73,-5.76,-7.61,38.18,-5.02,26.92,-7.24,111.42
expiry,BB_squeeze_break,110,38,51.82,0.09,28.18,36.36,9.09,28.99,5.41,-13.83,-15.94,37.27,-4.31,30.91,-4.49,100.93
expiry,EMA9x21,127,37,49.61,0.07,24.41,29.92,11.02,24.11,-10.76,-25.5,-27.52,26.77,-10.71,23.62,-11.39,106.86
expiry,EMA9x21_trend,96,35,52.08,0.07,23.96,29.17,13.54,24.19,-10.35,-24.08,-26.19,27.08,-13.0,20.83,-13.73,106.29
expiry,LateBreak_1415,21,21,33.33,0.05,33.33,33.33,28.57,16.9,18.4,-9.59,-14.06,23.81,-11.41,28.57,-11.59,55.01
expiry,MidBreak_1015_1200,30,29,30.0,0.07,13.33,26.67,3.33,24.31,-5.92,-1.15,-2.72,50.0,-0.15,23.33,5.32,123.86
expiry,ORB15,61,45,39.34,0.09,19.67,24.59,6.56,23.77,4.62,-2.39,-4.25,40.98,-6.13,22.95,-9.04,126.15
expiry,ORB30,53,44,41.51,0.09,16.98,24.53,9.43,24.83,6.43,-1.08,-3.02,39.62,-4.19,22.64,-5.35,122.56
expiry,ORB30_tight,42,34,40.48,0.08,19.05,21.43,9.52,22.64,6.09,-0.87,-2.88,38.1,-5.88,21.43,-9.11,123.25
expiry,PDH_PDL,26,24,53.85,0.11,23.08,26.92,15.38,35.92,1.12,-5.12,-7.3,46.15,-0.46,23.08,-2.15,119.66
expiry,RSI_mom,235,45,47.23,0.09,23.4,30.21,10.21,28.73,-1.58,-12.02,-14.24,36.17,-5.13,27.66,-6.98,106.17
expiry,RSI_rev,101,40,42.57,0.09,15.84,30.69,12.87,28.83,1.0,-3.59,-5.6,34.65,-9.76,24.75,-10.46,113.75
expiry,RangeExp,37,25,45.95,0.11,29.73,32.43,18.92,33.93,-1.14,-5.55,-7.93,32.43,-5.92,29.73,-8.96,112.59
expiry,SessMean_cross,268,40,45.15,0.09,26.12,35.45,12.31,27.0,-5.87,-10.07,-12.1,38.81,-5.61,28.36,-5.72,107.84
non_expiry,BASELINE_every_bar,7478,170,50.0,0.09,23.12,34.26,16.66,29.59,-0.53,-0.16,-2.65,37.62,-5.75,28.19,-5.41,87.84
non_expiry,BB_squeeze_break,322,131,48.45,0.08,32.3,42.24,26.09,32.97,4.05,12.84,9.44,35.71,-5.92,32.3,-3.28,73.19
non_expiry,EMA9x21,493,155,45.03,0.08,25.96,35.7,16.84,28.25,-6.75,-5.66,-8.49,34.08,-7.9,27.79,-8.08,84.22
non_expiry,EMA9x21_trend,382,142,44.5,0.08,26.44,35.6,16.23,27.3,-5.97,-5.98,-8.87,32.98,-7.83,28.01,-8.3,87.42
non_expiry,LateBreak_1415,76,76,61.84,0.16,53.95,64.47,52.63,109.62,46.72,51.78,46.61,53.95,1.71,43.42,2.85,59.04
non_expiry,MidBreak_1015_1200,119,113,47.9,0.07,19.33,30.25,10.92,20.89,-3.53,-4.15,-5.98,33.61,-6.4,27.73,-6.84,104.34
non_expiry,ORB15,229,167,51.53,0.11,24.89,35.37,15.28,26.87,-0.66,0.67,-1.41,40.61,-4.52,29.26,-6.81,114.74
non_expiry,ORB30,214,165,49.53,0.1,24.77,34.11,17.29,24.42,0.19,1.71,-0.47,39.72,-4.26,28.5,-5.72,108.41
non_expiry,ORB30_tight,184,138,51.09,0.1,26.09,34.78,18.48,25.05,2.57,1.83,-0.34,40.22,-2.54,29.89,-4.68,109.36
non_expiry,PDH_PDL,123,113,48.78,0.11,24.39,35.77,17.07,28.62,-8.73,-9.13,-11.05,40.65,-4.86,28.46,-6.24,112.54
non_expiry,RSI_mom,912,168,51.1,0.09,29.17,39.25,22.59,33.05,6.21,14.9,11.58,40.68,-4.15,31.58,-3.57,83.09
non_expiry,RSI_rev,381,138,42.26,0.08,21.78,27.03,15.75,23.34,-9.13,-7.16,-9.85,30.71,-12.58,21.52,-10.39,90.65
non_expiry,RangeExp,128,89,53.12,0.13,43.75,48.44,29.69,49.09,15.65,22.02,18.32,44.53,0.89,41.41,1.59,83.49
non_expiry,SessMean_cross,991,156,47.63,0.07,23.01,33.4,15.54,26.12,-1.37,-1.35,-4.14,34.51,-6.48,27.55,-4.91,82.3
expiry_staticIV,BASELINE_every_bar,1980,45,50.0,0.1,17.27,28.23,10.2,26.71,-2.92,-6.69,-8.54,36.72,-4.55,24.49,-5.39,109.59
expiry_staticIV,BB_squeeze_break,110,38,51.82,0.09,25.45,32.73,7.27,26.88,0.04,-15.61,-17.58,33.64,-3.79,26.36,-2.86,102.13
expiry_staticIV,EMA9x21,127,37,49.61,0.07,18.9,26.77,11.81,22.32,-10.02,-22.55,-24.71,25.98,-10.45,22.05,-11.98,104.23
expiry_staticIV,EMA9x21_trend,96,35,52.08,0.07,19.79,28.12,15.62,24.34,-7.85,-19.94,-22.24,28.12,-11.4,21.88,-12.93,103.5
expiry_staticIV,LateBreak_1415,21,21,33.33,0.05,42.86,42.86,28.57,18.25,13.57,-13.65,-17.82,23.81,-7.75,33.33,-6.11,58.28
expiry_staticIV,MidBreak_1015_1200,30,29,30.0,0.07,13.33,16.67,3.33,16.86,-4.76,-1.95,-3.56,43.33,-7.8,13.33,-5.43,124.26
