signal,n,days,idx_hit30,idx_mfe60_med,p_mfe30_ge50,p_mfe60_ge50,p_mfe60_ge100,mfe60_med,ret30_mean,ret60_mean,ret60_net_mean,p_ret60_pos,bracket_mean,bracket_win,bracket_pts_mean,p0_med
BASELINE_every_bar,1980,45,50.0,0.1,26.67,37.27,16.82,34.89,-1.26,-6.89,-10.27,34.55,-8.46,27.68,-7.27,67.78
BB_squeeze_break,110,38,51.82,0.09,34.55,38.18,17.27,33.91,3.05,-20.85,-25.07,34.55,-7.25,30.91,-3.28,60.38
EMA9x21,127,37,49.61,0.07,29.13,33.86,18.11,24.84,-19.8,-38.57,-43.58,21.26,-14.49,26.77,-7.25,64.49
EMA9x21_trend,96,35,52.08,0.07,28.12,32.29,19.79,24.38,-20.68,-37.96,-43.33,19.79,-17.14,23.96,-8.73,63.96
LateBreak_1415,21,21,33.33,0.05,28.57,28.57,28.57,20.35,51.81,10.36,-8.98,14.29,-27.77,23.81,-7.84,19.18
MidBreak_1015_1200,30,29,30.0,0.07,16.67,33.33,6.67,30.43,-7.1,-0.95,-3.45,50.0,-3.88,23.33,3.21,79.76
ORB15,61,45,39.34,0.09,22.95,27.87,13.11,27.86,8.31,-1.4,-6.27,39.34,-8.35,24.59,-7.69,80.72
ORB30,53,44,41.51,0.09,20.75,30.19,13.21,30.18,10.67,0.45,-4.88,37.74,-8.07,22.64,-5.67,76.46
ORB30_tight,42,34,40.48,0.08,19.05,28.57,11.9,28.17,10.99,1.63,-4.38,35.71,-8.7,23.81,-7.99,79.33
PDH_PDL,26,24,53.85,0.11,34.62,34.62,15.38,35.16,-13.45,-18.15,-23.03,30.77,-3.49,30.77,-1.41,77.35
RSI_mom,235,45,47.23,0.09,28.51,34.47,17.87,34.02,-2.95,-16.81,-22.73,30.64,-9.84,29.79,-5.77,62.36
RSI_rev,101,40,42.57,0.09,22.77,36.63,15.84,32.15,5.28,-1.75,-7.68,33.66,-13.75,26.73,-7.11,73.05
RangeExp,37,25,45.95,0.11,32.43,32.43,27.03,33.76,6.61,-2.62,-11.93,29.73,-14.38,24.32,-10.01,69.12
SessMean_cross,268,40,45.15,0.09,30.6,38.06,20.15,31.36,-6.96,-11.39,-16.39,33.58,-11.83,26.87,-6.17,64.97
