,window,minutes,expiry_var_share_pct,nonexpiry_var_share_pct,expiry_var_per_min_bp,nonexpiry_var_per_min_bp,ratio_expiry_vs_non
0,09:15-09:30,15,10.63,18.1,70.89,120.67,0.59
1,09:30-09:45,15,5.11,6.87,34.09,45.8,0.74
2,09:45-10:15,30,8.01,9.74,26.71,32.48,0.82
3,10:15-11:15,60,9.9,12.87,16.5,21.45,0.77
4,11:15-12:15,60,9.2,10.02,15.33,16.7,0.92
5,12:15-13:15,60,9.26,9.55,15.44,15.91,0.97
6,13:15-14:15,60,13.32,11.17,22.2,18.62,1.19
7,14:15-15:00,45,19.07,11.35,42.38,25.23,1.68
8,15:00-15:15,15,10.85,6.44,72.34,42.93,1.69
9,15:15-15:30,15,4.64,3.88,30.95,25.86,1.2
