date,open,high,low,close
2024-08-19,80680.25,80724.4,80332.65,80424.68
2024-08-20,80722.54,80942.96,80517.95,80802.86
2024-08-21,80667.25,80952.83,80626.38,80905.3
2024-08-22,81207.24,81236.45,80954.02,81053.19
2024-08-23,81165.65,81231.49,80883.26,81086.21
2024-08-26,81388.26,81824.27,81278.44,81698.11
2024-08-27,81815.23,81919.11,81600.51,81711.76
2024-08-28,81779.84,82039.26,81578.32,81785.56
2024-08-29,81822.56,82285.83,81682.78,82134.61
2024-08-30,82637.03,82637.03,82256.02,82365.77
2024-09-02,82725.28,82725.28,82440.93,82559.84
2024-09-03,82652.69,82675.06,82400.76,82555.44
2024-09-04,81845.5,82408.54,81833.69,82352.64
2024-09-05,82469.79,82617.49,82130.44,82201.16
2024-09-06,82171.08,82254.79,80981.93,81183.93
2024-09-09,80973.75,81653.36,80895.05,81559.54
2024-09-10,81768.72,82196.55,81445.3,81921.29
2024-09-11,81928.12,82134.95,81423.14,81523.16
2024-09-12,81930.18,83116.19,81534.29,82962.71
2024-09-13,83091.55,83092.93,82653.22,82890.94
2024-09-16,82985.33,83184.34,82832.82,82988.78
2024-09-17,83084.63,83152.41,82866.68,83079.66
2024-09-18,83037.13,83326.38,82700.63,82948.23
2024-09-19,83359.17,83773.61,83071.66,83184.8
2024-09-20,83603.04,84694.46,83187.64,84544.31
2024-09-23,84651.15,84980.53,84607.38,84928.61
2024-09-24,84860.73,85163.23,84716.07,84914.04
2024-09-25,84836.45,85247.42,84743.04,85169.87
2024-09-26,85167.56,85930.43,85106.74,85836.12
2024-09-27,85893.84,85978.25,85474.58,85571.85
2024-09-30,85208.76,85359.65,84257.14,84299.78
2024-10-01,84257.17,84648.4,84098.94,84266.29
2024-10-03,83002.09,83752.81,82434.02,82497.1
2024-10-04,82244.25,83368.32,81532.68,81688.45
2024-10-07,81926.99,82137.77,80726.06,81050.0
2024-10-08,80826.56,81763.28,80813.07,81634.81
2024-10-09,81954.58,82319.21,81342.89,81467.1
2024-10-10,81832.66,82002.84,81538.94,81611.41
2024-10-11,81478.49,81671.38,81304.15,81381.36
2024-10-14,81576.93,82072.17,81541.2,81973.05
2024-10-15,82101.86,82300.44,81635.57,81820.12
2024-10-16,81646.6,81932.15,81358.26,81501.36
2024-10-17,81758.07,81781.4,80905.64,81006.61
2024-10-18,80749.26,81391.15,80409.25,81224.75
2024-10-21,81770.02,81770.02,80811.23,81151.27
2024-10-22,81155.08,81504.24,80149.53,80220.72
2024-10-23,79921.13,80646.31,79891.68,80081.98
2024-10-24,80098.3,80259.82,79813.02,80065.16
2024-10-25,80187.34,80253.19,79137.98,79402.29
2024-10-28,79653.67,80539.81,79418.82,80005.04
2024-10-29,80037.2,80450.48,79421.35,80369.03
2024-10-30,80237.85,80435.61,79821.99,79942.18
2024-10-31,80044.95,80044.95,79287.93,79389.06
2024-11-01,80023.75,80023.75,79655.55,79724.12
2024-11-04,79713.14,79713.14,78232.6,78782.24
2024-11-05,78542.16,79523.13,78296.7,79476.63
2024-11-06,79771.82,80569.73,79459.12,80378.13
2024-11-07,80563.42,80563.42,79419.34,79541.79
2024-11-08,79611.9,79807.26,79117.37,79486.32
2024-11-11,79298.46,80102.14,79001.34,79496.15
2024-11-12,79644.95,79820.98,78547.84,78675.18
2024-11-13,78495.53,78690.02,77533.3,77690.95
2024-11-14,77636.94,78055.52,77424.81,77580.31
