ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-03 09:20:00,ATM-3,CE,160.0,175.5,16.0,16.0,16.0,16.0,0.0,28800,1238400
2026-08-03 09:25:00,ATM-3,CE,160.0,175.18,16.0,16.4,16.0,16.38,24.326808,21600,1231200
2026-08-03 09:30:00,ATM-3,CE,160.0,175.01,16.38,16.38,16.38,16.38,27.361713,0,1231200
2026-08-03 09:35:00,ATM-3,CE,160.0,175.13,16.38,16.38,16.38,16.38,25.332441,0,1231200
2026-08-03 09:40:00,ATM-3,CE,160.0,175.54,16.38,16.38,16.38,16.38,0.0,0,1231200
2026-08-03 09:45:00,ATM-3,CE,160.0,175.05,16.38,16.38,16.38,16.38,26.741013,0,1224000
2026-08-03 09:50:00,ATM-3,CE,160.0,175.1,16.38,16.38,16.38,16.38,25.895045,0,1224000
2026-08-03 09:55:00,ATM-3,CE,160.0,175.33,16.38,16.38,16.38,16.38,20.160909,0,1224000
2026-08-03 10:00:00,ATM-3,CE,160.0,175.18,16.38,16.38,16.38,16.38,24.362305,0,1224000
2026-08-03 10:05:00,ATM-3,CE,160.0,175.26,16.38,16.38,16.38,16.38,22.464828,0,1224000
2026-08-03 10:10:00,ATM-3,CE,160.0,175.4,16.38,16.38,16.38,16.38,15.175668,0,1216800
2026-08-03 10:15:00,ATM-3,CE,160.0,175.46,16.38,16.38,16.38,16.38,0.0,0,1216800
2026-08-03 10:20:00,ATM-3,CE,160.0,175.82,16.38,16.38,16.38,16.38,0.0,14400,1213200
2026-08-03 10:25:00,ATM-3,CE,160.0,175.33,16.38,16.38,16.38,16.38,20.207018,0,1213200
2026-08-03 10:30:00,ATM-3,CE,160.0,175.43,16.38,16.38,16.38,16.38,0.0,0,1213200
2026-08-03 10:35:00,ATM-3,CE,160.0,175.21,16.15,16.38,16.15,16.15,0.0,3600,1209600
2026-08-03 10:40:00,ATM-3,CE,160.0,175.4,16.15,16.15,16.15,16.15,0.0,0,1209600
2026-08-03 10:45:00,ATM-3,CE,160.0,175.27,16.15,16.2,16.15,16.2,0.0,18000,1206000
2026-08-03 10:50:00,ATM-3,CE,160.0,175.15,16.2,16.2,16.2,16.2,20.068289,0,1206000
2026-08-03 10:55:00,ATM-3,CE,160.0,175.23,16.2,16.2,16.2,16.2,10.072637,0,1206000
2026-08-03 11:00:00,ATM-3,CE,160.0,175.51,16.2,16.4,16.17,16.4,0.0,14400,1188000
2026-08-03 11:05:00,ATM-3,CE,160.0,175.58,16.4,16.48,16.4,16.45,0.0,50400,1173600
2026-08-03 11:10:00,ATM-3,CE,160.0,175.46,16.45,16.45,16.45,16.45,16.81407,0,1173600
2026-08-03 11:15:00,ATM-3,CE,160.0,175.88,16.45,16.45,16.45,16.45,0.0,0,1173600
2026-08-03 11:20:00,ATM-3,CE,160.0,175.72,16.45,16.45,16.45,16.45,0.0,0,1173600
2026-08-03 11:25:00,ATM-3,CE,160.0,175.58,16.45,16.45,16.45,16.45,0.0,0,1173600
2026-08-03 11:30:00,ATM-3,CE,160.0,175.39,16.45,16.45,16.45,16.45,20.759108,0,1173600
2026-08-03 11:35:00,ATM-3,CE,160.0,175.53,16.45,16.45,16.45,16.45,0.0,0,1173600
2026-08-03 11:40:00,ATM-3,CE,160.0,175.89,16.45,16.53,16.45,16.53,0.0,7200,1173600
2026-08-03 11:45:00,ATM-3,CE,160.0,175.78,16.53,16.53,16.53,16.53,0.0,0,1173600
2026-08-03 11:50:00,ATM-3,CE,160.0,175.64,16.53,16.53,16.53,16.53,0.0,0,1173600
2026-08-03 11:55:00,ATM-3,CE,160.0,175.4,16.53,16.53,16.07,16.07,0.0,7200,1173600
2026-08-03 12:00:00,ATM-3,CE,160.0,175.44,16.07,16.07,16.07,16.07,0.0,0,1173600
2026-08-03 12:05:00,ATM-3,CE,160.0,175.41,16.07,16.07,16.07,16.07,0.0,0,1173600
2026-08-03 12:10:00,ATM-3,CE,160.0,175.5,16.07,16.07,16.07,16.07,0.0,0,1173600
2026-08-03 12:15:00,ATM-3,CE,160.0,175.65,16.07,16.07,16.07,16.07,0.0,0,1173600
2026-08-03 12:20:00,ATM-3,CE,160.0,175.35,16.07,16.07,16.07,16.07,0.0,0,1173600
2026-08-03 12:25:00,ATM-3,CE,160.0,175.32,16.07,16.07,15.85,15.85,0.0,7200,1173600
2026-08-03 12:30:00,ATM-3,CE,160.0,175.21,15.85,15.85,15.85,15.85,0.0,0,1173600
2026-08-03 12:35:00,ATM-3,CE,160.0,175.07,15.85,15.85,15.85,15.85,0.0,0,1173600
2026-08-03 12:40:00,ATM-3,CE,160.0,175.07,15.85,15.94,15.85,15.94,0.0,3600,1173600
2026-08-03 12:45:00,ATM-3,CE,160.0,175.02,15.94,15.94,15.94,15.94,0.0,0,1173600
2026-08-03 12:50:00,ATM-3,CE,160.0,175.02,15.94,15.94,15.94,15.94,0.0,0,1173600
2026-08-03 12:55:00,ATM-3,CE,160.0,175.09,15.94,15.94,15.94,15.94,0.0,0,1173600
2026-08-03 13:00:00,ATM-3,CE,160.0,175.09,15.9,15.94,15.9,15.9,0.0,3600,1173600
2026-08-03 13:05:00,ATM-3,CE,160.0,175.04,15.9,15.9,15.9,15.9,0.0,0,1173600
2026-08-03 13:10:00,ATM-3,CE,160.0,174.65,15.9,15.9,15.57,15.57,0.0,14400,1173600
2026-08-03 13:15:00,ATM-3,CE,160.0,174.67,15.57,15.57,15.57,15.57,0.0,0,1173600
2026-08-03 13:20:00,ATM-3,CE,160.0,174.67,15.57,15.57,15.57,15.57,0.0,0,1173600
2026-08-03 13:25:00,ATM-3,CE,160.0,174.9,15.57,15.73,15.57,15.73,0.0,3600,1170000
2026-08-03 13:30:00,ATM-3,CE,160.0,174.86,15.73,15.73,15.73,15.73,0.0,0,1170000
2026-08-03 13:35:00,ATM-3,CE,160.0,174.95,15.64,15.73,15.64,15.64,0.0,7200,1166400
