ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-03 09:15:00,ATM-3,CE,57200.0,57535.2,911.35,1044.9,911.05,1028.45,11.158715,96390,142170
2026-08-03 09:20:00,ATM-3,CE,57200.0,57548.1,1034.95,1043.85,1009.05,1030.4,11.028174,15300,137070
2026-08-03 09:25:00,ATM-3,CE,57300.0,57587.15,965.5,986.0,965.0,980.1,10.820595,15780,218670
2026-08-03 09:30:00,ATM-3,CE,57300.0,57608.45,984.25,998.25,980.1,994.0,10.815577,26340,211050
2026-08-03 09:35:00,ATM-3,CE,57400.0,57702.0,997.0,1005.0,936.0,983.2,10.664865,44550,141840
2026-08-03 09:40:00,ATM-3,CE,57500.0,57768.95,980.8,1015.0,940.0,952.9,10.481643,46560,622620
2026-08-03 09:45:00,ATM-3,CE,57500.0,57755.25,955.95,970.0,942.5,947.9,10.561827,62340,614160
2026-08-03 09:50:00,ATM-3,CE,57500.0,57796.15,944.85,982.0,943.9,977.8,10.614531,41520,604770
2026-08-03 09:55:00,ATM-3,CE,57500.0,57798.85,984.75,997.6,977.8,984.95,10.719454,30870,599370
2026-08-03 10:00:00,ATM-3,CE,57500.0,57814.85,984.25,989.0,960.0,988.6,10.582866,36360,598350
2026-08-03 10:05:00,ATM-3,CE,57500.0,57788.75,990.1,998.0,965.0,979.65,10.750548,27690,591870
2026-08-03 10:10:00,ATM-3,CE,57500.0,57780.7,984.0,985.0,972.75,975.9,10.783094,15330,594540
2026-08-03 10:15:00,ATM-3,CE,57500.0,57786.05,981.15,982.8,963.75,976.3,10.723713,23160,598950
2026-08-03 10:20:00,ATM-3,CE,57500.0,57756.0,975.65,1036.35,960.1,972.0,11.023722,7320,598740
2026-08-03 10:25:00,ATM-3,CE,57500.0,57776.15,972.0,987.0,965.3,980.2,10.92827,13140,598500
2026-08-03 10:30:00,ATM-3,CE,57500.0,57758.2,980.1,1036.65,968.0,970.6,10.972537,12150,598650
2026-08-03 10:35:00,ATM-3,CE,57400.0,57729.0,1029.05,1033.7,1011.15,1023.7,11.11791,2070,117480
2026-08-03 10:40:00,ATM-3,CE,57500.0,57757.05,1021.75,1032.0,963.6,971.4,11.005269,5370,599670
2026-08-03 10:45:00,ATM-3,CE,57500.0,57775.05,973.7,985.9,970.7,975.0,10.848564,12090,599040
2026-08-03 10:50:00,ATM-3,CE,57500.0,57774.9,974.75,985.0,974.75,980.15,10.950839,7950,600930
2026-08-03 10:55:00,ATM-3,CE,57500.0,57764.1,980.1,993.15,966.7,974.75,10.985369,15180,598440
2026-08-03 11:00:00,ATM-3,CE,57500.0,57791.15,977.25,987.25,974.75,983.7,10.814671,4410,598230
2026-08-03 11:05:00,ATM-3,CE,57500.0,57826.2,983.9,1026.5,981.7,1005.0,10.773121,43440,588600
2026-08-03 11:10:00,ATM-3,CE,57500.0,57812.35,1005.0,1020.9,990.25,1003.2,10.920822,15960,586470
2026-08-03 11:15:00,ATM-3,CE,57500.0,57826.6,1002.5,1007.3,993.0,998.0,10.634236,7590,585420
2026-08-03 11:20:00,ATM-3,CE,57500.0,57812.4,999.95,1005.0,992.5,995.25,10.768995,7620,584730
2026-08-03 11:25:00,ATM-3,CE,57500.0,57828.95,996.3,1003.05,986.55,997.55,10.597326,43620,570000
2026-08-03 11:30:00,ATM-3,CE,57500.0,57804.65,997.95,1001.0,991.25,994.4,10.856437,22260,557220
2026-08-03 11:35:00,ATM-3,CE,57500.0,57813.0,994.15,995.9,987.0,994.1,10.743423,6750,556470
2026-08-03 11:40:00,ATM-3,CE,57500.0,57791.6,993.95,1005.0,981.0,991.0,10.961998,11820,554490
2026-08-03 11:45:00,ATM-3,CE,57500.0,57802.7,988.45,994.25,980.0,991.45,10.829209,8280,551850
2026-08-03 11:50:00,ATM-3,CE,57500.0,57798.9,990.75,998.0,985.6,989.0,10.832515,3630,552180
2026-08-03 11:55:00,ATM-3,CE,57500.0,57790.55,988.0,989.0,977.25,987.85,10.919367,6930,552990
2026-08-03 12:00:00,ATM-3,CE,57500.0,57796.1,988.0,995.0,979.2,992.7,10.943214,3900,552870
2026-08-03 12:05:00,ATM-3,CE,57500.0,57802.4,995.0,1003.0,992.7,997.65,10.959245,15360,550650
2026-08-03 12:10:00,ATM-3,CE,57500.0,57812.8,998.0,1003.0,994.55,1001.4,10.898679,2940,550740
2026-08-03 12:15:00,ATM-3,CE,57500.0,57790.15,998.7,1005.0,992.5,996.0,11.087633,5250,549360
2026-08-03 12:20:00,ATM-3,CE,57500.0,57778.1,993.15,996.0,975.05,987.85,11.085726,10830,550560
2026-08-03 12:25:00,ATM-3,CE,57500.0,57776.35,988.0,988.0,980.0,980.5,10.968379,2520,551310
2026-08-03 12:30:00,ATM-3,CE,57400.0,57736.9,980.5,1038.75,970.0,1019.6,10.970369,5730,114420
2026-08-03 12:35:00,ATM-3,CE,57400.0,57697.5,1019.65,1020.25,986.8,986.8,10.848493,6930,111210
2026-08-03 12:40:00,ATM-3,CE,57400.0,57725.0,986.75,1009.25,986.75,1009.0,10.923181,1950,109890
2026-08-03 12:45:00,ATM-3,CE,57400.0,57670.75,1012.15,1017.3,942.85,956.25,10.605185,12600,112590
2026-08-03 12:50:00,ATM-3,CE,57400.0,57695.5,959.95,981.75,956.25,981.75,10.781086,5100,112230
2026-08-03 12:55:00,ATM-3,CE,57400.0,57691.25,980.9,985.0,966.35,971.6,10.640738,2910,111630
2026-08-03 13:00:00,ATM-3,CE,57400.0,57668.3,971.6,971.95,945.85,958.7,10.688476,4050,110820
2026-08-03 13:05:00,ATM-3,CE,57400.0,57685.75,958.9,966.35,948.5,963.25,10.553066,1590,110040
2026-08-03 13:10:00,ATM-3,CE,57400.0,57689.7,968.25,975.65,960.9,970.0,10.634393,1470,109350
2026-08-03 13:15:00,ATM-3,CE,57400.0,57694.75,970.0,982.55,970.0,981.4,10.791719,1260,109230
2026-08-03 13:20:00,ATM-3,CE,57400.0,57678.65,980.95,981.4,966.05,978.95,10.952902,810,109170
2026-08-03 13:25:00,ATM-3,CE,57400.0,57691.0,970.15,978.95,965.45,975.55,10.729882,1380,108810
2026-08-03 13:30:00,ATM-3,CE,57400.0,57728.55,973.6,995.0,965.55,995.0,10.617659,1500,108600
2026-08-03 13:35:00,ATM-3,CE,57400.0,57721.4,990.55,1005.4,988.4,992.0,10.655367,3270,107040
2026-08-03 13:40:00,ATM-3,CE,57400.0,57720.25,991.35,992.0,981.4,991.85,10.669205,660,106980
2026-08-03 13:45:00,ATM-3,CE,57400.0,57712.6,990.55,990.55,976.6,978.0,10.500661,2160,106050
2026-08-03 13:50:00,ATM-3,CE,57400.0,57717.35,972.45,978.0,968.9,974.0,10.360324,1770,106830
2026-08-03 13:55:00,ATM-3,CE,57400.0,57729.95,983.15,995.65,974.0,987.9,10.466871,960,106440
2026-08-03 14:00:00,ATM-3,CE,57400.0,57742.25,990.0,993.4,982.1,993.4,10.411077,630,106320
2026-08-03 14:05:00,ATM-3,CE,57400.0,57743.85,995.0,1000.4,992.0,992.0,10.363095,1290,106170
2026-08-03 14:10:00,ATM-3,CE,57400.0,57748.65,990.0,1000.45,933.95,992.2,10.303049,1320,106110
2026-08-03 14:15:00,ATM-3,CE,57400.0,57735.75,992.2,994.35,927.15,985.25,10.342368,3720,107610
2026-08-03 14:20:00,ATM-3,CE,57400.0,57733.3,985.25,995.8,983.0,990.1,10.472961,450,107250
2026-08-03 14:25:00,ATM-3,CE,57400.0,57739.4,992.9,997.75,925.0,989.5,10.380174,7500,107580
2026-08-03 14:30:00,ATM-3,CE,57400.0,57740.0,985.95,992.5,981.9,988.0,10.343811,3810,110340
2026-08-03 14:35:00,ATM-3,CE,57500.0,57756.05,988.0,988.0,927.3,936.35,10.416717,9240,568590
2026-08-03 14:40:00,ATM-3,CE,57500.0,57753.3,936.45,998.6,935.0,937.9,10.483289,11070,566190
2026-08-03 14:45:00,ATM-3,CE,57500.0,57785.1,937.5,951.9,935.5,949.0,10.288584,10740,564360
