ts,offset,side,strike,spot,close,volume,oi
2026-08-25 09:15:00,ATM-3,CE,26000.0,26126.65,157.2,6720,23160
2026-08-25 09:20:00,ATM-3,CE,26000.0,26137.05,166.95,13980,22740
2026-08-25 09:25:00,ATM-3,CE,26000.0,26149.85,181.55,20580,24720
2026-08-25 09:30:00,ATM-3,CE,26000.0,26155.35,180.45,10320,24720
2026-08-25 09:35:00,ATM-3,CE,26000.0,26126.85,161.25,13680,26640
2026-08-25 09:40:00,ATM-3,CE,25950.0,26110.3,188.0,240,3180
2026-08-25 09:45:00,ATM-3,CE,25950.0,26115.25,189.85,1380,2880
2026-08-25 09:50:00,ATM-3,CE,25950.0,26106.7,186.35,420,2820
2026-08-25 09:55:00,ATM-3,CE,25950.0,26114.05,195.6,360,2820
2026-08-25 10:00:00,ATM-3,CE,25950.0,26125.0,194.6,60,2700
2026-08-25 10:05:00,ATM-3,CE,25950.0,26112.0,190.75,420,2700
2026-08-25 10:10:00,ATM-3,CE,25950.0,26119.0,195.35,60,2580
2026-08-25 10:15:00,ATM-3,CE,25950.0,26109.65,189.0,240,2580
2026-08-25 10:20:00,ATM-3,CE,25950.0,26096.5,180.1,600,2700
2026-08-25 10:25:00,ATM-3,CE,25950.0,26104.0,176.5,60,2760
2026-08-25 10:30:00,ATM-3,CE,25950.0,26104.75,184.1,180,2760
2026-08-25 10:35:00,ATM-3,CE,25950.0,26104.2,176.85,60,2640
2026-08-25 10:40:00,ATM-3,CE,25950.0,26117.05,178.5,120,2640
2026-08-25 10:45:00,ATM-3,CE,26000.0,26142.5,168.3,10740,26040
2026-08-25 10:50:00,ATM-3,CE,26000.0,26148.85,172.25,6960,23940
2026-08-25 10:55:00,ATM-3,CE,26000.0,26129.05,154.7,4320,24420
2026-08-25 11:00:00,ATM-3,CE,25950.0,26117.15,193.65,2940,2880
2026-08-25 11:05:00,ATM-3,CE,25950.0,26109.95,193.65,0,2880
2026-08-25 11:10:00,ATM-3,CE,25950.0,26121.0,182.15,180,2940
2026-08-25 11:15:00,ATM-3,CE,25950.0,26105.1,196.0,180,3000
2026-08-25 11:20:00,ATM-3,CE,25950.0,26108.6,183.6,420,2940
2026-08-25 11:25:00,ATM-3,CE,25950.0,26110.75,190.0,60,3000
2026-08-25 11:30:00,ATM-3,CE,25950.0,26115.7,192.55,780,3060
2026-08-25 11:35:00,ATM-3,CE,25950.0,26121.3,186.0,480,3240
2026-08-25 11:40:00,ATM-3,CE,25950.0,26120.85,186.0,540,3240
2026-08-25 11:45:00,ATM-3,CE,25950.0,26110.85,186.0,0,3240
2026-08-25 11:50:00,ATM-3,CE,26000.0,26138.5,165.75,2400,26580
2026-08-25 11:55:00,ATM-3,CE,26000.0,26156.75,180.3,6720,24900
2026-08-25 12:00:00,ATM-3,CE,26000.0,26162.65,181.25,3840,24720
2026-08-25 12:05:00,ATM-3,CE,26000.0,26149.8,179.5,3120,24420
2026-08-25 12:10:00,ATM-3,CE,26000.0,26151.65,180.25,3360,25140
2026-08-25 12:15:00,ATM-3,CE,26000.0,26152.7,177.25,5040,24720
2026-08-25 12:20:00,ATM-3,CE,26000.0,26151.35,173.8,3300,25320
2026-08-25 12:25:00,ATM-3,CE,26000.0,26149.0,175.8,3120,25080
2026-08-25 12:30:00,ATM-3,CE,26000.0,26147.85,178.0,1500,25500
2026-08-25 12:35:00,ATM-3,CE,26000.0,26138.4,170.0,1500,25500
2026-08-25 12:40:00,ATM-3,CE,26000.0,26139.85,163.75,5040,25920
2026-08-25 12:45:00,ATM-3,CE,26000.0,26135.1,169.55,1800,25860
2026-08-25 12:50:00,ATM-3,CE,26000.0,26130.2,162.0,540,26100
2026-08-25 12:55:00,ATM-3,CE,26000.0,26134.35,163.25,780,26100
2026-08-25 13:00:00,ATM-3,CE,25950.0,26114.2,189.7,1440,2880
2026-08-25 13:05:00,ATM-3,CE,25950.0,26110.2,191.4,60,2760
2026-08-25 13:10:00,ATM-3,CE,25950.0,26102.25,192.75,300,2820
2026-08-25 13:15:00,ATM-3,CE,25950.0,26100.55,192.75,0,2820
2026-08-25 13:20:00,ATM-3,CE,25950.0,26095.35,192.75,0,2820
2026-08-25 13:25:00,ATM-3,CE,25950.0,26095.25,164.7,240,3000
2026-08-25 13:30:00,ATM-3,CE,25950.0,26099.0,166.85,1860,4200
2026-08-25 13:35:00,ATM-3,CE,25950.0,26109.7,164.15,60,3960
2026-08-25 13:40:00,ATM-3,CE,25950.0,26111.4,171.55,780,3840
2026-08-25 13:45:00,ATM-3,CE,25950.0,26100.65,165.8,300,4080
2026-08-25 13:50:00,ATM-3,CE,26000.0,26141.25,157.7,19740,29400
2026-08-25 13:55:00,ATM-3,CE,25950.0,26118.35,185.35,4680,4140
2026-08-25 14:00:00,ATM-3,CE,25950.0,26111.0,174.6,300,4260
2026-08-25 14:05:00,ATM-3,CE,25950.0,26109.85,171.25,120,4260
2026-08-25 14:10:00,ATM-3,CE,25950.0,26107.4,177.8,480,4500
2026-08-25 14:15:00,ATM-3,CE,25950.0,26114.5,177.8,0,4500
2026-08-25 14:20:00,ATM-3,CE,25950.0,26118.65,186.0,660,4500
2026-08-25 14:25:00,ATM-3,CE,26000.0,26129.4,147.85,3840,30180
2026-08-25 14:30:00,ATM-3,CE,26000.0,26144.2,154.8,20940,28140
2026-08-25 14:35:00,ATM-3,CE,26000.0,26148.8,161.9,7320,27420
2026-08-25 14:40:00,ATM-3,CE,26000.0,26159.75,171.05,9120,27060
2026-08-25 14:45:00,ATM-3,CE,26000.0,26165.15,180.0,7560,25140
2026-08-25 14:50:00,ATM-3,CE,26050.0,26186.2,148.4,8880,15300
2026-08-25 14:55:00,ATM-3,CE,26050.0,26188.5,149.0,6180,14280
2026-08-25 15:00:00,ATM-3,CE,26050.0,26182.25,138.85,17760,14160
2026-08-25 15:05:00,ATM-3,CE,26050.0,26175.95,141.55,9480,13740
2026-08-25 15:10:00,ATM-3,CE,26050.0,26182.45,143.1,2940,12600
2026-08-25 15:15:00,ATM-3,CE,26050.0,26182.45,153.7,9420,11940
2026-08-25 15:20:00,ATM-3,CE,26050.0,26182.45,174.95,14280,11880
2026-08-25 15:25:00,ATM-3,CE,26100.0,26246.95,146.45,64560,73800
2026-08-25 15:30:00,ATM-3,CE,26100.0,26246.95,146.2,31500,63240
2026-08-25 15:35:00,ATM-3,CE,26100.0,26246.95,146.3,50640,62940
2026-08-26 09:15:00,ATM-3,CE,26200.0,26369.0,640.0,240,1320
2026-08-26 09:25:00,ATM-3,CE,26300.0,26439.5,306.0,0,60
2026-08-26 09:30:00,ATM-3,CE,26300.0,26436.6,306.0,0,60
2026-08-26 09:35:00,ATM-3,CE,26300.0,26448.1,306.0,0,60
2026-08-26 09:40:00,ATM-3,CE,26300.0,26473.15,306.0,0,60
2026-08-26 09:45:00,ATM-3,CE,26300.0,26452.75,306.0,0,60
2026-08-26 09:50:00,ATM-3,CE,26300.0,26441.65,306.0,0,60
