ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-03 12:40:00,ATM-3,CE,10.0,12.94,3.0,3.0,3.0,3.0,0.0,71475,6289800
2026-08-03 12:45:00,ATM-3,CE,10.0,12.93,3.0,3.0,3.0,3.0,51.214899,0,6289800
2026-08-03 12:50:00,ATM-3,CE,10.0,12.95,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 12:55:00,ATM-3,CE,10.0,12.94,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 13:00:00,ATM-3,CE,10.0,12.94,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 13:05:00,ATM-3,CE,10.0,12.93,3.0,3.0,3.0,3.0,51.260309,0,6289800
2026-08-03 13:10:00,ATM-3,CE,10.0,12.94,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 13:15:00,ATM-3,CE,10.0,12.94,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 13:20:00,ATM-3,CE,10.0,12.95,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 13:25:00,ATM-3,CE,10.0,12.95,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 13:30:00,ATM-3,CE,10.0,12.95,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 13:35:00,ATM-3,CE,10.0,12.96,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 13:40:00,ATM-3,CE,10.0,12.97,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 13:45:00,ATM-3,CE,10.0,13.03,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 13:50:00,ATM-3,CE,10.0,12.98,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 13:55:00,ATM-3,CE,10.0,12.96,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 14:00:00,ATM-3,CE,10.0,12.96,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 14:05:00,ATM-3,CE,10.0,12.96,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 14:10:00,ATM-3,CE,10.0,12.97,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 14:15:00,ATM-3,CE,10.0,12.96,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 14:20:00,ATM-3,CE,10.0,12.96,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 14:25:00,ATM-3,CE,10.0,12.95,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 14:30:00,ATM-3,CE,10.0,12.96,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 14:35:00,ATM-3,CE,10.0,12.96,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 14:40:00,ATM-3,CE,10.0,12.95,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 14:45:00,ATM-3,CE,10.0,12.93,3.0,3.0,3.0,3.0,51.486746,0,6289800
2026-08-03 14:50:00,ATM-3,CE,10.0,12.95,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 14:55:00,ATM-3,CE,10.0,12.94,3.0,3.0,3.0,3.0,0.0,0,6289800
2026-08-03 15:00:00,ATM-3,CE,10.0,12.91,3.0,3.0,3.0,3.0,61.848804,0,6289800
2026-08-03 15:05:00,ATM-3,CE,10.0,12.88,3.0,3.0,3.0,3.0,71.080618,0,6289800
2026-08-03 15:10:00,ATM-3,CE,10.0,12.85,3.0,3.0,3.0,3.0,77.945574,0,6289800
2026-08-03 15:15:00,ATM-3,CE,10.0,12.85,3.0,3.0,3.0,3.0,77.953608,0,6289800
2026-08-03 15:20:00,ATM-3,CE,10.0,12.85,3.0,3.0,3.0,3.0,77.961639,0,6289800
2026-08-03 15:25:00,ATM-3,CE,10.0,12.86,2.93,3.0,2.93,3.0,75.843101,142950,6361275
2026-08-03 15:30:00,ATM-3,CE,10.0,12.86,3.0,3.0,3.0,3.0,75.851097,0,6361275
2026-08-03 15:35:00,ATM-3,CE,10.0,12.86,3.0,3.01,3.0,3.01,78.153774,71475,6289800
2026-08-04 11:35:00,ATM-3,CE,10.0,12.84,2.92,2.92,2.92,2.92,58.679257,71475,6289800
2026-08-04 11:40:00,ATM-3,CE,10.0,12.82,2.92,2.92,2.89,2.89,52.80244,71475,6218325
2026-08-04 11:45:00,ATM-3,CE,10.0,12.8,2.89,2.89,2.89,2.89,62.34528,0,6218325
2026-08-04 11:50:00,ATM-3,CE,10.0,12.8,2.89,2.89,2.89,2.89,62.353812,0,6218325
2026-08-04 11:55:00,ATM-3,CE,10.0,12.78,2.89,2.89,2.89,2.89,68.682633,0,6218325
2026-08-04 12:00:00,ATM-3,CE,10.0,12.79,2.89,2.89,2.89,2.89,65.748124,0,6218325
