ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-03 09:15:00,ATM-3,CE,82.0,85.24,4.15,4.26,4.15,4.26,22.018465,37100,1678775
2026-08-03 09:20:00,ATM-3,CE,82.0,85.37,4.26,4.26,4.26,4.26,20.121159,0,1678775
2026-08-03 09:25:00,ATM-3,CE,82.0,85.34,4.26,4.34,4.26,4.34,22.013841,9275,1669500
2026-08-03 09:30:00,ATM-3,CE,82.0,85.23,4.34,4.34,4.31,4.31,23.00415,9275,1660225
2026-08-03 09:35:00,ATM-3,CE,82.0,85.35,4.31,4.42,4.31,4.42,23.250874,46375,1650950
2026-08-03 09:40:00,ATM-3,CE,82.0,85.37,4.42,4.42,4.42,4.42,22.983373,0,1650950
2026-08-03 09:45:00,ATM-3,CE,82.0,85.14,4.42,4.42,4.42,4.42,25.884171,9275,1604575
2026-08-03 09:50:00,ATM-3,CE,82.0,85.11,4.19,4.42,4.19,4.19,22.600276,9275,1604575
2026-08-03 09:55:00,ATM-3,CE,82.0,85.22,4.16,4.19,4.16,4.16,20.573555,9275,1604575
2026-08-03 10:00:00,ATM-3,CE,82.0,85.32,4.16,4.34,4.16,4.34,22.312835,9275,1604575
2026-08-03 10:05:00,ATM-3,CE,83.0,85.54,4.34,4.34,3.6,3.6,19.956112,37100,1984850
2026-08-03 10:10:00,ATM-3,CE,83.0,86.38,3.83,4.51,3.6,4.51,24.005974,834750,1586025
2026-08-03 10:15:00,ATM-3,CE,83.0,85.99,4.51,4.51,4.23,4.23,24.372856,9275,1567475
2026-08-03 10:20:00,ATM-3,CE,83.0,85.99,4.23,4.23,4.23,4.23,24.375655,0,1567475
2026-08-03 10:25:00,ATM-3,CE,83.0,85.81,4.23,4.23,4.23,4.23,26.389823,0,1567475
2026-08-03 10:30:00,ATM-3,CE,83.0,85.78,4.23,4.23,4.0,4.0,23.314078,9275,1567475
2026-08-03 10:35:00,ATM-3,CE,83.0,85.79,4.0,4.0,4.0,4.0,23.200776,0,1567475
2026-08-03 10:40:00,ATM-3,CE,83.0,85.76,4.0,4.0,4.0,4.0,23.549546,0,1567475
2026-08-03 10:45:00,ATM-3,CE,83.0,85.68,4.0,4.0,4.0,4.0,24.448097,0,1567475
2026-08-03 10:50:00,ATM-3,CE,83.0,85.55,4.0,4.0,3.88,3.88,24.105764,37100,1567475
2026-08-03 10:55:00,ATM-3,CE,83.0,85.55,3.88,3.88,3.8,3.8,22.929874,18550,1567475
2026-08-03 11:00:00,ATM-3,CE,83.0,85.55,3.8,3.8,3.8,3.8,22.932521,0,1576750
2026-08-03 11:05:00,ATM-3,CE,83.0,85.54,3.8,3.8,3.8,3.8,23.046326,0,1576750
2026-08-03 11:10:00,ATM-3,CE,82.0,85.5,3.8,4.49,3.76,4.49,22.427192,37100,1669500
2026-08-03 11:15:00,ATM-3,CE,83.0,85.64,3.74,3.74,3.74,3.74,20.978592,0,1595300
2026-08-03 11:20:00,ATM-3,CE,83.0,85.62,3.74,3.86,3.74,3.86,23.054474,9275,1586025
2026-08-03 11:25:00,ATM-3,CE,83.0,85.62,3.86,3.86,3.86,3.86,23.057142,0,1586025
2026-08-03 11:30:00,ATM-3,CE,83.0,85.56,3.86,3.86,3.86,3.86,23.725819,0,1586025
2026-08-03 11:35:00,ATM-3,CE,83.0,85.53,4.6,4.6,3.72,3.72,21.976497,18550,1586025
2026-08-03 11:40:00,ATM-3,CE,83.0,85.7,3.72,3.78,3.72,3.78,20.888203,18550,1595300
2026-08-03 11:45:00,ATM-3,CE,83.0,85.61,3.78,3.78,3.78,3.78,21.971027,0,1595300
2026-08-03 11:50:00,ATM-3,CE,83.0,85.55,3.78,4.6,3.78,3.8,22.959022,18550,1595300
2026-08-03 11:55:00,ATM-3,CE,83.0,85.54,3.8,3.8,3.8,3.8,23.072869,0,1595300
2026-08-03 12:00:00,ATM-3,CE,83.0,85.6,3.8,3.8,3.8,3.8,22.399005,0,1595300
2026-08-03 12:05:00,ATM-3,CE,82.0,85.5,3.8,4.5,3.8,4.5,22.635406,0,1688050
