ts,offset,side,strike,spot,close,volume,oi
2026-08-25 09:15:00,ATM-3,CE,14800.0,14883.55,94.0,76920,347160
2026-08-25 09:20:00,ATM-3,CE,14800.0,14875.6,86.5,112560,340080
2026-08-25 09:25:00,ATM-3,CE,14825.0,14888.95,81.2,50880,79320
2026-08-25 09:30:00,ATM-3,CE,14825.0,14898.2,85.2,38760,68760
2026-08-25 09:35:00,ATM-3,CE,14825.0,14899.75,87.75,39600,57240
2026-08-25 09:40:00,ATM-3,CE,14825.0,14897.25,79.65,42960,49440
2026-08-25 09:45:00,ATM-3,CE,14825.0,14889.7,76.5,12600,49920
2026-08-25 09:50:00,ATM-3,CE,14800.0,14886.15,95.15,69960,342840
2026-08-25 09:55:00,ATM-3,CE,14800.0,14884.5,93.05,32760,356520
2026-08-25 10:00:00,ATM-3,CE,14800.0,14874.0,87.6,32160,361080
2026-08-25 10:05:00,ATM-3,CE,14800.0,14866.1,79.6,43200,370560
2026-08-25 10:10:00,ATM-3,CE,14800.0,14864.6,77.8,51840,360840
2026-08-25 10:15:00,ATM-3,CE,14800.0,14871.35,81.05,67440,344520
2026-08-25 10:20:00,ATM-3,CE,14775.0,14860.65,94.85,22320,14280
2026-08-25 10:25:00,ATM-3,CE,14800.0,14869.0,80.3,33000,343200
2026-08-25 10:30:00,ATM-3,CE,14800.0,14869.75,79.7,31200,339480
2026-08-25 10:35:00,ATM-3,CE,14800.0,14868.7,78.55,15720,331800
2026-08-25 10:40:00,ATM-3,CE,14800.0,14864.25,78.95,43920,321240
2026-08-25 10:45:00,ATM-3,CE,14800.0,14867.7,81.3,22440,312840
2026-08-25 10:50:00,ATM-3,CE,14800.0,14867.25,80.65,56280,305520
2026-08-25 10:55:00,ATM-3,CE,14800.0,14867.05,80.0,16320,302400
2026-08-25 11:00:00,ATM-3,CE,14800.0,14871.4,82.0,33240,298800
2026-08-25 11:05:00,ATM-3,CE,14800.0,14876.0,88.2,37080,290880
2026-08-25 11:10:00,ATM-3,CE,14800.0,14879.6,92.8,33240,296400
2026-08-25 11:15:00,ATM-3,CE,14800.0,14878.45,91.6,27600,289800
2026-08-25 11:20:00,ATM-3,CE,14800.0,14877.6,90.0,19320,288480
2026-08-25 11:25:00,ATM-3,CE,14800.0,14871.0,83.95,32400,285600
2026-08-25 11:30:00,ATM-3,CE,14800.0,14874.1,88.4,11280,282840
2026-08-25 11:35:00,ATM-3,CE,14800.0,14874.6,89.7,12840,281400
2026-08-25 11:40:00,ATM-3,CE,14800.0,14867.05,83.5,8880,281040
2026-08-25 11:45:00,ATM-3,CE,14800.0,14872.25,86.25,27360,278280
2026-08-25 11:50:00,ATM-3,CE,14800.0,14868.3,86.0,32160,275400
2026-08-25 11:55:00,ATM-3,CE,14800.0,14879.35,90.5,34440,272160
2026-08-25 12:00:00,ATM-3,CE,14800.0,14876.0,90.95,17880,273840
2026-08-25 12:05:00,ATM-3,CE,14800.0,14866.0,83.75,18360,272400
2026-08-25 12:10:00,ATM-3,CE,14800.0,14868.85,83.8,52080,265440
2026-08-25 12:15:00,ATM-3,CE,14775.0,14861.1,98.0,43080,11400
2026-08-25 12:20:00,ATM-3,CE,14775.0,14860.05,97.3,18480,12360
2026-08-25 12:25:00,ATM-3,CE,14775.0,14857.5,97.0,840,12480
2026-08-25 12:30:00,ATM-3,CE,14775.0,14858.9,95.8,840,12360
2026-08-25 12:35:00,ATM-3,CE,14775.0,14857.65,95.25,9480,13080
2026-08-25 12:40:00,ATM-3,CE,14775.0,14855.95,96.0,5640,19320
2026-08-25 12:45:00,ATM-3,CE,14775.0,14857.5,97.5,7560,21720
2026-08-25 12:50:00,ATM-3,CE,14800.0,14870.9,84.2,110520,269280
2026-08-25 12:55:00,ATM-3,CE,14800.0,14879.55,89.1,84240,268320
2026-08-25 13:00:00,ATM-3,CE,14800.0,14880.85,87.95,91800,261000
2026-08-25 13:05:00,ATM-3,CE,14800.0,14884.45,92.25,72960,268440
2026-08-25 13:10:00,ATM-3,CE,14800.0,14881.5,88.15,100200,254040
2026-08-25 13:15:00,ATM-3,CE,14825.0,14888.55,70.45,47280,78600
2026-08-25 13:20:00,ATM-3,CE,14825.0,14891.4,74.7,19440,79320
2026-08-25 13:25:00,ATM-3,CE,14825.0,14894.3,74.8,26760,78000
2026-08-25 13:30:00,ATM-3,CE,14825.0,14895.9,77.2,57840,86160
2026-08-25 13:35:00,ATM-3,CE,14825.0,14898.0,82.45,40440,81720
2026-08-25 13:40:00,ATM-3,CE,14825.0,14907.55,90.0,63480,78000
2026-08-25 13:45:00,ATM-3,CE,14825.0,14908.85,87.55,62160,75360
2026-08-25 13:50:00,ATM-3,CE,14850.0,14929.25,94.75,491760,424680
2026-08-25 13:55:00,ATM-3,CE,14850.0,14917.95,79.2,192480,403320
2026-08-25 14:00:00,ATM-3,CE,14850.0,14920.7,82.9,93960,398280
2026-08-25 14:05:00,ATM-3,CE,14850.0,14917.8,76.8,80760,392160
2026-08-25 14:10:00,ATM-3,CE,14850.0,14915.8,75.85,50640,392040
2026-08-25 14:15:00,ATM-3,CE,14850.0,14920.65,82.45,45240,389760
2026-08-25 14:20:00,ATM-3,CE,14850.0,14914.2,75.15,62640,385800
2026-08-25 14:25:00,ATM-3,CE,14850.0,14922.1,78.6,83520,344760
2026-08-25 14:30:00,ATM-3,CE,14850.0,14927.95,84.0,189600,272760
2026-08-25 14:35:00,ATM-3,CE,14850.0,14924.5,81.1,54840,258360
2026-08-25 14:40:00,ATM-3,CE,14850.0,14936.5,98.9,96240,245400
2026-08-25 14:45:00,ATM-3,CE,14875.0,14941.2,81.0,264480,232320
2026-08-25 14:50:00,ATM-3,CE,14875.0,14954.05,92.8,176880,233760
2026-08-25 14:55:00,ATM-3,CE,14875.0,14956.4,104.75,92640,217440
2026-08-25 15:00:00,ATM-3,CE,14875.0,14955.2,99.3,375480,173760
2026-08-25 15:05:00,ATM-3,CE,14900.0,14965.45,76.0,184800,811200
2026-08-25 15:10:00,ATM-3,CE,14875.0,14958.1,101.7,131160,149280
2026-08-25 15:15:00,ATM-3,CE,14875.0,14958.1,104.55,33600,138720
2026-08-25 15:20:00,ATM-3,CE,14875.0,14958.1,116.1,92040,143640
2026-08-25 15:25:00,ATM-3,CE,14925.0,15000.9,75.8,297000,144960
2026-08-25 15:30:00,ATM-3,CE,14925.0,15000.9,76.55,128520,131880
2026-08-25 15:35:00,ATM-3,CE,14925.0,15000.9,75.7,190200,133200
2026-08-26 09:15:00,ATM-3,CE,14975.0,15046.9,287.25,240,1800
2026-08-26 09:20:00,ATM-3,CE,14975.0,15055.65,295.2,600,1680
2026-08-26 09:25:00,ATM-3,CE,14975.0,15057.25,295.2,0,1680
2026-08-26 09:30:00,ATM-3,CE,14975.0,15050.85,295.2,0,1680
2026-08-26 09:35:00,ATM-3,CE,14975.0,15056.7,295.2,0,1800
2026-08-26 09:40:00,ATM-3,CE,15000.0,15063.2,280.8,8880,341520
2026-08-26 09:45:00,ATM-3,CE,15000.0,15070.45,284.9,23280,351000
2026-08-26 09:50:00,ATM-3,CE,15000.0,15071.3,281.75,15360,354240
2026-08-26 09:55:00,ATM-3,CE,15000.0,15079.3,284.4,7320,357240
2026-08-26 10:00:00,ATM-3,CE,15000.0,15077.1,285.0,9000,356160
2026-08-26 10:05:00,ATM-3,CE,15000.0,15082.1,286.8,6600,356520
2026-08-26 10:10:00,ATM-3,CE,15000.0,15085.25,288.35,21480,351120
2026-08-26 10:15:00,ATM-3,CE,15000.0,15064.9,279.3,11640,347160
2026-08-26 10:20:00,ATM-3,CE,14975.0,15057.15,305.0,0,1680
2026-08-26 10:25:00,ATM-3,CE,15000.0,15066.1,277.35,720,343800
2026-08-26 10:30:00,ATM-3,CE,15000.0,15063.9,275.0,5760,345360
2026-08-26 10:35:00,ATM-3,CE,15000.0,15067.15,275.8,8040,349680
