ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-03 09:15:00,ATM-3,CE,24400.0,24530.1,155.5,189.75,148.3,170.85,14.632631,10245690,5834855
2026-08-03 09:20:00,ATM-3,CE,24400.0,24526.7,170.85,213.85,161.3,166.5,14.263854,2305940,6009445
2026-08-03 09:25:00,ATM-3,CE,24400.0,24550.25,166.75,176.75,165.0,174.5,11.781794,2666560,5902000
2026-08-03 09:30:00,ATM-3,CE,24400.0,24553.2,174.75,181.15,172.45,180.25,12.685808,2703545,5722470
2026-08-03 09:35:00,ATM-3,CE,24400.0,24554.4,180.4,181.75,172.95,179.0,12.115346,1585480,5727410
2026-08-03 09:40:00,ATM-3,CE,24400.0,24558.45,179.35,183.2,176.3,181.95,12.022951,1513395,5556785
2026-08-03 09:45:00,ATM-3,CE,24400.0,24548.25,181.95,181.95,175.0,176.3,12.768294,947375,5575505
2026-08-03 09:50:00,ATM-3,CE,24400.0,24558.75,175.6,182.75,175.0,181.55,11.883052,1003600,5521490
2026-08-03 09:55:00,ATM-3,CE,24400.0,24564.1,182.05,191.85,181.55,187.15,12.223519,2472015,5264610
2026-08-03 10:00:00,ATM-3,CE,24400.0,24569.0,186.9,192.85,183.3,188.65,11.439894,1433250,5218460
2026-08-03 10:05:00,ATM-3,CE,24400.0,24567.15,189.0,191.5,183.0,188.05,11.770719,911300,5201105
2026-08-03 10:10:00,ATM-3,CE,24450.0,24579.0,188.35,191.35,145.7,151.6,10.48783,1496365,3332745
2026-08-03 10:15:00,ATM-3,CE,24450.0,24588.15,151.85,159.9,151.2,157.4,9.981444,2120040,2990195
2026-08-03 10:20:00,ATM-3,CE,24450.0,24578.4,157.8,196.05,151.7,154.1,11.310532,844220,2939885
2026-08-03 10:25:00,ATM-3,CE,24450.0,24580.8,154.45,158.3,152.0,156.15,11.36132,804180,2929290
2026-08-03 10:30:00,ATM-3,CE,24400.0,24570.95,155.8,196.35,152.7,194.0,12.702795,741130,4438395
2026-08-03 10:35:00,ATM-3,CE,24450.0,24584.2,194.05,194.2,149.95,155.65,10.519978,1202175,2939105
2026-08-03 10:40:00,ATM-3,CE,24450.0,24583.75,155.75,156.9,153.05,156.25,10.811102,490165,2934295
2026-08-03 10:45:00,ATM-3,CE,24450.0,24587.65,155.95,156.6,153.85,156.0,9.804601,369070,2944370
2026-08-03 10:50:00,ATM-3,CE,24450.0,24589.85,156.15,159.3,155.4,158.2,9.924193,732420,2917330
2026-08-03 10:55:00,ATM-3,CE,24450.0,24586.9,158.35,167.1,157.0,158.45,10.759563,1781585,2750930
2026-08-03 11:00:00,ATM-3,CE,24450.0,24598.15,159.25,168.0,158.55,166.5,10.338816,1233310,2641600
2026-08-03 11:05:00,ATM-3,CE,24450.0,24593.95,167.25,170.5,161.15,163.5,10.544359,764465,2593955
2026-08-03 11:10:00,ATM-3,CE,24450.0,24588.95,163.3,165.4,158.0,160.0,10.777477,612170,2624375
2026-08-03 11:15:00,ATM-3,CE,24450.0,24591.45,160.3,165.4,159.05,161.25,10.54747,599560,2677025
2026-08-03 11:20:00,ATM-3,CE,24450.0,24598.15,161.0,164.8,159.5,163.35,9.346075,391105,2696850
2026-08-03 11:25:00,ATM-3,CE,24450.0,24591.75,163.8,164.6,160.45,160.65,10.32912,245115,2676180
2026-08-03 11:30:00,ATM-3,CE,24450.0,24585.45,160.55,160.75,154.95,156.8,10.782498,726245,2683135
2026-08-03 11:35:00,ATM-3,CE,24450.0,24593.8,156.9,162.2,155.8,160.95,9.90304,538070,2772445
2026-08-03 11:40:00,ATM-3,CE,24450.0,24592.5,161.45,165.0,160.3,161.95,10.598178,576160,2722525
2026-08-03 11:45:00,ATM-3,CE,24450.0,24597.95,161.9,164.0,158.0,164.0,9.75232,522795,2754895
2026-08-03 11:50:00,ATM-3,CE,24450.0,24602.25,164.0,167.4,163.0,165.45,8.854445,846040,2607800
2026-08-03 11:55:00,ATM-3,CE,24450.0,24591.55,165.5,165.55,159.25,160.4,10.434203,400920,2639065
2026-08-03 12:00:00,ATM-3,CE,24450.0,24588.0,160.45,161.8,158.0,159.65,11.123209,238810,2684370
2026-08-03 12:05:00,ATM-3,CE,24450.0,24597.0,159.6,164.8,158.2,164.55,10.31074,389025,2699385
2026-08-03 12:10:00,ATM-3,CE,24450.0,24601.3,164.65,167.65,162.1,165.9,9.471933,505505,2646280
2026-08-03 12:15:00,ATM-3,CE,24450.0,24606.4,166.0,172.9,165.45,169.7,9.17963,925925,2534675
2026-08-03 12:20:00,ATM-3,CE,24450.0,24605.75,170.0,170.0,163.8,169.7,9.447133,636025,2575495
2026-08-03 12:25:00,ATM-3,CE,24450.0,24604.05,169.65,171.0,167.0,168.5,9.598277,374595,2603770
2026-08-03 12:30:00,ATM-3,CE,24450.0,24593.7,168.0,169.2,156.4,158.55,9.328705,781235,2633800
2026-08-03 12:35:00,ATM-3,CE,24450.0,24588.4,158.9,159.45,153.0,154.35,9.511962,767910,2840175
2026-08-03 12:40:00,ATM-3,CE,24450.0,24593.0,154.0,158.0,153.55,157.85,9.34227,579735,2804035
2026-08-03 12:45:00,ATM-3,CE,24450.0,24584.35,157.55,162.45,135.65,144.6,6.964298,2216890,2686710
2026-08-03 12:50:00,ATM-3,CE,24450.0,24591.15,143.8,153.75,141.65,150.35,6.557182,1276600,2741310
2026-08-03 12:55:00,ATM-3,CE,24450.0,24584.65,150.3,151.6,142.05,143.7,6.241645,697905,2742025
2026-08-03 13:00:00,ATM-3,CE,24450.0,24578.2,144.35,144.35,138.0,141.1,8.032587,926640,2832960
2026-08-03 13:05:00,ATM-3,CE,24450.0,24582.9,141.45,145.5,137.8,144.45,7.663735,675610,2869815
2026-08-03 13:10:00,ATM-3,CE,24450.0,24578.2,144.4,146.0,138.05,139.35,7.305625,563290,2892305
2026-08-03 13:15:00,ATM-3,CE,24450.0,24587.3,139.2,148.25,138.7,147.4,7.131204,685880,2850705
2026-08-03 13:20:00,ATM-3,CE,24450.0,24584.3,147.5,149.0,140.4,148.25,8.796403,604630,2892760
