ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2025-09-01 09:15:00,ATM-3,CE,24350.0,24523.5,100.0,224.85,100.0,220.4,16.07,1112850,453450
2025-09-01 09:20:00,ATM-3,CE,24400.0,24529.15,221.45,225.0,165.45,178.9,14.3,2880225,3301800
2025-09-01 09:25:00,ATM-3,CE,24400.0,24530.25,178.05,223.0,167.75,177.6,14.06,1830825,3241425
2025-09-01 09:30:00,ATM-3,CE,24400.0,24540.9,176.4,191.15,168.8,188.4,14.49,3722325,3221925
2025-09-01 09:35:00,ATM-3,CE,24400.0,24536.85,188.5,189.55,180.05,180.95,13.73,1931700,3046875
2025-09-01 09:40:00,ATM-3,CE,24400.0,24535.8,180.45,182.8,169.4,181.8,14.09,1810200,2983050
2025-09-01 09:45:00,ATM-3,CE,24400.0,24534.65,182.0,189.8,175.05,176.4,13.15,1964025,3030375
2025-09-01 09:50:00,ATM-3,CE,24400.0,24559.55,177.55,196.5,176.65,194.95,13.08,2243925,2946675
2025-09-01 09:55:00,ATM-3,CE,24400.0,24547.5,195.05,195.65,179.1,183.0,12.65,1865250,3075375
2025-09-01 10:00:00,ATM-3,CE,24400.0,24538.5,183.1,188.95,175.35,178.05,13.13,1207200,3054225
2025-09-01 10:05:00,ATM-3,CE,24400.0,24532.9,178.0,181.35,172.9,177.55,13.53,1155225,2933250
2025-09-01 10:10:00,ATM-3,CE,24350.0,24523.15,177.2,217.35,167.95,209.65,13.96,1087425,419175
2025-09-01 10:15:00,ATM-3,CE,24350.0,24515.1,169.3,218.65,165.3,205.3,14.41,834975,440250
2025-09-01 10:20:00,ATM-3,CE,24350.0,24512.15,206.2,210.65,196.45,207.9,15.19,251175,466725
2025-09-01 10:25:00,ATM-3,CE,24400.0,24528.6,208.05,216.0,167.0,173.0,13.45,1447800,3224775
2025-09-01 10:30:00,ATM-3,CE,24350.0,24511.9,217.7,219.85,197.5,200.35,13.95,250800,503925
2025-09-01 10:35:00,ATM-3,CE,24350.0,24514.7,200.9,207.65,197.65,201.45,13.86,129450,513375
2025-09-01 10:40:00,ATM-3,CE,24400.0,24529.65,203.1,205.0,161.1,170.65,12.97,969000,3457725
2025-09-01 10:45:00,ATM-3,CE,24400.0,24538.75,171.45,182.6,169.35,181.4,13.62,1907475,3154275
2025-09-01 10:50:00,ATM-3,CE,24400.0,24528.7,180.15,181.95,165.0,169.95,12.93,1351275,3248025
2025-09-01 10:55:00,ATM-3,CE,24400.0,24545.0,213.65,217.0,165.55,180.6,12.49,1194750,3309000
