ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-03 09:15:00,ATM-3,CE,110.0,113.23,4.78,5.46,4.78,5.3,26.910024,608000,6400000
2026-08-03 09:20:00,ATM-3,CE,110.0,112.95,5.19,5.3,5.1,5.1,26.889016,48000,6368000
2026-08-03 09:25:00,ATM-3,CE,110.0,112.77,5.0,5.1,4.86,4.9,26.126562,88000,6368000
2026-08-03 09:30:00,ATM-3,CE,110.0,112.74,4.95,4.95,4.9,4.9,26.342747,48000,6352000
2026-08-03 09:35:00,ATM-3,CE,110.0,113.15,4.9,5.2,4.9,5.2,26.470043,168000,6328000
2026-08-03 09:40:00,ATM-3,CE,111.0,113.83,5.18,5.43,4.68,4.9,25.431184,328000,2552000
2026-08-03 09:45:00,ATM-3,CE,111.0,113.72,4.9,5.0,4.9,5.0,27.222812,16000,2552000
2026-08-03 09:50:00,ATM-3,CE,111.0,113.8,4.93,5.0,4.93,4.93,25.95805,16000,2552000
2026-08-03 09:55:00,ATM-3,CE,111.0,113.96,5.0,5.0,4.93,5.0,25.525921,16000,2544000
2026-08-03 10:00:00,ATM-3,CE,111.0,114.34,5.12,5.12,5.0,5.12,23.893081,8000,2552000
2026-08-03 10:05:00,ATM-3,CE,111.0,113.95,5.12,5.12,5.12,5.12,26.83669,0,2552000
2026-08-03 10:10:00,ATM-3,CE,111.0,113.84,5.12,5.12,5.12,5.12,27.614071,0,2552000
2026-08-03 10:15:00,ATM-3,CE,111.0,113.71,5.12,5.12,5.12,5.12,28.507671,0,2552000
2026-08-03 10:20:00,ATM-3,CE,111.0,113.79,4.92,5.12,4.92,4.92,25.943637,16000,2544000
2026-08-03 10:25:00,ATM-3,CE,111.0,113.79,4.92,4.92,4.92,4.92,25.946386,0,2544000
2026-08-03 10:30:00,ATM-3,CE,111.0,113.86,4.92,4.92,4.92,4.92,25.447354,0,2544000
2026-08-03 10:35:00,ATM-3,CE,111.0,113.79,4.92,4.92,4.92,4.92,25.951885,0,2544000
2026-08-03 10:40:00,ATM-3,CE,111.0,113.85,4.92,4.92,4.92,4.92,25.525067,0,2544000
