ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-03 09:15:00,ATM-3,CE,360.0,377.2,23.4,23.4,23.4,23.4,30.719074,0,1517650
2026-08-03 09:20:00,ATM-3,CE,360.0,376.9,23.4,23.4,21.55,21.55,24.72998,6350,1514475
2026-08-03 09:25:00,ATM-3,CE,360.0,376.5,21.5,21.55,21.5,21.55,25.978779,6350,1517650
2026-08-03 09:30:00,ATM-3,CE,360.0,377.0,21.55,21.55,21.55,21.55,24.41089,0,1517650
2026-08-03 09:35:00,ATM-3,CE,365.0,378.15,21.55,21.55,18.8,18.8,25.032466,0,263525
2026-08-03 09:40:00,ATM-3,CE,365.0,378.5,18.8,18.8,18.8,18.8,24.10284,0,263525
2026-08-03 09:45:00,ATM-3,CE,365.0,378.15,18.8,18.8,18.8,18.8,25.038124,0,263525
2026-08-03 09:50:00,ATM-3,CE,360.0,377.1,18.8,21.55,18.8,21.55,24.091575,0,1517650
2026-08-03 09:55:00,ATM-3,CE,365.0,377.75,21.55,21.55,18.8,18.8,26.063136,0,263525
2026-08-03 10:00:00,ATM-3,CE,365.0,377.85,18.8,18.8,18.8,18.8,25.815358,0,263525
2026-08-03 10:05:00,ATM-3,CE,360.0,377.1,18.8,21.55,18.8,21.55,24.100569,0,1517650
2026-08-03 10:10:00,ATM-3,CE,360.0,377.45,21.55,22.75,21.55,22.75,27.687595,3175,1520825
2026-08-03 10:15:00,ATM-3,CE,360.0,376.75,18.8,23.05,18.8,23.05,30.739853,3175,1520825
2026-08-03 10:20:00,ATM-3,CE,360.0,377.15,23.05,23.05,23.05,23.05,29.655296,0,1520825
2026-08-03 10:25:00,ATM-3,CE,360.0,377.2,23.05,23.05,23.05,23.05,29.519216,0,1520825
2026-08-03 10:30:00,ATM-3,CE,360.0,376.8,23.05,23.05,23.05,23.05,30.616155,0,1520825
2026-08-03 10:35:00,ATM-3,CE,360.0,376.75,23.05,23.05,23.05,23.05,30.752977,0,1520825
2026-08-03 10:40:00,ATM-3,CE,360.0,376.5,23.05,23.05,23.05,23.05,31.414378,0,1520825
2026-08-03 10:45:00,ATM-3,CE,360.0,376.7,23.05,23.05,23.05,23.05,30.892441,0,1520825
2026-08-03 10:50:00,ATM-3,CE,360.0,376.8,23.05,23.05,23.05,23.05,30.629265,0,1520825
2026-08-03 10:55:00,ATM-3,CE,360.0,376.65,23.05,23.05,23.05,23.05,31.031285,0,1520825
2026-08-03 11:00:00,ATM-3,CE,360.0,376.7,23.05,23.05,23.05,23.05,30.902313,0,1520825
2026-08-03 11:05:00,ATM-3,CE,360.0,376.8,23.05,23.05,23.05,23.05,30.639105,0,1520825
2026-08-03 11:10:00,ATM-3,CE,365.0,377.9,23.05,23.05,18.3,18.3,24.014473,0,263525
2026-08-03 11:15:00,ATM-3,CE,365.0,379.0,18.3,18.3,18.3,18.3,20.83103,0,263525
2026-08-03 11:20:00,ATM-3,CE,365.0,378.3,18.3,18.3,18.3,18.3,22.925798,0,263525
2026-08-03 11:25:00,ATM-3,CE,365.0,378.85,18.3,18.3,18.3,18.3,21.307794,0,263525
