ts,offset,side,strike,spot,close,volume,oi
2026-08-27 09:15:00,ATM-3,CE,77200.0,77515.13,381.5,965180,198720
2026-08-27 09:20:00,ATM-3,CE,77200.0,77483.71,351.0,323880,313980
2026-08-27 09:25:00,ATM-3,CE,77100.0,77397.03,393.2,303220,125660
2026-08-27 09:30:00,ATM-3,CE,77100.0,77421.64,392.05,231960,172180
2026-08-27 09:35:00,ATM-3,CE,77100.0,77389.84,374.75,171460,189340
2026-08-27 09:40:00,ATM-3,CE,77100.0,77442.61,405.0,125000,201880
2026-08-27 09:45:00,ATM-3,CE,77200.0,77506.41,338.4,737580,681960
2026-08-27 09:50:00,ATM-3,CE,77200.0,77459.35,300.5,733160,702560
2026-08-27 09:55:00,ATM-3,CE,77100.0,77411.45,364.9,128160,230840
2026-08-27 10:00:00,ATM-3,CE,77100.0,77389.69,348.55,279120,262640
2026-08-27 10:05:00,ATM-3,CE,77100.0,77395.9,359.8,114920,272000
2026-08-27 10:10:00,ATM-3,CE,77100.0,77360.58,319.2,186280,303960
2026-08-27 10:15:00,ATM-3,CE,77100.0,77366.94,333.5,156220,320100
2026-08-27 10:20:00,ATM-3,CE,77000.0,77332.4,408.95,154960,753620
2026-08-27 10:25:00,ATM-3,CE,77000.0,77335.89,407.5,174260,779960
2026-08-27 10:30:00,ATM-3,CE,77100.0,77364.16,337.8,173100,377920
2026-08-27 10:35:00,ATM-3,CE,77000.0,77336.62,419.55,128280,849580
2026-08-27 10:40:00,ATM-3,CE,77000.0,77304.67,378.95,336200,894500
2026-08-27 10:45:00,ATM-3,CE,77000.0,77321.24,387.35,275080,989620
2026-08-27 10:50:00,ATM-3,CE,77000.0,77285.89,354.0,388420,1135320
2026-08-27 10:55:00,ATM-3,CE,77000.0,77274.4,352.15,250380,1211220
2026-08-27 11:00:00,ATM-3,CE,77000.0,77287.52,364.45,408140,1234740
2026-08-27 11:05:00,ATM-3,CE,77000.0,77277.96,362.4,242940,1243100
2026-08-27 11:10:00,ATM-3,CE,77000.0,77257.72,335.45,232400,1256680
2026-08-27 11:15:00,ATM-3,CE,76900.0,77215.42,394.45,80420,142340
2026-08-27 11:20:00,ATM-3,CE,76900.0,77193.58,367.75,138640,185100
2026-08-27 11:25:00,ATM-3,CE,76900.0,77204.99,381.9,99580,209520
2026-08-27 11:30:00,ATM-3,CE,77000.0,77257.53,332.4,319880,1582460
2026-08-27 11:35:00,ATM-3,CE,77000.0,77251.57,328.65,315960,1440060
2026-08-27 11:40:00,ATM-3,CE,76900.0,77231.85,409.3,145340,184340
2026-08-27 11:45:00,ATM-3,CE,76900.0,77218.96,397.55,40320,186560
2026-08-27 11:50:00,ATM-3,CE,76900.0,77240.23,419.5,50520,192220
2026-08-27 11:55:00,ATM-3,CE,77000.0,77258.09,351.25,421440,1525460
2026-08-27 12:00:00,ATM-3,CE,76900.0,77229.67,414.6,68720,187680
2026-08-27 12:05:00,ATM-3,CE,76900.0,77208.58,395.2,86380,200420
2026-08-27 12:10:00,ATM-3,CE,77000.0,77256.52,336.75,257840,1530740
2026-08-27 12:15:00,ATM-3,CE,76900.0,77222.69,402.15,220940,175080
2026-08-27 12:20:00,ATM-3,CE,76900.0,77203.98,401.35,63760,184860
2026-08-27 12:25:00,ATM-3,CE,77000.0,77252.95,352.9,328780,1425680
2026-08-27 12:30:00,ATM-3,CE,77000.0,77250.8,352.7,129440,1409440
2026-08-27 12:35:00,ATM-3,CE,77000.0,77311.45,410.65,884200,1266880
2026-08-27 12:40:00,ATM-3,CE,77000.0,77304.22,402.45,568400,1104160
2026-08-27 12:45:00,ATM-3,CE,77000.0,77316.99,416.65,375280,1070400
2026-08-27 12:50:00,ATM-3,CE,77100.0,77361.65,337.8,776160,651080
2026-08-27 12:55:00,ATM-3,CE,77000.0,77348.2,426.95,461180,875680
2026-08-27 13:00:00,ATM-3,CE,77100.0,77350.44,331.65,381540,653220
2026-08-27 13:05:00,ATM-3,CE,77000.0,77347.9,428.6,268680,861080
2026-08-27 13:10:00,ATM-3,CE,77100.0,77380.11,358.35,461440,610720
2026-08-27 13:15:00,ATM-3,CE,77100.0,77360.65,338.35,494340,604260
2026-08-27 13:20:00,ATM-3,CE,77100.0,77385.45,350.6,242660,608880
2026-08-27 13:25:00,ATM-3,CE,77100.0,77353.81,338.6,248640,603980
2026-08-27 13:30:00,ATM-3,CE,77000.0,77334.86,412.25,324780,752360
2026-08-27 13:35:00,ATM-3,CE,77000.0,77347.59,415.45,202280,771860
2026-08-27 13:40:00,ATM-3,CE,77000.0,77297.02,369.1,343520,793380
2026-08-27 13:45:00,ATM-3,CE,76900.0,77233.26,384.05,526380,135700
2026-08-27 13:50:00,ATM-3,CE,76900.0,77212.98,373.35,114500,147020
2026-08-27 13:55:00,ATM-3,CE,76900.0,77185.93,347.45,139360,153560
2026-08-27 14:00:00,ATM-3,CE,76900.0,77169.44,343.9,116080,153560
2026-08-27 14:05:00,ATM-3,CE,76900.0,77150.84,346.1,133660,186820
2026-08-27 14:10:00,ATM-3,CE,76900.0,77179.93,350.4,154040,189060
2026-08-27 14:15:00,ATM-3,CE,76900.0,77216.47,385.0,111600,178100
2026-08-27 14:20:00,ATM-3,CE,76900.0,77241.44,383.8,96280,164340
2026-08-27 14:25:00,ATM-3,CE,77000.0,77261.16,333.4,450260,1224160
2026-08-27 14:30:00,ATM-3,CE,77000.0,77257.34,315.85,722880,1101240
2026-08-27 14:35:00,ATM-3,CE,77000.0,77254.82,323.25,203520,1133620
2026-08-27 14:40:00,ATM-3,CE,76900.0,77200.25,376.45,91360,142000
2026-08-27 14:45:00,ATM-3,CE,76900.0,77235.67,409.3,107680,144540
2026-08-27 14:50:00,ATM-3,CE,76900.0,77197.96,376.9,561600,149660
2026-08-27 14:55:00,ATM-3,CE,76900.0,77245.54,395.75,78280,141440
2026-08-27 15:00:00,ATM-3,CE,76900.0,77213.18,369.45,386380,132040
2026-08-27 15:05:00,ATM-3,CE,76900.0,77208.08,346.55,208920,137320
