ts,side,strike,spot,close,oi
2026-09-01 09:15:00,CE,76600.0,76878.59,529.5,50080
2026-09-01 09:20:00,CE,76600.0,76866.64,512.5,72380
2026-09-01 09:25:00,CE,76600.0,76943.41,556.2,82500
2026-09-01 09:30:00,CE,76700.0,76958.62,489.0,109600
2026-09-01 09:35:00,CE,76600.0,76865.38,499.25,92060
2026-09-01 09:40:00,CE,76500.0,76831.38,548.95,94740
2026-09-01 09:45:00,CE,76500.0,76805.71,547.05,114140
2026-09-01 09:50:00,CE,76500.0,76807.91,537.05,132420
2026-09-01 09:55:00,CE,76500.0,76800.79,529.2,147700
2026-09-01 10:00:00,CE,76600.0,76853.58,480.0,144740
2026-09-01 10:05:00,CE,76600.0,76851.7,478.0,151380
2026-09-01 10:10:00,CE,76600.0,76878.41,483.5,156720
2026-09-01 10:15:00,CE,76600.0,76929.55,509.6,143640
2026-09-01 10:20:00,CE,76700.0,76966.24,462.6,198200
2026-09-01 10:25:00,CE,76700.0,76962.34,458.05,199340
2026-09-01 10:30:00,CE,76700.0,76984.86,464.95,181560
2026-09-01 10:35:00,CE,76700.0,76994.74,469.65,191560
2026-09-01 10:40:00,CE,76700.0,76963.62,462.2,195620
2026-09-01 10:45:00,CE,76700.0,76979.66,469.55,190060
2026-09-01 10:50:00,CE,76700.0,77038.66,513.05,168700
2026-09-01 10:55:00,CE,76700.0,77026.1,510.1,207880
2026-09-01 11:00:00,CE,76700.0,77034.56,506.3,204180
2026-09-01 11:05:00,CE,76800.0,77071.71,475.4,438440
2026-09-01 11:10:00,CE,76800.0,77114.98,513.6,427840
2026-09-01 11:15:00,CE,76900.0,77166.65,491.95,550540
2026-09-01 11:20:00,CE,76900.0,77180.6,497.45,515900
2026-09-01 11:25:00,CE,76900.0,77196.3,523.9,473280
2026-09-01 11:30:00,CE,76900.0,77190.28,517.3,449420
2026-09-01 11:35:00,CE,76900.0,77156.25,479.9,437020
2026-09-01 11:40:00,CE,76900.0,77169.23,492.0,440220
2026-09-01 11:45:00,CE,76800.0,77137.65,547.2,355420
2026-09-01 11:50:00,CE,76900.0,77172.29,486.25,440180
2026-09-01 11:55:00,CE,76900.0,77175.01,493.55,439000
2026-09-01 12:00:00,CE,76900.0,77198.01,504.35,433240
2026-09-01 12:05:00,CE,76900.0,77221.94,526.35,426020
2026-09-01 12:10:00,CE,76900.0,77192.67,503.15,426800
2026-09-01 12:15:00,CE,76900.0,77173.47,481.95,424760
2026-09-01 12:20:00,CE,76800.0,77136.86,528.5,362940
2026-09-01 12:25:00,CE,76900.0,77170.38,474.9,415460
2026-09-01 12:30:00,CE,76900.0,77158.51,475.0,419820
2026-09-01 12:35:00,CE,76900.0,77156.93,478.85,420580
2026-09-01 12:40:00,CE,76900.0,77178.54,492.2,416600
2026-09-01 12:45:00,CE,76900.0,77158.4,474.75,418620
2026-09-01 12:50:00,CE,76800.0,77100.92,515.0,366780
2026-09-01 12:55:00,CE,76800.0,77099.47,508.6,373880
2026-09-01 13:00:00,CE,76800.0,77076.84,483.6,375460
2026-09-01 13:05:00,CE,76700.0,77036.29,527.65,127880
2026-09-01 13:10:00,CE,76700.0,76955.67,458.1,137900
2026-09-01 13:15:00,CE,76700.0,76950.4,454.9,154780
2026-09-01 13:20:00,CE,76700.0,76974.91,470.9,160640
2026-09-01 13:25:00,CE,76700.0,76953.42,458.6,167200
2026-09-01 13:30:00,CE,76700.0,76988.81,477.35,170220
2026-09-01 13:35:00,CE,76600.0,76928.78,500.0,83980
2026-09-01 13:40:00,CE,76600.0,76916.09,491.8,90520
2026-09-01 13:45:00,CE,76600.0,76875.32,467.0,92700
2026-09-01 13:50:00,CE,76500.0,76785.76,470.0,149340
2026-09-01 13:55:00,CE,76500.0,76810.92,482.8,135560
2026-09-01 14:00:00,CE,76500.0,76753.96,444.65,143700
2026-09-01 14:05:00,CE,76400.0,76669.02,471.4,52100
2026-09-01 14:10:00,CE,76400.0,76698.95,489.75,59240
2026-09-01 14:15:00,CE,76400.0,76691.17,492.85,65240
2026-09-01 14:20:00,CE,76400.0,76672.63,484.9,71280
2026-09-01 14:25:00,CE,76400.0,76740.25,534.85,68240
2026-09-01 14:30:00,CE,76400.0,76748.21,543.9,61520
2026-09-01 14:35:00,CE,76400.0,76707.71,503.25,57360
2026-09-01 14:40:00,CE,76400.0,76693.31,507.05,58820
2026-09-01 14:45:00,CE,76400.0,76700.2,519.25,60020
2026-09-01 14:50:00,CE,76400.0,76743.7,534.7,56700
2026-09-01 14:55:00,CE,76500.0,76751.75,452.7,206820
2026-09-01 15:00:00,CE,76400.0,76728.67,510.4,56900
2026-09-01 15:05:00,CE,76400.0,76711.67,498.3,61120
2026-09-01 15:10:00,CE,76400.0,76718.68,517.0,60680
2026-09-01 15:15:00,CE,76400.0,76725.18,501.0,52060
2026-09-01 15:20:00,CE,76400.0,76725.18,511.6,52960
2026-09-01 15:25:00,CE,76600.0,76944.28,398.5,178540
2026-09-01 15:30:00,CE,76600.0,76944.28,358.15,150260
2026-09-01 15:35:00,CE,76600.0,76944.28,348.0,147700
2026-09-02 09:15:00,CE,75900.0,76224.43,522.95,62940
2026-09-02 09:20:00,CE,75900.0,76181.1,519.5,95420
2026-09-02 09:25:00,CE,76000.0,76261.55,466.2,523820
2026-09-02 09:30:00,CE,76000.0,76341.94,506.25,529060
2026-09-02 09:35:00,CE,76000.0,76295.17,470.2,513560
2026-09-02 09:40:00,CE,76000.0,76341.45,489.0,499840
2026-09-02 09:45:00,CE,76000.0,76320.71,488.0,512880
2026-09-02 09:50:00,CE,76000.0,76303.43,467.7,514020
2026-09-02 09:55:00,CE,76100.0,76382.5,437.2,357480
2026-09-02 10:00:00,CE,76100.0,76373.64,433.15,352400
2026-09-02 10:05:00,CE,76000.0,76344.0,489.0,500920
2026-09-02 10:10:00,CE,76000.0,76344.69,498.9,529520
2026-09-02 10:15:00,CE,76100.0,76396.77,445.45,352320
2026-09-02 10:20:00,CE,76100.0,76448.37,498.65,284900
2026-09-02 10:25:00,CE,76200.0,76478.36,449.7,790820
2026-09-02 10:30:00,CE,76200.0,76478.33,440.0,646540
2026-09-02 10:35:00,CE,76100.0,76410.14,471.35,234560
2026-09-02 10:40:00,CE,76100.0,76404.25,469.95,240180
2026-09-02 10:45:00,CE,76100.0,76406.83,473.45,242980
2026-09-02 10:50:00,CE,76100.0,76380.03,451.85,254060
2026-09-02 10:55:00,CE,76100.0,76394.71,460.55,262380
2026-09-02 11:00:00,CE,76000.0,76330.28,484.15,400480
2026-09-02 11:05:00,CE,76000.0,76311.2,468.85,436940
2026-09-02 11:10:00,CE,76000.0,76309.8,478.65,439240
2026-09-02 11:15:00,CE,76000.0,76319.53,481.0,487500
2026-09-02 11:20:00,CE,76000.0,76283.88,464.85,497560
2026-09-02 11:25:00,CE,76000.0,76273.13,460.25,513900
2026-09-02 11:30:00,CE,76000.0,76259.21,457.65,552780
2026-09-02 11:35:00,CE,76000.0,76279.37,472.8,589260
2026-09-02 11:40:00,CE,76000.0,76255.85,461.2,588840
2026-09-02 11:45:00,CE,75900.0,76249.21,531.05,88540
2026-09-02 11:50:00,CE,76000.0,76295.86,492.4,607880
2026-09-02 11:55:00,CE,76000.0,76263.83,461.45,560280
2026-09-02 12:00:00,CE,75900.0,76238.86,531.85,91400
2026-09-02 12:05:00,CE,76000.0,76264.69,465.1,611220
2026-09-02 12:10:00,CE,76000.0,76340.33,513.4,533960
2026-09-02 12:15:00,CE,76000.0,76313.44,493.15,495640
2026-09-02 12:20:00,CE,76000.0,76292.43,484.0,491960
2026-09-02 12:25:00,CE,76000.0,76330.19,517.5,486640
2026-09-02 12:30:00,CE,76100.0,76374.93,471.55,392380
2026-09-02 12:35:00,CE,76100.0,76377.26,477.0,392980
2026-09-02 12:40:00,CE,76100.0,76417.38,493.45,349580
2026-09-02 12:45:00,CE,76100.0,76401.8,492.4,336380
2026-09-02 12:50:00,CE,76100.0,76417.73,501.0,356360
2026-09-02 12:55:00,CE,76100.0,76427.04,504.9,357500
2026-09-02 13:00:00,CE,76100.0,76429.72,497.3,334720
2026-09-02 13:05:00,CE,76100.0,76389.99,475.7,321440
2026-09-02 13:10:00,CE,76100.0,76447.39,515.0,316160
2026-09-02 13:15:00,CE,76100.0,76438.14,501.3,306380
2026-09-02 13:20:00,CE,76100.0,76448.69,507.7,316460
2026-09-02 13:25:00,CE,76100.0,76443.65,496.0,321500
2026-09-02 13:30:00,CE,76100.0,76444.51,504.9,316680
2026-09-02 13:35:00,CE,76100.0,76419.79,480.75,302280
2026-09-02 13:40:00,CE,76100.0,76425.19,484.45,333620
2026-09-02 13:45:00,CE,76100.0,76423.45,467.65,313060
2026-09-02 13:50:00,CE,76100.0,76420.27,480.2,314800
2026-09-02 13:55:00,CE,76100.0,76439.64,501.9,318380
2026-09-02 14:00:00,CE,76200.0,76463.73,433.2,621440
2026-09-02 14:05:00,CE,76200.0,76517.93,483.0,577120
2026-09-02 14:10:00,CE,76200.0,76495.56,459.75,538440
2026-09-02 14:15:00,CE,76200.0,76481.16,447.3,533380
2026-09-02 14:20:00,CE,76200.0,76459.2,404.8,541120
2026-09-02 14:25:00,CE,76200.0,76487.7,443.0,533840
2026-09-02 14:30:00,CE,76200.0,76531.17,480.0,513600
2026-09-02 14:35:00,CE,76200.0,76521.24,467.45,514320
2026-09-02 14:40:00,CE,76200.0,76473.14,422.65,517440
2026-09-02 14:45:00,CE,76200.0,76515.69,447.0,525980
2026-09-02 14:50:00,CE,76200.0,76463.84,418.7,498060
2026-09-02 14:55:00,CE,76100.0,76426.52,471.1,311980
2026-09-02 15:00:00,CE,76100.0,76381.7,445.3,312760
2026-09-02 15:05:00,CE,76100.0,76379.58,467.55,298520
2026-09-02 15:10:00,CE,76200.0,76469.92,425.1,478780
2026-09-02 15:15:00,CE,76200.0,76469.92,411.8,439500
2026-09-02 15:20:00,CE,76200.0,76469.92,415.15,430680
2026-09-02 15:25:00,CE,76300.0,76570.35,328.2,833900
2026-09-02 15:30:00,CE,76300.0,76570.35,306.55,777120
2026-09-02 15:35:00,CE,76300.0,76570.35,314.45,691800
2026-09-03 09:15:00,CE,76500.0,76755.0,366.45,1450160
2026-09-01 09:15:00,PE,76600.0,76878.59,161.3,287240
2026-09-01 09:20:00,PE,76600.0,76866.64,172.45,300120
2026-09-01 09:25:00,PE,76600.0,76943.41,151.9,349660
2026-09-01 09:30:00,PE,76700.0,76958.62,180.9,578300
2026-09-01 09:35:00,PE,76600.0,76865.38,167.4,376580
2026-09-01 09:40:00,PE,76500.0,76831.38,143.0,664460
2026-09-01 09:45:00,PE,76500.0,76805.71,145.5,614040
2026-09-01 09:50:00,PE,76500.0,76807.91,145.95,616280
2026-09-01 09:55:00,PE,76500.0,76800.79,148.65,638900
2026-09-01 10:00:00,PE,76600.0,76853.58,170.0,381580
2026-09-01 10:05:00,PE,76600.0,76851.7,172.3,390520
2026-09-01 10:10:00,PE,76600.0,76878.41,167.2,398640
2026-09-01 10:15:00,PE,76600.0,76929.55,147.9,398680
2026-09-01 10:20:00,PE,76700.0,76966.24,169.95,763220
2026-09-01 10:25:00,PE,76700.0,76962.34,170.2,805780
2026-09-01 10:30:00,PE,76700.0,76984.86,176.75,1452820
2026-09-01 10:35:00,PE,76700.0,76994.74,173.3,1725520
2026-09-01 10:40:00,PE,76700.0,76963.62,177.65,1770180
2026-09-01 10:45:00,PE,76700.0,76979.66,174.45,1831680
2026-09-01 10:50:00,PE,76700.0,77038.66,158.4,2087260
2026-09-01 10:55:00,PE,76700.0,77026.1,161.85,2363860
2026-09-01 11:00:00,PE,76700.0,77034.56,161.45,2404160
2026-09-01 11:05:00,PE,76800.0,77071.71,174.6,1258300
2026-09-01 11:10:00,PE,76800.0,77114.98,159.95,1294980
2026-09-01 11:15:00,PE,76900.0,77166.65,172.5,1236380
2026-09-01 11:20:00,PE,76900.0,77180.6,171.8,1285080
2026-09-01 11:25:00,PE,76900.0,77196.3,161.25,1347740
2026-09-01 11:30:00,PE,76900.0,77190.28,163.25,1422720
2026-09-01 11:35:00,PE,76900.0,77156.25,171.5,1419500
2026-09-01 11:40:00,PE,76900.0,77169.23,169.8,1428100
2026-09-01 11:45:00,PE,76800.0,77137.65,150.25,1346500
2026-09-01 11:50:00,PE,76900.0,77172.29,172.8,1428120
2026-09-01 11:55:00,PE,76900.0,77175.01,169.65,1430320
2026-09-01 12:00:00,PE,76900.0,77198.01,165.05,1433420
2026-09-01 12:05:00,PE,76900.0,77221.94,157.65,1435160
2026-09-01 12:10:00,PE,76900.0,77192.67,163.9,1443740
2026-09-01 12:15:00,PE,76900.0,77173.47,167.35,1452680
2026-09-01 12:20:00,PE,76800.0,77136.86,149.0,1379280
2026-09-01 12:25:00,PE,76900.0,77170.38,171.0,1462240
2026-09-01 12:30:00,PE,76900.0,77158.51,169.45,1462400
2026-09-01 12:35:00,PE,76900.0,77156.93,167.65,1458420
2026-09-01 12:40:00,PE,76900.0,77178.54,162.8,1461220
2026-09-01 12:45:00,PE,76900.0,77158.4,168.3,1459380
2026-09-01 12:50:00,PE,76800.0,77100.92,150.4,1397880
2026-09-01 12:55:00,PE,76800.0,77099.47,153.15,1391600
2026-09-01 13:00:00,PE,76800.0,77076.84,161.7,1396340
2026-09-01 13:05:00,PE,76700.0,77036.29,143.55,3074380
2026-09-01 13:10:00,PE,76700.0,76955.67,165.0,3055680
2026-09-01 13:15:00,PE,76700.0,76950.4,164.8,3009280
2026-09-01 13:20:00,PE,76700.0,76974.91,160.05,2985380
2026-09-01 13:25:00,PE,76700.0,76953.42,165.1,2975700
2026-09-01 13:30:00,PE,76700.0,76988.81,154.3,2975360
2026-09-01 13:35:00,PE,76600.0,76928.78,145.2,576520
2026-09-01 13:40:00,PE,76600.0,76916.09,139.8,526620
2026-09-01 13:45:00,PE,76600.0,76875.32,149.4,491820
2026-09-01 13:50:00,PE,76500.0,76785.76,153.85,919860
2026-09-01 13:55:00,PE,76500.0,76810.92,147.35,979840
2026-09-01 14:00:00,PE,76500.0,76753.96,169.95,954600
2026-09-01 14:05:00,PE,76400.0,76669.02,167.0,327160
2026-09-01 14:10:00,PE,76400.0,76698.95,157.9,349180
2026-09-01 14:15:00,PE,76400.0,76691.17,155.25,365560
2026-09-01 14:20:00,PE,76400.0,76672.63,164.65,362640
2026-09-01 14:25:00,PE,76400.0,76740.25,136.2,379740
2026-09-01 14:30:00,PE,76400.0,76748.21,129.6,375780
2026-09-01 14:35:00,PE,76400.0,76707.71,149.0,379760
2026-09-01 14:40:00,PE,76400.0,76693.31,149.7,386500
2026-09-01 14:45:00,PE,76400.0,76700.2,144.0,395580
2026-09-01 14:50:00,PE,76400.0,76743.7,134.8,417480
2026-09-01 14:55:00,PE,76500.0,76751.75,166.4,1064940
2026-09-01 15:00:00,PE,76400.0,76728.67,141.5,412500
2026-09-01 15:05:00,PE,76400.0,76711.67,146.25,402160
2026-09-01 15:10:00,PE,76400.0,76718.68,138.3,392300
2026-09-01 15:15:00,PE,76400.0,76725.18,138.4,384120
2026-09-01 15:20:00,PE,76400.0,76725.18,127.65,363080
2026-09-01 15:25:00,PE,76600.0,76944.28,171.6,395300
2026-09-01 15:30:00,PE,76600.0,76944.28,203.6,374420
2026-09-01 15:35:00,PE,76600.0,76944.28,205.0,362160
2026-09-02 09:15:00,PE,75900.0,76224.43,122.9,506940
2026-09-02 09:20:00,PE,75900.0,76181.1,125.5,632980
2026-09-02 09:25:00,PE,76000.0,76261.55,145.1,2301200
2026-09-02 09:30:00,PE,76000.0,76341.94,122.25,2443600
2026-09-02 09:35:00,PE,76000.0,76295.17,137.8,2752480
2026-09-02 09:40:00,PE,76000.0,76341.45,125.2,2928900
2026-09-02 09:45:00,PE,76000.0,76320.71,129.05,3134280
2026-09-02 09:50:00,PE,76000.0,76303.43,132.6,3201620
2026-09-02 09:55:00,PE,76100.0,76382.5,141.05,1403120
2026-09-02 10:00:00,PE,76100.0,76373.64,143.85,1456860
2026-09-02 10:05:00,PE,76000.0,76344.0,119.85,3459020
2026-09-02 10:10:00,PE,76000.0,76344.69,114.85,3561960
2026-09-02 10:15:00,PE,76100.0,76396.77,135.05,1531260
2026-09-02 10:20:00,PE,76100.0,76448.37,116.35,1452680
2026-09-02 10:25:00,PE,76200.0,76478.36,137.4,3076180
2026-09-02 10:30:00,PE,76200.0,76478.33,141.0,3174640
2026-09-02 10:35:00,PE,76100.0,76410.14,127.05,1704820
2026-09-02 10:40:00,PE,76100.0,76404.25,128.1,1692880
2026-09-02 10:45:00,PE,76100.0,76406.83,128.2,1703000
2026-09-02 10:50:00,PE,76100.0,76380.03,135.2,1691140
2026-09-02 10:55:00,PE,76100.0,76394.71,131.05,1632960
2026-09-02 11:00:00,PE,76000.0,76330.28,123.2,4197500
