ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-03 09:15:00,ATM-3,CE,20.0,22.92,3.02,3.02,3.02,3.02,0.0,31100,1555000
2026-08-03 09:20:00,ATM-3,CE,20.0,22.91,3.02,3.02,3.02,3.02,0.0,31100,1586100
2026-08-03 09:25:00,ATM-3,CE,20.0,22.88,3.02,3.02,3.02,3.02,30.251073,0,1586100
2026-08-03 09:30:00,ATM-3,CE,20.0,22.91,3.02,3.02,3.02,3.02,0.0,0,1586100
2026-08-03 09:35:00,ATM-3,CE,20.0,22.96,3.02,3.02,3.02,3.02,0.0,0,1617200
2026-08-03 09:40:00,ATM-3,CE,20.0,22.96,3.02,3.02,3.02,3.02,0.0,0,1617200
2026-08-03 09:45:00,ATM-3,CE,20.0,22.92,3.02,3.02,3.02,3.02,0.0,0,1617200
2026-08-03 09:50:00,ATM-3,CE,20.0,22.94,3.02,3.08,3.02,3.08,30.748959,62200,1586100
2026-08-03 09:55:00,ATM-3,CE,20.0,22.95,3.08,3.08,3.08,3.08,27.309645,0,1586100
2026-08-03 10:00:00,ATM-3,CE,20.0,22.94,3.08,3.08,3.08,3.08,30.764093,0,1586100
2026-08-03 10:05:00,ATM-3,CE,20.0,22.92,3.08,3.08,3.08,3.08,35.071542,0,1586100
2026-08-03 10:10:00,ATM-3,CE,20.0,22.92,3.08,3.08,3.08,3.08,35.077578,0,1586100
2026-08-03 10:15:00,ATM-3,CE,20.0,22.9,3.08,3.08,3.08,3.08,38.180664,0,1586100
2026-08-03 10:20:00,ATM-3,CE,20.0,22.9,3.08,3.08,3.08,3.08,38.186231,0,1586100
2026-08-03 10:25:00,ATM-3,CE,20.0,22.91,3.08,3.08,3.02,3.02,0.0,62200,1617200
2026-08-03 10:30:00,ATM-3,CE,20.0,22.9,3.02,3.02,3.02,3.02,0.0,0,1617200
2026-08-03 10:35:00,ATM-3,CE,20.0,22.88,3.02,3.02,3.02,3.02,30.355687,0,1617200
2026-08-03 10:40:00,ATM-3,CE,20.0,22.88,3.02,3.02,3.02,3.02,30.363143,0,1617200
2026-08-03 10:45:00,ATM-3,CE,20.0,22.89,3.02,3.02,3.02,3.02,26.993453,0,1617200
2026-08-03 10:50:00,ATM-3,CE,20.0,22.89,3.02,3.02,3.02,3.02,27.003907,0,1617200
2026-08-03 10:55:00,ATM-3,CE,20.0,22.89,3.02,3.02,3.02,3.02,27.01435,0,1617200
2026-08-03 11:00:00,ATM-3,CE,20.0,22.9,3.02,3.02,3.02,3.02,0.0,0,1617200
2026-08-03 11:05:00,ATM-3,CE,20.0,22.9,3.02,3.02,3.02,3.02,0.0,0,1617200
2026-08-03 11:10:00,ATM-3,CE,20.0,22.88,3.02,3.02,3.02,3.02,30.407854,0,1617200
2026-08-03 11:15:00,ATM-3,CE,20.0,22.88,3.02,3.02,3.02,3.02,30.415299,0,1617200
2026-08-03 11:20:00,ATM-3,CE,20.0,22.87,3.02,3.02,3.02,3.02,32.765822,0,1617200
2026-08-03 11:25:00,ATM-3,CE,20.0,22.85,3.02,3.02,3.02,3.02,36.280442,0,1617200
2026-08-03 11:30:00,ATM-3,CE,20.0,22.86,3.02,3.02,3.02,3.02,34.666374,0,1617200
2026-08-03 11:35:00,ATM-3,CE,20.0,22.86,3.02,3.02,3.02,3.02,34.672339,0,1617200
