ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:40:00,ATM-3,CE,1200.0,1251.0,53.0,54.45,51.5,54.45,27.143413,3750,498125
2026-08-20 09:45:00,ATM-3,CE,1200.0,1250.3,53.85,54.45,53.0,53.0,23.433293,10625,498125
2026-08-20 09:50:00,ATM-3,CE,1200.0,1251.4,53.6,55.0,53.0,54.4,25.337541,18750,496250
2026-08-20 09:55:00,ATM-3,CE,1200.0,1252.3,54.5,56.2,54.4,55.5,26.59011,26875,495625
2026-08-20 10:00:00,ATM-3,CE,1200.0,1251.4,55.45,55.5,54.1,54.1,23.847714,3125,495625
2026-08-20 10:05:00,ATM-3,CE,1200.0,1251.9,54.1,56.0,54.0,55.05,26.249174,13125,492500
2026-08-20 10:10:00,ATM-3,CE,1200.0,1252.5,55.2,55.2,54.35,54.45,18.530024,5000,491875
2026-08-20 10:15:00,ATM-3,CE,1200.0,1251.3,55.2,55.2,53.0,53.0,0.0,7500,491250
2026-08-20 10:20:00,ATM-3,CE,1180.0,1249.9,53.3,59.55,53.0,59.55,0.0,6250,231875
2026-08-20 10:25:00,ATM-3,CE,1180.0,1249.7,53.1,59.55,53.05,59.55,0.0,2500,231875
2026-08-20 10:30:00,ATM-3,CE,1180.0,1248.0,59.55,59.55,59.55,59.55,0.0,0,231875
2026-08-20 10:35:00,ATM-3,CE,1200.0,1251.3,59.55,59.55,51.15,54.05,24.176464,6250,474375
2026-08-20 10:40:00,ATM-3,CE,1200.0,1252.5,54.05,55.3,54.05,55.3,24.864287,5625,471875
2026-08-20 10:45:00,ATM-3,CE,1200.0,1251.1,55.3,55.3,54.25,54.25,26.068617,3750,471875
2026-08-20 10:50:00,ATM-3,CE,1200.0,1250.5,54.25,54.25,54.25,54.25,28.324246,0,471875
2026-08-20 10:55:00,ATM-3,CE,1180.0,1249.9,59.55,59.55,52.6,59.55,0.0,1250,231875
2026-08-20 11:00:00,ATM-3,CE,1180.0,1249.9,59.55,59.55,51.75,59.55,0.0,0,231875
2026-08-20 11:05:00,ATM-3,CE,1200.0,1250.3,52.75,52.95,52.55,52.95,23.378988,3750,471250
2026-08-20 11:10:00,ATM-3,CE,1180.0,1250.0,52.65,59.55,52.65,59.55,0.0,625,231875
2026-08-20 11:15:00,ATM-3,CE,1180.0,1249.6,52.65,59.55,52.65,59.55,0.0,625,231875
2026-08-20 11:20:00,ATM-3,CE,1180.0,1249.7,59.55,59.55,52.25,59.55,0.0,625,231875
2026-08-20 11:25:00,ATM-3,CE,1200.0,1250.1,59.55,59.55,51.7,52.5,21.887842,625,471875
2026-08-20 11:30:00,ATM-3,CE,1200.0,1250.9,52.5,52.5,52.5,52.5,0.0,625,471875
2026-08-20 11:35:00,ATM-3,CE,1200.0,1250.2,52.5,52.5,52.5,52.5,21.278983,0,471875
2026-08-20 11:40:00,ATM-3,CE,1180.0,1249.5,52.5,59.55,52.5,59.55,0.0,0,231875
2026-08-20 11:45:00,ATM-3,CE,1200.0,1250.2,52.5,52.5,52.5,52.5,21.308475,3125,471875
2026-08-20 11:50:00,ATM-3,CE,1200.0,1250.3,52.5,52.5,52.5,52.5,20.621032,0,471875
2026-08-20 11:55:00,ATM-3,CE,1200.0,1250.9,52.5,52.5,52.5,52.5,0.0,0,471875
2026-08-20 12:00:00,ATM-3,CE,1200.0,1250.4,52.5,52.5,52.5,52.5,19.861355,0,471875
2026-08-20 12:05:00,ATM-3,CE,1200.0,1250.4,52.5,52.5,52.25,52.25,17.049477,1250,471875
2026-08-20 12:10:00,ATM-3,CE,1180.0,1249.8,59.55,59.55,52.25,59.55,0.0,0,231875
2026-08-20 12:15:00,ATM-3,CE,1180.0,1249.5,59.55,59.55,59.55,59.55,0.0,0,231875
2026-08-20 12:20:00,ATM-3,CE,1180.0,1249.2,59.55,59.55,59.55,59.55,0.0,0,231875
2026-08-20 12:25:00,ATM-3,CE,1180.0,1248.6,59.55,59.55,59.55,59.55,0.0,0,231875
2026-08-20 12:30:00,ATM-3,CE,1180.0,1248.0,59.55,59.55,59.55,59.55,0.0,0,231875
2026-08-20 12:35:00,ATM-3,CE,1180.0,1248.9,59.55,59.55,59.55,59.55,0.0,0,231875
2026-08-20 12:40:00,ATM-3,CE,1180.0,1249.3,59.55,59.55,59.55,59.55,0.0,0,231875
2026-08-20 12:45:00,ATM-3,CE,1180.0,1250.0,59.55,59.55,59.55,59.55,0.0,0,231875
2026-08-20 12:50:00,ATM-3,CE,1180.0,1249.5,59.55,59.55,53.15,59.55,0.0,625,231875
2026-08-20 12:55:00,ATM-3,CE,1180.0,1249.9,59.55,59.55,59.55,59.55,0.0,0,231875
2026-08-20 13:00:00,ATM-3,CE,1180.0,1249.2,59.55,59.55,59.55,59.55,0.0,0,231875
2026-08-20 13:05:00,ATM-3,CE,1180.0,1248.7,59.55,59.55,59.55,59.55,0.0,0,231875
2026-08-20 13:10:00,ATM-3,CE,1180.0,1247.5,59.55,59.55,59.55,59.55,0.0,0,231875
2026-08-20 13:15:00,ATM-3,CE,1180.0,1248.5,59.55,59.55,59.55,59.55,0.0,0,231875
2026-08-20 13:20:00,ATM-3,CE,1180.0,1249.1,59.55,59.55,59.55,59.55,0.0,0,231875
