ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:15:00,ATM-3,CE,395.0,410.3,15.2,16.1,15.2,16.0,18.37529,24225,2295675
2026-08-20 09:20:00,ATM-3,CE,395.0,410.45,16.1,16.25,16.0,16.25,20.696778,14250,2280000
2026-08-20 09:25:00,ATM-3,CE,395.0,410.05,16.25,16.25,15.45,15.45,0.0,2850,2278575
2026-08-20 09:30:00,ATM-3,CE,395.0,410.8,15.45,16.25,15.45,16.25,0.0,12825,2278575
2026-08-20 09:35:00,ATM-3,CE,395.0,411.75,16.6,17.5,16.25,17.1,0.0,14250,2275725
2026-08-20 09:40:00,ATM-3,CE,395.0,411.6,17.1,17.1,17.1,17.1,0.0,0,2275725
2026-08-20 09:45:00,ATM-3,CE,395.0,411.9,17.1,17.1,17.1,17.1,0.0,0,2275725
2026-08-20 09:50:00,ATM-3,CE,395.0,411.4,17.1,17.1,17.1,17.1,19.498031,0,2275725
2026-08-20 09:55:00,ATM-3,CE,395.0,411.1,17.1,17.1,17.1,17.1,24.643532,0,2275725
2026-08-20 10:00:00,ATM-3,CE,395.0,410.8,17.1,17.1,17.1,17.1,27.962321,0,2275725
2026-08-20 10:05:00,ATM-3,CE,395.0,410.75,17.1,17.1,17.1,17.1,28.451342,0,2275725
2026-08-20 10:10:00,ATM-3,CE,395.0,410.5,17.1,17.1,15.65,15.65,0.0,2850,2275725
2026-08-20 10:15:00,ATM-3,CE,395.0,410.35,15.65,15.65,15.65,15.65,0.0,0,2275725
2026-08-20 10:20:00,ATM-3,CE,395.0,409.85,15.65,15.65,15.65,15.65,20.254717,0,2275725
2026-08-20 10:25:00,ATM-3,CE,395.0,409.5,15.65,15.65,15.1,15.1,14.398313,5700,2272875
2026-08-20 10:30:00,ATM-3,CE,395.0,409.9,15.1,15.1,15.1,15.1,0.0,0,2272875
2026-08-20 10:35:00,ATM-3,CE,395.0,410.05,15.2,15.2,15.1,15.2,0.0,2850,2272875
2026-08-20 10:40:00,ATM-3,CE,395.0,410.0,15.2,15.35,15.2,15.35,0.0,11400,2272875
2026-08-20 10:45:00,ATM-3,CE,395.0,410.1,15.35,15.35,15.35,15.35,0.0,0,2272875
2026-08-20 10:50:00,ATM-3,CE,395.0,410.1,15.35,15.35,15.35,15.35,0.0,0,2272875
2026-08-20 10:55:00,ATM-3,CE,395.0,410.2,15.35,15.35,15.35,15.35,0.0,0,2272875
2026-08-20 11:00:00,ATM-3,CE,395.0,410.1,15.35,15.4,15.2,15.2,0.0,11400,2277150
2026-08-20 11:05:00,ATM-3,CE,395.0,410.35,15.2,15.2,15.2,15.2,0.0,0,2277150
2026-08-20 11:10:00,ATM-3,CE,395.0,410.65,15.2,15.95,15.2,15.65,0.0,2850,2274300
2026-08-20 11:15:00,ATM-3,CE,395.0,410.25,15.45,15.65,15.35,15.35,0.0,4275,2274300
2026-08-20 11:20:00,ATM-3,CE,395.0,410.05,15.35,15.35,15.3,15.3,0.0,1425,2272875
2026-08-20 11:25:00,ATM-3,CE,395.0,410.05,15.3,15.3,15.2,15.2,0.0,4275,2271450
2026-08-20 11:30:00,ATM-3,CE,395.0,410.15,15.2,15.2,15.2,15.2,0.0,1425,2272875
2026-08-20 11:35:00,ATM-3,CE,395.0,410.0,15.2,15.2,15.2,15.2,0.0,0,2272875
2026-08-20 11:40:00,ATM-3,CE,395.0,410.0,15.2,15.25,15.1,15.15,0.0,5700,2271450
2026-08-20 11:45:00,ATM-3,CE,395.0,410.15,15.2,15.35,15.15,15.35,0.0,2850,2272875
2026-08-20 11:50:00,ATM-3,CE,395.0,409.6,14.95,15.35,14.95,15.05,0.0,5700,2270025
2026-08-20 11:55:00,ATM-3,CE,395.0,410.1,15.0,15.05,15.0,15.0,0.0,4275,2270025
2026-08-20 12:00:00,ATM-3,CE,395.0,410.25,15.0,15.5,15.0,15.5,0.0,5700,2268600
2026-08-20 12:05:00,ATM-3,CE,395.0,409.8,15.5,15.5,14.75,14.75,0.0,1425,2267175
2026-08-20 12:10:00,ATM-3,CE,395.0,409.85,15.2,15.2,14.75,15.05,0.0,2850,2267175
2026-08-20 12:15:00,ATM-3,CE,395.0,410.0,15.0,15.05,15.0,15.0,0.0,1425,2268600
2026-08-20 12:20:00,ATM-3,CE,395.0,410.0,15.0,15.5,15.0,15.25,0.0,4275,2267175
2026-08-20 12:25:00,ATM-3,CE,395.0,410.0,15.25,15.35,15.25,15.35,0.0,2850,2267175
