ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:15:00,ATM-3,CE,2000.0,2070.0,68.15,68.15,68.15,68.15,0.0,0,182000
2026-08-20 09:20:00,ATM-3,CE,2000.0,2067.7,75.85,75.85,75.85,75.85,27.877245,0,181500
2026-08-20 09:25:00,ATM-3,CE,2000.0,2067.7,75.85,75.85,56.9,75.85,27.889284,0,182000
2026-08-20 09:30:00,ATM-3,CE,2020.0,2071.3,75.85,75.85,55.7,55.7,15.990372,0,133000
2026-08-20 09:35:00,ATM-3,CE,2000.0,2067.7,55.7,73.0,55.7,73.0,22.163686,500,182500
2026-08-20 09:40:00,ATM-3,CE,2000.0,2064.9,73.0,73.0,68.0,69.0,18.243928,1500,183000
2026-08-20 09:45:00,ATM-3,CE,2000.0,2066.9,69.0,69.05,69.0,69.05,0.0,1000,182500
2026-08-20 09:50:00,ATM-3,CE,2000.0,2068.1,69.05,69.05,69.05,69.05,0.0,0,182500
2026-08-20 09:55:00,ATM-3,CE,2000.0,2067.4,69.05,72.1,69.05,72.1,20.601957,1000,182000
2026-08-20 10:00:00,ATM-3,CE,2000.0,2063.3,72.1,72.1,72.1,72.1,27.931665,0,181500
2026-08-20 10:05:00,ATM-3,CE,2000.0,2060.5,72.1,72.1,66.4,66.4,21.90355,3000,180500
2026-08-20 10:10:00,ATM-3,CE,2000.0,2059.0,65.5,66.4,65.5,65.5,22.75591,500,180500
2026-08-20 10:15:00,ATM-3,CE,2000.0,2058.5,65.5,65.5,65.5,65.5,23.583223,0,180500
2026-08-20 10:20:00,ATM-3,CE,2000.0,2057.6,65.5,65.5,63.5,63.5,21.236443,500,180000
2026-08-20 10:25:00,ATM-3,CE,2000.0,2056.4,63.5,63.5,61.2,61.2,18.496205,1000,180500
2026-08-20 10:30:00,ATM-3,CE,2000.0,2058.0,61.7,61.7,61.2,61.7,15.557348,500,181000
2026-08-20 10:35:00,ATM-3,CE,2000.0,2059.0,61.7,61.7,61.7,61.7,0.0,0,181000
2026-08-20 10:40:00,ATM-3,CE,2000.0,2060.0,61.7,61.7,61.7,61.7,0.0,0,181000
2026-08-20 10:45:00,ATM-3,CE,2000.0,2059.3,61.7,61.7,61.7,61.7,0.0,0,181000
2026-08-20 10:50:00,ATM-3,CE,2000.0,2058.5,61.7,61.7,61.7,61.7,13.324237,0,181000
2026-08-20 10:55:00,ATM-3,CE,2000.0,2059.9,61.7,66.05,61.7,66.05,22.38196,1000,180500
2026-08-20 11:00:00,ATM-3,CE,2000.0,2057.3,66.05,66.1,66.05,66.1,26.451173,1500,181000
2026-08-20 11:05:00,ATM-3,CE,2000.0,2056.7,66.1,66.1,66.1,66.1,27.249149,0,181000
2026-08-20 11:10:00,ATM-3,CE,2000.0,2060.1,66.1,66.1,63.85,65.3,20.401342,6500,180500
2026-08-20 11:15:00,ATM-3,CE,2000.0,2057.3,65.3,65.3,65.3,65.3,25.163013,0,180500
2026-08-20 11:20:00,ATM-3,CE,2000.0,2058.3,65.3,65.3,65.3,65.3,23.673516,0,180500
2026-08-20 11:25:00,ATM-3,CE,2000.0,2059.0,65.3,65.3,65.3,65.3,22.526093,0,180500
2026-08-20 11:30:00,ATM-3,CE,2000.0,2054.5,64.95,65.3,64.95,64.95,28.277401,1500,181000
2026-08-20 11:35:00,ATM-3,CE,2000.0,2056.1,64.95,64.95,64.95,64.95,26.281389,0,181000
2026-08-20 11:40:00,ATM-3,CE,2000.0,2057.6,64.95,64.95,64.95,64.95,24.169473,0,181000
2026-08-20 11:45:00,ATM-3,CE,2000.0,2058.2,64.95,64.95,64.95,64.95,23.237427,0,181000
2026-08-20 11:50:00,ATM-3,CE,2000.0,2058.1,64.95,64.95,64.95,64.95,23.410174,0,181000
2026-08-20 11:55:00,ATM-3,CE,2000.0,2059.0,64.95,69.2,64.95,69.2,29.250466,500,181500
2026-08-20 12:00:00,ATM-3,CE,2000.0,2059.2,69.2,69.2,69.2,69.2,29.012046,0,181500
2026-08-20 12:05:00,ATM-3,CE,2000.0,2057.5,69.2,69.2,69.2,69.2,31.065678,0,181500
2026-08-20 12:10:00,ATM-3,CE,2000.0,2058.6,69.2,69.2,69.2,69.2,29.779527,0,181500
2026-08-20 12:15:00,ATM-3,CE,2000.0,2053.9,69.2,69.2,62.7,62.7,25.681501,1000,181000
2026-08-20 12:20:00,ATM-3,CE,2000.0,2056.8,62.7,62.7,62.7,62.7,21.294618,0,181000
2026-08-20 12:25:00,ATM-3,CE,2000.0,2057.0,62.7,62.7,62.7,62.7,20.937425,0,181000
2026-08-20 12:30:00,ATM-3,CE,2000.0,2056.5,62.7,62.7,62.7,62.7,21.845732,0,181000
2026-08-20 12:35:00,ATM-3,CE,2000.0,2055.5,62.7,63.5,62.7,63.5,24.857115,40000,162500
2026-08-20 12:40:00,ATM-3,CE,2000.0,2054.3,63.0,63.5,60.0,61.35,22.900411,65500,109000
2026-08-20 12:45:00,ATM-3,CE,2000.0,2056.1,61.45,63.4,61.1,63.4,23.83006,1500,108000
2026-08-20 12:50:00,ATM-3,CE,2000.0,2051.7,63.4,63.5,61.4,61.4,26.529892,3000,107000
2026-08-20 12:55:00,ATM-3,CE,2000.0,2051.4,59.2,61.4,59.2,59.55,24.021834,3500,107000
2026-08-20 13:05:00,ATM-3,CE,2000.0,2051.9,55.5,60.0,55.5,60.0,24.106003,500,101500
2026-08-20 13:10:00,ATM-3,CE,2000.0,2050.1,60.0,60.0,60.0,60.0,26.409233,1500,101000
2026-08-20 13:15:00,ATM-3,CE,2000.0,2050.9,60.0,60.0,60.0,60.0,25.438654,0,99500
2026-08-20 13:20:00,ATM-3,CE,2000.0,2050.6,60.0,60.0,57.75,58.0,22.611584,3000,100500
2026-08-20 13:25:00,ATM-3,CE,2000.0,2050.5,58.0,58.25,58.0,58.25,23.182891,0,100000
