ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:30:00,ATM-3,CE,800.0,865.5,64.0,65.1,64.0,65.1,0.0,1700,176800
2026-08-20 09:35:00,ATM-3,CE,800.0,865.15,65.1,65.1,65.1,65.1,0.0,0,176800
2026-08-20 09:40:00,ATM-3,CE,800.0,865.2,65.1,65.1,65.1,65.1,0.0,0,176800
2026-08-20 09:45:00,ATM-3,CE,800.0,864.8,65.1,65.1,65.1,65.1,0.0,0,176800
2026-08-20 09:50:00,ATM-3,CE,800.0,865.7,65.1,65.1,65.1,65.1,0.0,0,176800
2026-08-20 09:55:00,ATM-3,CE,800.0,866.65,65.1,65.1,65.1,65.1,0.0,0,176800
2026-08-20 10:00:00,ATM-3,CE,800.0,866.3,65.1,65.1,65.1,65.1,0.0,0,176800
2026-08-20 10:05:00,ATM-3,CE,800.0,866.15,65.1,65.1,65.1,65.1,0.0,0,176800
2026-08-20 10:10:00,ATM-3,CE,800.0,866.0,65.1,65.1,65.1,65.1,0.0,0,176800
2026-08-20 10:15:00,ATM-3,CE,800.0,865.25,65.1,65.1,64.25,64.25,0.0,850,175950
2026-08-20 10:20:00,ATM-3,CE,800.0,865.0,64.25,64.25,64.25,64.25,0.0,0,175950
2026-08-20 10:25:00,ATM-3,CE,800.0,865.8,64.25,64.25,64.25,64.25,0.0,0,175950
2026-08-20 10:30:00,ATM-3,CE,800.0,865.35,64.25,64.25,64.25,64.25,0.0,0,175950
2026-08-20 10:35:00,ATM-3,CE,800.0,867.6,64.25,64.25,64.25,64.25,0.0,0,175950
2026-08-20 10:40:00,ATM-3,CE,820.0,872.6,64.25,64.25,44.6,44.6,0.0,0,181050
2026-08-20 10:45:00,ATM-3,CE,820.0,871.1,44.6,44.6,44.6,44.6,0.0,0,181050
2026-08-20 10:50:00,ATM-3,CE,800.0,869.0,44.6,64.25,44.6,64.25,0.0,0,175950
2026-08-20 10:55:00,ATM-3,CE,800.0,867.95,67.5,67.5,64.25,67.5,0.0,850,177650
2026-08-20 11:00:00,ATM-3,CE,800.0,867.25,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 11:05:00,ATM-3,CE,800.0,867.65,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 11:10:00,ATM-3,CE,800.0,867.95,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 11:15:00,ATM-3,CE,800.0,868.1,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 11:20:00,ATM-3,CE,800.0,868.5,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 11:25:00,ATM-3,CE,800.0,867.95,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 11:30:00,ATM-3,CE,800.0,868.0,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 11:35:00,ATM-3,CE,800.0,868.55,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 11:40:00,ATM-3,CE,800.0,868.0,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 11:45:00,ATM-3,CE,800.0,867.5,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 11:50:00,ATM-3,CE,800.0,867.9,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 11:55:00,ATM-3,CE,800.0,869.2,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 12:00:00,ATM-3,CE,800.0,869.0,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 12:05:00,ATM-3,CE,800.0,868.85,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 12:10:00,ATM-3,CE,800.0,868.5,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 12:15:00,ATM-3,CE,800.0,867.85,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 12:20:00,ATM-3,CE,800.0,868.85,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 12:25:00,ATM-3,CE,800.0,869.0,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 12:30:00,ATM-3,CE,800.0,868.05,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 12:35:00,ATM-3,CE,800.0,869.7,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 12:40:00,ATM-3,CE,800.0,868.4,48.3,67.5,48.3,67.5,110.23884,0,177650
2026-08-20 12:45:00,ATM-3,CE,800.0,869.8,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 12:50:00,ATM-3,CE,820.0,870.05,67.5,67.5,48.3,48.3,0.0,0,179350
2026-08-20 12:55:00,ATM-3,CE,800.0,869.7,67.5,67.5,67.5,67.5,0.0,0,177650
2026-08-20 13:00:00,ATM-3,CE,820.0,871.4,67.5,67.5,48.3,48.3,0.0,0,179350
2026-08-20 13:05:00,ATM-3,CE,820.0,871.65,48.3,48.3,48.3,48.3,0.0,0,179350
2026-08-20 13:10:00,ATM-3,CE,820.0,872.35,48.3,48.3,48.3,48.3,0.0,0,179350
2026-08-20 13:15:00,ATM-3,CE,820.0,871.75,48.3,48.3,48.3,48.3,0.0,0,179350
2026-08-20 13:20:00,ATM-3,CE,820.0,875.05,48.3,52.55,48.3,52.55,0.0,1700,178500
2026-08-20 13:25:00,ATM-3,CE,820.0,873.3,52.55,52.55,51.7,51.7,0.0,7650,177650
2026-08-20 13:30:00,ATM-3,CE,820.0,872.9,51.7,51.7,51.7,51.7,0.0,0,177650
2026-08-20 13:35:00,ATM-3,CE,820.0,874.2,51.7,53.15,51.7,53.15,0.0,850,175100
2026-08-20 13:40:00,ATM-3,CE,820.0,873.45,53.15,53.15,52.65,52.65,0.0,1700,175100
2026-08-20 13:45:00,ATM-3,CE,820.0,872.65,52.65,52.75,52.3,52.3,0.0,3400,175100
2026-08-20 13:50:00,ATM-3,CE,820.0,874.0,52.3,52.65,52.25,52.65,0.0,3400,171700
2026-08-20 13:55:00,ATM-3,CE,820.0,873.6,52.65,52.65,52.65,52.65,0.0,0,171700
2026-08-20 14:00:00,ATM-3,CE,820.0,871.65,52.65,52.65,52.65,52.65,0.0,0,171700
2026-08-20 14:05:00,ATM-3,CE,820.0,872.25,52.65,52.65,52.65,52.65,0.0,0,171700
2026-08-20 14:10:00,ATM-3,CE,820.0,872.45,52.65,52.65,52.65,52.65,0.0,0,171700
2026-08-20 14:15:00,ATM-3,CE,820.0,872.0,52.65,52.65,52.65,52.65,0.0,0,171700
2026-08-20 14:20:00,ATM-3,CE,820.0,872.15,52.65,52.65,52.65,52.65,0.0,0,171700
2026-08-20 14:25:00,ATM-3,CE,820.0,874.55,52.65,52.65,52.65,52.65,0.0,0,171700
2026-08-20 14:30:00,ATM-3,CE,820.0,874.55,52.65,52.65,52.65,52.65,0.0,0,171700
2026-08-20 14:35:00,ATM-3,CE,820.0,875.45,52.65,52.65,52.65,52.65,0.0,0,170850
2026-08-20 14:40:00,ATM-3,CE,820.0,875.2,52.65,52.65,52.65,52.65,0.0,0,170850
2026-08-20 14:45:00,ATM-3,CE,820.0,875.2,52.65,52.65,52.65,52.65,0.0,0,170850
2026-08-20 14:50:00,ATM-3,CE,820.0,875.2,52.65,52.65,52.65,52.65,0.0,0,170850
2026-08-20 14:55:00,ATM-3,CE,820.0,875.0,52.65,52.65,52.65,52.65,0.0,0,170850
2026-08-20 15:00:00,ATM-3,CE,820.0,874.4,53.4,53.7,52.65,53.7,0.0,3400,170000
2026-08-20 15:05:00,ATM-3,CE,820.0,873.35,53.7,53.7,53.7,53.7,0.0,0,170000
2026-08-20 15:10:00,ATM-3,CE,820.0,873.35,53.7,53.7,53.7,53.7,0.0,0,170000
2026-08-20 15:15:00,ATM-3,CE,820.0,873.35,53.7,53.7,53.7,53.7,0.0,0,170000
2026-08-20 15:20:00,ATM-3,CE,820.0,873.35,53.7,53.7,53.7,53.7,0.0,0,170000
2026-08-20 15:25:00,ATM-3,CE,820.0,876.3,53.7,53.7,53.7,53.7,0.0,0,170000
2026-08-20 15:30:00,ATM-3,CE,820.0,876.3,53.7,53.7,53.7,53.7,0.0,0,170000
2026-08-20 15:35:00,ATM-3,CE,820.0,876.3,53.7,53.7,53.7,53.7,0.0,0,170000
2026-08-21 10:00:00,ATM-3,CE,820.0,873.8,53.7,53.7,53.7,53.7,0.0,850,169150
2026-08-21 10:05:00,ATM-3,CE,820.0,873.0,53.7,53.7,53.7,53.7,0.0,0,169150
2026-08-21 10:10:00,ATM-3,CE,820.0,872.8,53.7,53.7,53.7,53.7,0.0,0,169150
2026-08-21 10:15:00,ATM-3,CE,820.0,873.4,53.7,53.7,53.7,53.7,0.0,0,169150
2026-08-21 10:20:00,ATM-3,CE,820.0,872.25,53.7,53.7,53.7,53.7,33.589715,0,169150
2026-08-21 10:25:00,ATM-3,CE,820.0,873.45,53.7,53.7,53.7,53.7,0.0,0,169150
2026-08-21 10:30:00,ATM-3,CE,820.0,873.45,53.7,53.7,53.7,53.7,0.0,0,169150
2026-08-21 10:35:00,ATM-3,CE,820.0,873.5,53.7,53.7,53.7,53.7,0.0,0,169150
2026-08-21 10:40:00,ATM-3,CE,820.0,872.0,53.7,53.7,53.7,53.7,36.34456,0,168300
2026-08-21 10:45:00,ATM-3,CE,820.0,872.7,53.7,53.7,53.7,53.7,24.429312,0,168300
2026-08-21 10:50:00,ATM-3,CE,820.0,873.4,53.7,53.7,53.7,53.7,0.0,0,168300
2026-08-21 10:55:00,ATM-3,CE,820.0,876.35,53.7,53.7,53.7,53.7,0.0,0,168300
2026-08-21 11:00:00,ATM-3,CE,820.0,876.7,53.7,53.7,53.7,53.7,0.0,0,168300
2026-08-21 11:05:00,ATM-3,CE,820.0,878.9,53.7,60.35,53.7,59.55,0.0,3400,167450
2026-08-21 11:10:00,ATM-3,CE,820.0,878.8,59.55,59.55,59.55,59.55,0.0,0,167450
2026-08-21 11:15:00,ATM-3,CE,820.0,877.6,59.55,59.55,59.55,59.55,41.843757,0,167450
2026-08-21 11:20:00,ATM-3,CE,820.0,874.5,59.55,59.55,59.55,59.55,58.871555,0,167450
2026-08-21 11:25:00,ATM-3,CE,820.0,874.1,59.55,59.55,59.55,59.55,60.496107,0,167450
2026-08-21 11:30:00,ATM-3,CE,820.0,872.3,59.55,59.55,59.55,59.55,67.010989,0,167450
2026-08-21 11:35:00,ATM-3,CE,820.0,873.35,59.55,59.55,59.55,59.55,63.378909,0,167450
2026-08-21 11:40:00,ATM-3,CE,820.0,872.5,59.55,59.55,59.55,59.55,66.396647,0,167450
2026-08-21 11:45:00,ATM-3,CE,820.0,870.85,52.0,59.55,52.0,52.0,28.635318,850,164900
2026-08-21 11:50:00,ATM-3,CE,820.0,871.7,52.0,52.0,52.0,52.0,0.0,0,164900
2026-08-21 11:55:00,ATM-3,CE,820.0,871.2,52.0,52.0,52.0,52.0,0.0,0,164900
2026-08-21 12:00:00,ATM-3,CE,820.0,871.95,52.0,52.0,52.0,52.0,0.0,0,164900
2026-08-21 12:05:00,ATM-3,CE,820.0,870.7,52.0,52.0,50.0,50.0,0.0,850,164900
2026-08-21 12:10:00,ATM-3,CE,820.0,871.25,50.0,50.0,50.0,50.0,0.0,0,164900
2026-08-21 12:15:00,ATM-3,CE,820.0,872.05,50.0,50.0,50.0,50.0,0.0,0,164900
2026-08-21 12:20:00,ATM-3,CE,800.0,868.8,50.0,78.0,50.0,78.0,89.499707,0,172550
2026-08-21 12:25:00,ATM-3,CE,800.0,869.35,78.0,78.0,78.0,78.0,87.628327,0,172550
2026-08-21 12:30:00,ATM-3,CE,800.0,868.85,78.0,78.0,78.0,78.0,89.408508,0,172550
2026-08-21 12:35:00,ATM-3,CE,800.0,869.0,78.0,78.0,78.0,78.0,88.931291,0,172550
2026-08-21 12:40:00,ATM-3,CE,800.0,868.1,78.0,78.0,78.0,78.0,92.01677,0,172550
2026-08-21 12:45:00,ATM-3,CE,800.0,868.85,78.0,78.0,78.0,78.0,89.529116,0,172550
2026-08-21 12:50:00,ATM-3,CE,800.0,868.35,78.0,78.0,78.0,78.0,91.266622,0,172550
2026-08-21 12:55:00,ATM-3,CE,800.0,867.8,78.0,78.0,78.0,78.0,93.126938,0,172550
2026-08-21 13:00:00,ATM-3,CE,800.0,867.65,78.0,78.0,78.0,78.0,93.656894,0,172550
2026-08-21 13:05:00,ATM-3,CE,800.0,868.7,78.0,78.0,78.0,78.0,90.205001,0,172550
2026-08-21 13:10:00,ATM-3,CE,800.0,868.3,78.0,78.0,78.0,78.0,91.598526,0,172550
2026-08-21 13:15:00,ATM-3,CE,800.0,868.25,78.0,78.0,78.0,78.0,91.807033,0,172550
2026-08-21 13:20:00,ATM-3,CE,800.0,868.75,78.0,78.0,78.0,78.0,90.156039,0,172550
2026-08-21 13:25:00,ATM-3,CE,800.0,868.5,78.0,78.0,66.25,66.25,0.0,850,171700
2026-08-21 13:30:00,ATM-3,CE,800.0,868.35,68.25,68.25,66.25,68.25,0.0,850,172550
2026-08-21 13:35:00,ATM-3,CE,800.0,868.55,68.25,68.25,68.25,68.25,0.0,0,172550
2026-08-21 13:40:00,ATM-3,CE,800.0,868.7,68.25,68.25,68.25,68.25,0.0,0,172550
