ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:15:00,ATM-3,CE,310.0,324.25,13.0,14.55,13.0,14.25,0.0,230375,4753000
2026-08-20 09:20:00,ATM-3,CE,310.0,324.25,14.05,14.5,14.05,14.25,0.0,70325,4740875
2026-08-20 09:25:00,ATM-3,CE,310.0,324.75,14.0,14.6,14.0,14.3,0.0,41225,4740875
2026-08-20 09:30:00,ATM-3,CE,310.0,326.65,15.15,16.3,14.3,16.3,0.0,203700,4699650
2026-08-20 09:35:00,ATM-3,CE,315.0,327.7,17.0,17.25,12.3,12.3,0.0,235225,4908200
2026-08-20 09:40:00,ATM-3,CE,315.0,327.9,12.7,13.5,12.3,12.7,0.0,172175,4881525
2026-08-20 09:45:00,ATM-3,CE,310.0,327.1,12.7,17.25,12.25,16.65,0.0,33950,4668125
2026-08-20 09:50:00,ATM-3,CE,310.0,327.3,16.65,16.85,16.2,16.85,0.0,55775,4670550
2026-08-20 09:55:00,ATM-3,CE,310.0,327.5,16.55,16.9,11.85,16.9,0.0,33950,4672975
2026-08-20 10:00:00,ATM-3,CE,310.0,327.15,12.35,16.9,12.2,16.75,0.0,63050,4670550
2026-08-20 10:05:00,ATM-3,CE,315.0,327.55,16.75,16.75,11.5,12.2,0.0,157625,4728750
2026-08-20 10:10:00,ATM-3,CE,315.0,327.7,12.15,12.7,12.15,12.7,0.0,94575,4687525
2026-08-20 10:15:00,ATM-3,CE,310.0,327.5,12.45,17.1,12.45,16.6,0.0,58200,4575975
2026-08-20 10:20:00,ATM-3,CE,310.0,327.45,16.6,16.95,16.6,16.95,0.0,29100,4571125
2026-08-20 10:25:00,ATM-3,CE,315.0,327.6,16.95,16.95,12.0,12.25,0.0,48500,4612350
2026-08-20 10:30:00,ATM-3,CE,310.0,327.25,16.7,16.8,16.6,16.7,0.0,70325,4544450
2026-08-20 10:35:00,ATM-3,CE,315.0,327.8,16.7,16.7,11.95,12.4,0.0,177025,4580825
2026-08-20 10:40:00,ATM-3,CE,315.0,327.7,12.5,12.5,12.4,12.5,0.0,87300,4575975
2026-08-20 10:45:00,ATM-3,CE,315.0,327.75,12.45,12.5,12.45,12.45,0.0,65475,4568700
2026-08-20 10:50:00,ATM-3,CE,315.0,327.65,17.1,17.25,12.1,12.45,0.0,36375,4571125
2026-08-20 10:55:00,ATM-3,CE,315.0,327.8,12.5,17.05,12.45,12.55,0.0,84875,4571125
2026-08-20 11:00:00,ATM-3,CE,315.0,328.1,12.65,12.85,12.55,12.85,0.0,99425,4532325
2026-08-20 11:05:00,ATM-3,CE,310.0,327.45,12.85,17.45,12.7,16.85,0.0,84875,4539600
2026-08-20 11:10:00,ATM-3,CE,310.0,327.45,16.8,16.95,16.8,16.95,0.0,14550,4546875
2026-08-20 11:15:00,ATM-3,CE,310.0,327.4,16.95,16.95,16.65,16.75,0.0,14550,4546875
2026-08-20 11:20:00,ATM-3,CE,310.0,327.2,16.95,16.95,16.55,16.65,0.0,16975,4549300
2026-08-20 11:25:00,ATM-3,CE,310.0,327.5,16.8,16.95,16.65,16.9,0.0,21825,4544450
2026-08-20 11:30:00,ATM-3,CE,310.0,327.35,16.85,17.0,16.85,17.0,0.0,7275,4544450
2026-08-20 11:35:00,ATM-3,CE,310.0,326.95,17.0,17.0,17.0,17.0,0.0,0,4544450
2026-08-20 11:40:00,ATM-3,CE,310.0,326.55,16.35,17.0,16.1,16.2,0.0,24250,4544450
2026-08-20 11:45:00,ATM-3,CE,310.0,326.75,16.2,16.5,16.2,16.5,0.0,33950,4551725
2026-08-20 11:50:00,ATM-3,CE,310.0,326.8,16.4,16.5,16.35,16.4,0.0,19400,4554150
2026-08-20 11:55:00,ATM-3,CE,310.0,326.8,16.4,16.4,16.0,16.35,0.0,19400,4554150
2026-08-20 12:00:00,ATM-3,CE,310.0,325.9,16.35,16.35,15.5,15.5,0.0,50925,4551725
2026-08-20 12:05:00,ATM-3,CE,310.0,326.05,15.5,15.85,15.2,15.55,0.0,106700,4486250
2026-08-20 12:10:00,ATM-3,CE,310.0,326.9,15.55,16.25,15.55,16.25,0.0,14550,4488675
2026-08-20 12:15:00,ATM-3,CE,310.0,327.0,16.25,16.3,16.1,16.1,0.0,12125,4491100
2026-08-20 12:20:00,ATM-3,CE,310.0,327.15,16.6,16.6,16.1,16.6,0.0,14550,4498375
2026-08-20 12:25:00,ATM-3,CE,310.0,327.5,16.6,17.0,12.0,17.0,0.0,12125,4498375
2026-08-20 12:30:00,ATM-3,CE,310.0,327.5,16.95,17.0,12.2,16.95,0.0,24250,4498375
2026-08-20 12:35:00,ATM-3,CE,310.0,327.45,16.95,17.1,12.0,16.85,0.0,19400,4498375
2026-08-20 12:40:00,ATM-3,CE,315.0,327.55,16.85,16.85,12.0,12.15,0.0,19400,4459575
2026-08-20 12:45:00,ATM-3,CE,315.0,327.75,12.35,12.5,12.15,12.5,0.0,26675,4469275
2026-08-20 12:50:00,ATM-3,CE,315.0,327.6,12.45,12.8,12.45,12.45,0.0,36375,4466850
2026-08-20 12:55:00,ATM-3,CE,310.0,327.35,12.4,17.6,12.4,17.6,0.0,16975,4498375
2026-08-20 13:00:00,ATM-3,CE,310.0,327.2,17.6,17.6,17.6,17.6,0.0,0,4498375
2026-08-20 13:05:00,ATM-3,CE,310.0,326.95,17.6,17.6,16.65,16.65,0.0,4850,4500800
2026-08-20 13:10:00,ATM-3,CE,310.0,327.1,16.65,16.8,16.65,16.8,0.0,7275,4498375
2026-08-20 13:15:00,ATM-3,CE,310.0,327.1,16.8,17.0,16.8,17.0,0.0,2425,4495950
2026-08-20 13:20:00,ATM-3,CE,310.0,327.15,17.0,17.0,16.7,16.7,0.0,7275,4495950
2026-08-20 13:25:00,ATM-3,CE,310.0,327.35,16.7,16.7,16.7,16.7,0.0,0,4495950
2026-08-20 13:30:00,ATM-3,CE,315.0,327.55,16.7,16.7,12.1,12.5,0.0,16975,4442600
2026-08-20 13:35:00,ATM-3,CE,310.0,327.2,17.0,17.0,17.0,17.0,0.0,0,4493525
2026-08-20 13:40:00,ATM-3,CE,310.0,327.3,16.8,17.0,16.8,17.0,0.0,14550,4483825
2026-08-20 13:45:00,ATM-3,CE,310.0,327.5,17.0,17.1,17.0,17.1,0.0,2425,4483825
2026-08-20 13:50:00,ATM-3,CE,310.0,327.4,17.1,17.1,12.25,17.1,0.0,0,4483825
2026-08-20 13:55:00,ATM-3,CE,315.0,327.55,17.0,17.1,12.3,12.45,0.0,14550,4440175
2026-08-20 14:00:00,ATM-3,CE,315.0,327.75,12.45,12.7,12.45,12.7,0.0,12125,4435325
2026-08-20 14:05:00,ATM-3,CE,315.0,327.75,12.7,12.75,12.65,12.65,0.0,36375,4428050
2026-08-20 14:10:00,ATM-3,CE,315.0,327.8,12.65,12.75,12.65,12.7,0.0,12125,4423200
2026-08-20 14:15:00,ATM-3,CE,315.0,327.9,12.7,12.75,12.45,12.75,0.0,26675,4413500
2026-08-20 14:20:00,ATM-3,CE,315.0,327.9,12.75,12.8,12.75,12.75,0.0,16975,4411075
2026-08-20 14:25:00,ATM-3,CE,315.0,328.0,12.75,12.8,12.7,12.8,0.0,16975,4411075
2026-08-20 14:30:00,ATM-3,CE,315.0,328.1,12.8,12.9,12.8,12.9,0.0,21825,4413500
2026-08-20 14:35:00,ATM-3,CE,315.0,327.85,12.85,12.9,12.75,12.75,0.0,24250,4408650
2026-08-20 14:40:00,ATM-3,CE,315.0,327.65,12.8,12.8,12.6,12.65,0.0,36375,4403800
2026-08-20 14:45:00,ATM-3,CE,315.0,327.6,17.3,17.5,12.2,12.2,0.0,12125,4406225
2026-08-20 14:50:00,ATM-3,CE,315.0,327.55,12.45,12.45,12.2,12.4,0.0,24250,4413500
2026-08-20 14:55:00,ATM-3,CE,315.0,327.9,12.35,12.5,12.25,12.4,0.0,118825,4396525
2026-08-20 15:00:00,ATM-3,CE,315.0,328.05,12.35,12.55,12.15,12.55,0.0,77600,4401375
2026-08-20 15:05:00,ATM-3,CE,315.0,328.15,12.5,12.55,12.3,12.5,0.0,33950,4396525
2026-08-20 15:10:00,ATM-3,CE,315.0,328.0,12.5,12.5,12.3,12.3,0.0,36375,4389250
2026-08-20 15:15:00,ATM-3,CE,315.0,328.0,12.5,12.55,12.3,12.55,0.0,43650,4391675
2026-08-20 15:20:00,ATM-3,CE,315.0,328.0,12.55,12.55,12.3,12.3,0.0,16975,4367425
2026-08-20 15:25:00,ATM-3,CE,315.0,327.95,12.3,12.35,12.3,12.35,0.0,14550,4357725
2026-08-20 15:30:00,ATM-3,CE,315.0,327.95,12.35,12.45,12.35,12.4,0.0,29100,4345600
2026-08-20 15:35:00,ATM-3,CE,315.0,327.95,12.4,12.6,12.4,12.55,0.0,12125,4348025
2026-08-21 09:15:00,ATM-3,CE,315.0,330.4,14.5,14.5,13.9,14.5,0.0,46075,4318925
2026-08-21 09:20:00,ATM-3,CE,315.0,330.6,14.35,15.75,14.35,14.85,0.0,101850,4309225
2026-08-21 09:25:00,ATM-3,CE,315.0,328.9,15.0,15.45,14.6,14.85,32.938964,87300,4323775
2026-08-21 09:30:00,ATM-3,CE,315.0,328.5,13.15,14.85,12.8,13.0,0.0,242500,4355300
2026-08-21 09:35:00,ATM-3,CE,315.0,327.75,12.7,13.0,12.0,12.15,0.0,38800,4355300
2026-08-21 09:40:00,ATM-3,CE,315.0,327.6,12.4,12.4,12.0,12.1,0.0,101850,4326200
2026-08-21 09:45:00,ATM-3,CE,310.0,327.4,12.05,16.85,12.05,16.85,0.0,38800,4335900
2026-08-21 09:50:00,ATM-3,CE,315.0,327.7,11.75,16.4,11.65,12.0,0.0,33950,4265575
2026-08-21 09:55:00,ATM-3,CE,310.0,326.95,16.7,16.7,16.4,16.7,0.0,4850,4311650
2026-08-21 10:00:00,ATM-3,CE,310.0,326.6,16.7,16.7,15.35,15.35,0.0,9700,4311650
2026-08-21 10:05:00,ATM-3,CE,310.0,326.5,15.35,16.0,15.35,16.0,0.0,2425,4309225
2026-08-21 10:10:00,ATM-3,CE,310.0,326.75,16.0,16.0,16.0,16.0,0.0,2425,4304375
2026-08-21 10:15:00,ATM-3,CE,310.0,326.1,15.9,16.0,15.5,15.5,0.0,9700,4297100
2026-08-21 10:20:00,ATM-3,CE,310.0,325.65,15.2,15.7,15.2,15.7,0.0,31525,4287400
2026-08-21 10:25:00,ATM-3,CE,310.0,325.95,15.2,15.7,15.05,15.05,0.0,104275,4197675
2026-08-21 10:30:00,ATM-3,CE,310.0,326.75,15.0,16.1,15.0,15.8,0.0,21825,4180700
2026-08-21 10:35:00,ATM-3,CE,310.0,325.9,15.7,15.8,15.0,15.0,0.0,7275,4178275
2026-08-21 10:40:00,ATM-3,CE,310.0,325.95,15.0,15.0,15.0,15.0,0.0,0,4178275
2026-08-21 10:45:00,ATM-3,CE,310.0,326.2,15.0,15.0,15.0,15.0,0.0,0,4178275
2026-08-21 10:50:00,ATM-3,CE,310.0,325.6,15.0,15.05,14.9,14.9,0.0,80025,4103100
2026-08-21 10:55:00,ATM-3,CE,310.0,325.05,14.9,14.9,14.15,14.15,0.0,80025,4030350
