ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:15:00,ATM-3,CE,1300.0,1330.0,33.0,40.65,29.4,36.6,25.112081,59200,267200
2026-08-20 09:20:00,ATM-3,CE,1300.0,1329.0,34.95,36.6,31.9,32.0,15.231142,9600,265200
2026-08-20 09:25:00,ATM-3,CE,1300.0,1328.9,34.4,35.2,32.0,35.1,23.751446,7600,265600
2026-08-20 09:30:00,ATM-3,CE,1310.0,1336.0,34.1,37.3,29.0,32.9,23.73278,20800,132400
2026-08-20 09:35:00,ATM-3,CE,1310.0,1336.5,33.45,36.0,32.9,33.85,24.906562,10800,128000
2026-08-20 09:40:00,ATM-3,CE,1310.0,1337.0,34.7,34.7,33.85,34.5,25.460688,1200,126800
2026-08-20 09:45:00,ATM-3,CE,1310.0,1337.0,33.9,34.5,33.7,33.7,23.807437,2400,126000
2026-08-20 09:50:00,ATM-3,CE,1300.0,1334.9,32.15,42.0,32.15,39.75,23.105187,5200,249200
2026-08-20 09:55:00,ATM-3,CE,1300.0,1334.1,32.65,40.3,31.35,39.7,24.684753,3200,248000
2026-08-20 10:00:00,ATM-3,CE,1310.0,1336.9,39.45,39.7,31.4,31.85,19.864093,2000,123600
2026-08-20 10:05:00,ATM-3,CE,1310.0,1337.0,31.85,31.85,31.85,31.85,19.673586,0,123600
2026-08-20 10:10:00,ATM-3,CE,1310.0,1336.3,32.5,32.5,31.55,31.55,20.33318,1600,122800
2026-08-20 10:15:00,ATM-3,CE,1310.0,1336.2,31.55,32.15,31.55,31.95,21.437037,4800,122000
2026-08-20 10:20:00,ATM-3,CE,1300.0,1334.8,38.25,39.95,38.0,39.15,21.762499,4800,245200
2026-08-20 10:25:00,ATM-3,CE,1300.0,1333.7,39.15,39.15,39.15,39.15,24.211373,0,245200
2026-08-20 10:30:00,ATM-3,CE,1300.0,1331.1,39.15,39.15,37.8,37.8,25.990198,1200,245600
2026-08-20 10:35:00,ATM-3,CE,1300.0,1331.7,37.8,37.8,36.0,36.0,20.423188,1200,245600
2026-08-20 10:40:00,ATM-3,CE,1300.0,1332.5,36.0,36.0,36.0,36.0,18.362489,0,245600
2026-08-20 10:45:00,ATM-3,CE,1300.0,1333.2,36.0,38.0,36.0,38.0,22.394056,4800,245200
2026-08-20 10:50:00,ATM-3,CE,1300.0,1334.1,38.0,38.5,38.0,38.35,21.264484,800,242800
2026-08-20 10:55:00,ATM-3,CE,1300.0,1332.9,38.35,38.35,37.15,37.15,20.800776,400,242000
2026-08-20 11:00:00,ATM-3,CE,1300.0,1331.2,37.15,37.95,36.5,36.5,22.85285,1600,241600
2026-08-20 11:05:00,ATM-3,CE,1300.0,1329.6,36.8,36.8,35.85,36.0,24.717816,4800,240000
2026-08-20 11:10:00,ATM-3,CE,1300.0,1329.8,36.0,36.0,36.0,36.0,24.370315,400,236400
2026-08-20 11:15:00,ATM-3,CE,1300.0,1330.4,36.0,37.8,36.0,36.9,25.325041,2000,235600
2026-08-20 11:20:00,ATM-3,CE,1300.0,1329.9,36.9,36.9,35.8,35.8,23.751067,800,235600
2026-08-20 11:25:00,ATM-3,CE,1300.0,1330.1,36.95,37.65,35.8,36.55,25.098514,1200,234800
2026-08-20 11:30:00,ATM-3,CE,1300.0,1328.1,36.0,36.55,34.7,34.7,24.521373,6800,230000
2026-08-20 11:35:00,ATM-3,CE,1300.0,1328.3,34.1,34.7,33.9,33.9,22.375662,2400,228800
2026-08-20 11:40:00,ATM-3,CE,1300.0,1326.7,34.75,34.75,33.9,34.75,26.908853,400,228000
2026-08-20 11:45:00,ATM-3,CE,1300.0,1326.8,34.75,34.75,33.7,33.7,24.5875,2000,227600
2026-08-20 11:50:00,ATM-3,CE,1300.0,1327.2,33.9,33.9,33.7,33.8,24.143367,1200,228000
2026-08-20 11:55:00,ATM-3,CE,1300.0,1325.6,34.15,34.15,33.1,33.1,25.281384,3600,229600
2026-08-20 12:00:00,ATM-3,CE,1300.0,1325.2,33.5,33.5,33.1,33.2,26.108341,2000,229200
2026-08-20 12:05:00,ATM-3,CE,1300.0,1325.3,49.45,49.45,32.85,32.9,25.359527,2400,228000
2026-08-20 12:10:00,ATM-3,CE,1290.0,1325.0,32.65,49.45,32.65,49.45,43.91451,800,68400
2026-08-20 12:15:00,ATM-3,CE,1300.0,1325.9,49.45,49.45,32.25,32.55,23.689482,400,226800
2026-08-20 12:20:00,ATM-3,CE,1300.0,1326.6,32.6,32.6,32.55,32.6,22.607735,400,226400
