ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:15:00,ATM-3,CE,700.0,727.15,27.0,28.7,27.0,28.15,0.0,332800,1964300
2026-08-20 09:20:00,ATM-3,CE,700.0,727.15,28.05,29.35,28.05,28.8,22.727729,187200,1813500
2026-08-20 09:25:00,ATM-3,CE,700.0,727.0,29.05,29.05,27.9,28.45,20.828144,86450,1794000
2026-08-20 09:30:00,ATM-3,CE,700.0,725.6,28.7,28.7,27.75,27.85,25.945969,80600,1780350
2026-08-20 09:35:00,ATM-3,CE,700.0,725.7,27.7,27.85,27.1,27.1,19.602499,57850,1769950
2026-08-20 09:40:00,ATM-3,CE,700.0,727.0,27.25,28.6,27.1,28.6,22.263487,44850,1754350
2026-08-20 09:45:00,ATM-3,CE,700.0,726.5,28.5,28.75,28.0,28.15,22.398408,34450,1771900
2026-08-20 09:50:00,ATM-3,CE,700.0,726.7,27.9,28.2,27.9,28.1,20.206769,18200,1759550
2026-08-20 09:55:00,ATM-3,CE,700.0,726.85,28.05,28.4,28.05,28.4,21.770892,13000,1749800
2026-08-20 10:00:00,ATM-3,CE,700.0,727.3,28.5,29.1,28.4,28.9,22.49327,13000,1743300
2026-08-20 10:05:00,ATM-3,CE,700.0,727.05,28.9,29.0,28.9,29.0,25.050111,32500,1719900
2026-08-20 10:10:00,ATM-3,CE,700.0,727.4,29.0,29.75,29.0,29.25,24.570116,27300,1699100
2026-08-20 10:15:00,ATM-3,CE,700.0,727.3,29.05,29.55,29.05,29.3,25.580132,26000,1698450
2026-08-20 10:20:00,ATM-3,CE,700.0,727.7,29.3,29.4,29.25,29.4,23.624559,5200,1697800
2026-08-20 10:25:00,ATM-3,CE,700.0,727.5,29.4,29.4,29.0,29.2,23.515412,3250,1695850
2026-08-20 10:30:00,ATM-3,CE,700.0,727.2,29.2,29.2,29.0,29.0,24.122906,10400,1696500
2026-08-20 10:35:00,ATM-3,CE,700.0,727.1,29.0,29.0,28.75,28.8,23.296284,8450,1691950
2026-08-20 10:40:00,ATM-3,CE,700.0,727.0,28.7,28.8,28.6,28.75,23.641499,7150,1690000
2026-08-20 10:45:00,ATM-3,CE,700.0,726.95,28.75,28.75,28.2,28.3,19.945104,68250,1639300
2026-08-20 10:50:00,ATM-3,CE,700.0,726.7,28.3,28.3,28.3,28.3,22.262028,0,1639300
2026-08-20 10:55:00,ATM-3,CE,700.0,727.0,28.3,28.3,28.1,28.3,19.405581,3900,1637350
2026-08-20 11:00:00,ATM-3,CE,700.0,727.3,28.3,28.95,28.3,28.95,23.072979,34450,1622400
2026-08-20 11:05:00,ATM-3,CE,700.0,727.2,28.95,29.1,28.95,29.05,24.58302,3900,1622400
2026-08-20 11:10:00,ATM-3,CE,700.0,727.1,29.05,29.05,28.7,28.95,24.532378,3250,1619800
