ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:20:00,ATM-3,CE,960.0,1020.0,56.55,73.0,56.55,73.0,71.398933,1400,735700
2026-08-20 09:25:00,ATM-3,CE,960.0,1023.4,62.4,73.0,62.4,63.0,0.0,2800,734300
2026-08-20 09:30:00,ATM-3,CE,960.0,1020.45,63.0,63.8,60.95,60.95,0.0,7700,730100
2026-08-20 09:35:00,ATM-3,CE,960.0,1020.65,60.95,63.0,60.95,63.0,33.191894,4900,724500
2026-08-20 09:40:00,ATM-3,CE,960.0,1018.55,63.0,63.0,58.1,58.1,0.0,6300,723100
2026-08-20 09:45:00,ATM-3,CE,960.0,1015.2,58.1,58.1,54.95,55.65,0.0,14000,719600
2026-08-20 09:50:00,ATM-3,CE,960.0,1017.5,56.5,58.75,55.65,58.55,0.0,11200,713300
2026-08-20 09:55:00,ATM-3,CE,960.0,1017.65,58.25,60.5,58.25,60.1,32.733205,7000,711900
2026-08-20 10:00:00,ATM-3,CE,960.0,1018.1,60.1,62.05,60.1,61.25,37.099509,7700,705600
2026-08-20 10:05:00,ATM-3,CE,960.0,1020.5,61.25,61.25,61.25,61.25,0.0,0,705600
2026-08-20 10:10:00,ATM-3,CE,960.0,1020.2,61.25,61.25,61.25,61.25,0.0,0,705600
2026-08-20 10:15:00,ATM-3,CE,960.0,1020.65,61.25,63.35,61.25,63.35,35.681641,1400,702100
2026-08-20 10:20:00,ATM-3,CE,960.0,1021.7,63.35,63.35,63.35,63.35,26.809731,0,702100
2026-08-20 10:25:00,ATM-3,CE,960.0,1020.75,63.35,63.35,63.35,63.35,35.12241,0,702100
2026-08-20 10:30:00,ATM-3,CE,960.0,1028.35,63.9,63.9,63.35,63.9,0.0,700,701400
2026-08-20 10:35:00,ATM-3,CE,980.0,1031.45,51.45,63.9,49.3,53.8,28.829654,7700,469000
2026-08-20 10:40:00,ATM-3,CE,980.0,1030.3,53.7,54.4,53.65,53.65,33.847417,4200,467600
2026-08-20 10:45:00,ATM-3,CE,960.0,1029.35,53.65,74.75,53.65,71.3,33.359184,1400,699300
2026-08-20 10:50:00,ATM-3,CE,960.0,1028.4,71.4,71.55,51.5,71.55,41.806795,1400,699300
2026-08-20 10:55:00,ATM-3,CE,960.0,1028.55,71.55,71.55,71.55,71.55,41.015949,0,699300
2026-08-20 11:00:00,ATM-3,CE,960.0,1027.5,71.55,71.55,69.5,69.5,33.235499,3500,698600
2026-08-20 11:05:00,ATM-3,CE,960.0,1028.0,69.5,69.5,69.5,69.5,26.20317,0,698600
2026-08-20 11:10:00,ATM-3,CE,960.0,1026.9,69.5,69.5,69.5,69.5,37.842382,0,698600
2026-08-20 11:15:00,ATM-3,CE,960.0,1026.85,69.5,69.5,69.5,69.5,38.175878,0,698600
2026-08-20 11:20:00,ATM-3,CE,960.0,1026.2,69.5,69.5,69.5,69.5,41.788554,0,698600
2026-08-20 11:25:00,ATM-3,CE,960.0,1026.0,69.5,69.5,69.5,69.5,42.775159,0,698600
2026-08-20 11:30:00,ATM-3,CE,960.0,1029.65,69.5,69.5,69.5,69.5,0.0,0,698600
2026-08-20 11:35:00,ATM-3,CE,980.0,1030.3,69.5,71.65,48.35,52.35,26.359576,700,468300
2026-08-20 11:40:00,ATM-3,CE,980.0,1030.45,52.2,52.35,52.2,52.2,23.59998,700,467600
2026-08-20 11:45:00,ATM-3,CE,980.0,1030.3,71.65,71.65,52.2,52.2,25.0967,0,467600
2026-08-20 11:50:00,ATM-3,CE,980.0,1031.15,52.2,52.2,52.2,52.2,0.0,0,467600
2026-08-20 11:55:00,ATM-3,CE,980.0,1030.8,52.2,52.9,52.2,52.9,27.017281,2100,467600
2026-08-20 12:00:00,ATM-3,CE,980.0,1031.25,52.9,52.9,52.9,52.9,22.71129,0,467600
2026-08-20 12:05:00,ATM-3,CE,960.0,1029.85,52.9,73.35,52.9,73.35,44.651111,0,698600
2026-08-20 12:10:00,ATM-3,CE,980.0,1030.55,73.35,73.35,51.85,51.85,0.0,700,467600
2026-08-20 12:15:00,ATM-3,CE,980.0,1032.0,51.85,55.05,51.85,55.05,33.438013,4200,467600
2026-08-20 12:20:00,ATM-3,CE,960.0,1029.6,55.05,72.4,55.05,72.4,40.548008,0,697900
2026-08-20 12:25:00,ATM-3,CE,960.0,1029.75,69.35,72.4,69.35,70.7,0.0,30100,717500
2026-08-20 12:30:00,ATM-3,CE,960.0,1029.7,51.65,69.55,51.65,69.55,0.0,2100,726600
2026-08-20 12:35:00,ATM-3,CE,960.0,1029.85,69.55,70.65,52.35,70.65,0.0,700,697900
2026-08-20 12:40:00,ATM-3,CE,960.0,1029.65,70.65,70.65,70.65,70.65,0.0,0,697900
2026-08-20 12:45:00,ATM-3,CE,980.0,1030.2,51.35,70.65,51.35,51.35,0.0,0,467600
2026-08-20 12:50:00,ATM-3,CE,960.0,1029.85,70.65,70.65,51.35,70.65,0.0,0,697900
2026-08-20 12:55:00,ATM-3,CE,960.0,1030.0,70.65,70.65,51.35,70.05,0.0,700,697200
2026-08-20 13:00:00,ATM-3,CE,960.0,1029.1,70.05,71.85,70.05,71.85,40.16826,700,697200
2026-08-20 13:05:00,ATM-3,CE,960.0,1028.75,71.85,71.85,70.3,70.85,35.144191,2800,697200
2026-08-20 13:10:00,ATM-3,CE,960.0,1028.2,71.05,71.05,70.85,71.05,40.461686,700,695800
2026-08-20 13:15:00,ATM-3,CE,960.0,1028.75,71.05,71.05,71.05,71.05,36.871222,0,695800
2026-08-20 13:20:00,ATM-3,CE,960.0,1029.3,71.05,71.05,70.7,70.7,24.290667,700,694400
2026-08-20 13:25:00,ATM-3,CE,960.0,1028.15,70.0,70.7,70.0,70.0,32.492085,700,695100
2026-08-20 13:30:00,ATM-3,CE,960.0,1027.45,70.0,70.05,70.0,70.05,38.594329,1400,695800
2026-08-20 13:35:00,ATM-3,CE,960.0,1027.55,70.05,70.05,70.05,70.05,37.959733,0,695800
2026-08-20 13:40:00,ATM-3,CE,960.0,1026.95,70.05,70.05,70.05,70.05,41.529464,0,695800
2026-08-20 13:45:00,ATM-3,CE,960.0,1027.0,70.05,70.05,70.05,70.05,41.281184,0,695800
2026-08-20 13:50:00,ATM-3,CE,960.0,1027.0,68.85,70.05,68.85,69.0,33.718798,2100,695100
2026-08-20 13:55:00,ATM-3,CE,960.0,1026.85,69.2,69.2,69.0,69.2,36.647956,700,693700
2026-08-20 14:00:00,ATM-3,CE,960.0,1027.05,69.2,69.2,69.2,69.2,35.136251,0,693700
2026-08-20 14:05:00,ATM-3,CE,960.0,1028.2,67.95,69.2,67.95,67.95,0.0,700,693000
2026-08-20 14:10:00,ATM-3,CE,960.0,1026.6,66.15,67.95,66.15,67.55,0.0,28000,716100
2026-08-20 14:15:00,ATM-3,CE,960.0,1026.85,67.55,67.55,66.05,67.45,0.0,1400,690200
2026-08-20 14:20:00,ATM-3,CE,960.0,1025.05,67.45,67.45,67.45,67.45,36.378634,0,690200
2026-08-20 14:25:00,ATM-3,CE,960.0,1025.5,65.85,67.45,65.85,65.85,0.0,2100,688800
2026-08-20 14:30:00,ATM-3,CE,960.0,1025.15,65.85,65.85,65.85,65.85,0.0,0,688800
2026-08-20 14:35:00,ATM-3,CE,960.0,1024.35,65.85,65.85,65.85,65.85,26.288129,0,688800
2026-08-20 14:40:00,ATM-3,CE,960.0,1023.9,65.85,65.85,65.85,65.85,32.24211,0,688800
2026-08-20 14:45:00,ATM-3,CE,960.0,1022.75,65.85,65.85,65.85,65.85,39.908679,0,688800
2026-08-20 14:50:00,ATM-3,CE,960.0,1023.3,65.85,65.85,65.85,65.85,36.810368,0,688800
2026-08-20 14:55:00,ATM-3,CE,960.0,1023.35,65.85,65.85,65.85,65.85,36.509484,0,688800
2026-08-20 15:00:00,ATM-3,CE,960.0,1022.7,65.85,65.85,64.65,64.65,31.85686,4900,688100
2026-08-20 15:05:00,ATM-3,CE,960.0,1021.3,64.65,64.65,64.65,64.65,40.67103,0,688100
2026-08-20 15:10:00,ATM-3,CE,960.0,1023.0,64.65,64.65,64.65,64.65,28.566942,0,688100
2026-08-20 15:15:00,ATM-3,CE,960.0,1023.0,64.65,64.65,64.65,64.65,28.589375,0,688100
2026-08-20 15:20:00,ATM-3,CE,960.0,1023.0,64.65,64.65,64.65,64.65,28.611799,0,688100
2026-08-20 15:25:00,ATM-3,CE,960.0,1029.85,64.65,64.65,64.35,64.35,0.0,2100,687400
2026-08-20 15:30:00,ATM-3,CE,960.0,1029.85,64.35,64.35,64.35,64.35,0.0,0,687400
