ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:15:00,ATM-3,CE,1380.0,1408.0,32.1,32.45,32.1,32.45,17.835335,4200,241500
2026-08-20 09:20:00,ATM-3,CE,1380.0,1408.4,30.95,32.45,29.95,31.35,13.613636,9800,239400
2026-08-20 09:25:00,ATM-3,CE,1380.0,1409.5,31.3,34.25,31.3,34.25,19.169501,6300,238000
2026-08-20 09:30:00,ATM-3,CE,1380.0,1409.0,34.25,34.25,33.6,33.6,18.617935,1400,237300
2026-08-20 09:35:00,ATM-3,CE,1380.0,1410.3,33.2,33.6,33.2,33.2,14.070084,2100,238000
2026-08-20 09:40:00,ATM-3,CE,1380.0,1410.2,34.4,34.95,33.2,34.95,19.468471,3500,237300
2026-08-20 09:45:00,ATM-3,CE,1380.0,1410.2,34.95,34.95,34.95,34.95,19.477598,0,237300
2026-08-20 09:50:00,ATM-3,CE,1380.0,1410.6,34.95,34.95,34.9,34.9,18.50225,700,237300
2026-08-20 09:55:00,ATM-3,CE,1380.0,1410.6,34.9,34.9,34.7,34.7,17.979503,700,237300
2026-08-20 10:00:00,ATM-3,CE,1380.0,1410.0,34.7,34.7,34.7,34.7,19.304796,0,238000
2026-08-20 10:05:00,ATM-3,CE,1380.0,1410.0,34.7,34.7,33.95,34.05,17.640356,3500,237300
2026-08-20 10:10:00,ATM-3,CE,1380.0,1412.3,34.05,36.2,34.05,36.2,18.07038,3500,235900
2026-08-20 10:15:00,ATM-3,CE,1380.0,1410.8,36.2,36.2,36.2,36.2,21.310148,0,235200
2026-08-20 10:20:00,ATM-3,CE,1380.0,1412.0,35.4,36.2,35.4,35.4,16.467821,2100,233800
2026-08-20 10:25:00,ATM-3,CE,1380.0,1411.0,35.4,35.4,35.4,35.4,18.976954,0,233100
2026-08-20 10:30:00,ATM-3,CE,1380.0,1409.2,35.4,35.4,35.4,35.4,22.446917,0,233100
2026-08-20 10:35:00,ATM-3,CE,1380.0,1408.0,35.4,35.4,32.95,32.95,19.179682,4200,233100
2026-08-20 10:40:00,ATM-3,CE,1380.0,1409.1,32.95,32.95,32.95,32.95,16.821253,0,233100
2026-08-20 10:45:00,ATM-3,CE,1380.0,1409.8,32.95,32.95,32.95,32.95,14.935549,0,233100
2026-08-20 10:50:00,ATM-3,CE,1380.0,1408.5,34.5,34.5,32.85,32.85,17.941712,3500,231000
2026-08-20 10:55:00,ATM-3,CE,1380.0,1409.2,32.85,32.85,32.85,32.85,16.31362,0,231000
2026-08-20 11:00:00,ATM-3,CE,1380.0,1408.7,32.85,33.4,32.85,33.4,18.90597,1400,231700
2026-08-20 11:05:00,ATM-3,CE,1380.0,1409.0,33.4,33.9,33.4,33.9,19.514466,1400,232400
2026-08-20 11:10:00,ATM-3,CE,1380.0,1408.8,33.9,33.9,33.9,33.9,19.914268,0,232400
2026-08-20 11:15:00,ATM-3,CE,1380.0,1408.2,33.9,33.9,33.8,33.8,20.811257,2100,231000
2026-08-20 11:20:00,ATM-3,CE,1380.0,1407.1,33.8,33.8,33.8,33.8,22.679247,0,231000
2026-08-20 11:25:00,ATM-3,CE,1380.0,1406.4,33.8,33.8,33.8,33.8,23.773933,0,231000
2026-08-20 11:30:00,ATM-3,CE,1380.0,1407.5,33.8,33.8,31.75,32.35,18.842231,3500,231000
2026-08-20 11:35:00,ATM-3,CE,1380.0,1406.3,32.35,32.35,32.35,32.35,21.014121,0,231000
2026-08-20 11:40:00,ATM-3,CE,1380.0,1406.9,32.35,32.35,32.35,32.35,19.98405,0,231000
2026-08-20 11:45:00,ATM-3,CE,1380.0,1406.9,32.35,32.35,32.35,32.35,19.993109,0,231000
2026-08-20 11:50:00,ATM-3,CE,1380.0,1406.1,32.35,32.35,32.2,32.2,21.060383,700,231000
2026-08-20 11:55:00,ATM-3,CE,1380.0,1406.5,31.4,32.2,31.4,31.8,19.510915,2800,231700
2026-08-20 12:00:00,ATM-3,CE,1380.0,1405.8,31.8,31.8,31.8,31.8,20.738968,0,231700
2026-08-20 12:05:00,ATM-3,CE,1380.0,1408.3,31.8,31.8,31.8,31.8,15.669759,0,231700
2026-08-20 12:10:00,ATM-3,CE,1380.0,1407.0,31.8,31.8,31.8,31.8,18.594109,0,231700
2026-08-20 12:15:00,ATM-3,CE,1380.0,1407.0,31.8,32.0,31.8,32.0,19.070538,700,231000
2026-08-20 12:20:00,ATM-3,CE,1380.0,1407.0,32.0,32.0,32.0,32.0,19.079465,700,230300
2026-08-20 12:25:00,ATM-3,CE,1380.0,1407.2,32.0,32.0,32.0,32.0,18.701192,0,230300
2026-08-20 12:30:00,ATM-3,CE,1380.0,1406.9,32.0,32.0,32.0,32.0,19.286576,0,230300
2026-08-20 12:35:00,ATM-3,CE,1380.0,1407.1,32.0,32.0,31.55,31.55,17.832384,1400,231000
2026-08-20 12:40:00,ATM-3,CE,1380.0,1406.9,31.55,31.55,31.55,31.55,18.249311,0,231000
2026-08-20 12:45:00,ATM-3,CE,1380.0,1408.4,31.55,33.0,31.55,33.0,18.732578,1400,230300
2026-08-20 12:50:00,ATM-3,CE,1380.0,1408.7,33.0,33.65,33.0,33.65,19.705998,700,229600
2026-08-20 12:55:00,ATM-3,CE,1380.0,1409.7,33.65,33.65,33.65,33.65,17.561258,0,229600
2026-08-20 13:00:00,ATM-3,CE,1380.0,1410.0,33.65,33.65,33.65,33.65,16.825885,0,229600
2026-08-20 13:05:00,ATM-3,CE,1380.0,1411.3,33.65,35.5,33.65,35.5,18.860537,700,229600
2026-08-20 13:10:00,ATM-3,CE,1380.0,1410.6,35.5,35.5,35.5,35.5,20.383798,0,229600
2026-08-20 13:15:00,ATM-3,CE,1380.0,1409.7,35.5,35.5,35.5,35.5,22.110657,0,229600
2026-08-20 13:20:00,ATM-3,CE,1380.0,1410.4,35.5,35.5,35.5,35.5,20.803465,0,229600
2026-08-20 13:25:00,ATM-3,CE,1380.0,1409.6,35.5,35.5,34.7,34.7,20.489847,700,228900
2026-08-20 13:30:00,ATM-3,CE,1380.0,1408.5,34.7,34.7,34.7,34.7,22.500609,0,228900
2026-08-20 13:35:00,ATM-3,CE,1380.0,1408.5,34.7,34.7,34.7,34.7,22.510508,0,228900
2026-08-20 13:40:00,ATM-3,CE,1380.0,1408.9,34.7,34.7,33.55,33.55,19.153973,1400,228900
2026-08-20 13:45:00,ATM-3,CE,1380.0,1409.2,33.55,33.55,33.55,33.55,18.526355,0,228900
