ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-24 12:45:00,ATM-3,CE,11.0,14.11,3.15,3.15,3.14,3.14,0.0,428850,5718000
2026-08-24 12:50:00,ATM-3,CE,11.0,14.1,3.14,3.15,3.14,3.15,0.0,71475,5646525
2026-08-24 12:55:00,ATM-3,CE,11.0,14.09,3.15,3.15,3.15,3.15,0.0,0,5575050
2026-08-24 13:00:00,ATM-3,CE,11.0,14.11,3.15,3.15,3.15,3.15,0.0,0,5575050
2026-08-24 13:05:00,ATM-3,CE,11.0,14.1,3.15,3.15,3.15,3.15,0.0,0,5575050
2026-08-24 13:10:00,ATM-3,CE,11.0,14.09,3.15,3.15,3.15,3.15,0.0,0,5575050
2026-08-24 13:15:00,ATM-3,CE,11.0,14.08,3.15,3.15,3.15,3.15,0.0,0,5575050
2026-08-24 13:20:00,ATM-3,CE,11.0,14.07,3.15,3.15,3.13,3.13,0.0,714750,5289150
2026-08-24 13:25:00,ATM-3,CE,11.0,14.08,3.13,3.13,3.13,3.13,0.0,0,5289150
2026-08-24 13:30:00,ATM-3,CE,11.0,14.07,3.13,3.13,3.13,3.13,0.0,0,5289150
2026-08-24 13:35:00,ATM-3,CE,11.0,14.07,3.13,3.13,3.13,3.13,0.0,0,5289150
2026-08-24 13:40:00,ATM-3,CE,11.0,14.08,3.13,3.13,3.13,3.13,0.0,0,5289150
2026-08-24 13:45:00,ATM-3,CE,11.0,14.08,3.13,3.13,3.13,3.13,0.0,0,5289150
2026-08-24 13:50:00,ATM-3,CE,11.0,14.08,3.13,3.13,3.13,3.13,0.0,0,5289150
2026-08-24 13:55:00,ATM-3,CE,11.0,14.07,3.13,3.13,3.13,3.13,0.0,0,5289150
2026-08-24 14:00:00,ATM-3,CE,11.0,14.08,3.13,3.13,3.13,3.13,0.0,0,5289150
2026-08-24 14:05:00,ATM-3,CE,11.0,14.07,3.13,3.13,3.13,3.13,0.0,0,5289150
2026-08-24 14:10:00,ATM-3,CE,11.0,14.06,3.13,3.13,3.13,3.13,0.0,0,5289150
2026-08-24 14:15:00,ATM-3,CE,11.0,14.07,3.13,3.13,3.13,3.13,0.0,0,5289150
2026-08-24 14:20:00,ATM-3,CE,11.0,14.06,3.13,3.13,3.13,3.13,0.0,0,5289150
2026-08-24 14:25:00,ATM-3,CE,11.0,14.08,3.11,3.13,3.11,3.11,0.0,285900,5217675
2026-08-24 14:30:00,ATM-3,CE,11.0,14.04,3.11,3.11,3.11,3.11,0.0,0,5217675
2026-08-24 14:35:00,ATM-3,CE,11.0,14.04,3.11,3.11,3.11,3.11,0.0,0,5217675
2026-08-24 14:40:00,ATM-3,CE,11.0,14.06,3.11,3.11,3.11,3.11,0.0,0,5217675
2026-08-24 14:45:00,ATM-3,CE,11.0,14.05,3.11,3.11,3.11,3.11,0.0,0,5217675
2026-08-24 14:50:00,ATM-3,CE,11.0,14.06,3.11,3.11,3.11,3.11,0.0,0,5217675
2026-08-24 14:55:00,ATM-3,CE,11.0,14.04,3.11,3.11,3.11,3.11,0.0,0,5217675
2026-08-24 15:00:00,ATM-3,CE,11.0,14.07,3.11,3.11,3.11,3.11,0.0,71475,5003250
2026-08-24 15:05:00,ATM-3,CE,11.0,14.06,3.11,3.11,3.11,3.11,0.0,0,5003250
2026-08-24 15:10:00,ATM-3,CE,11.0,14.05,3.11,3.11,3.11,3.11,0.0,0,5003250
2026-08-24 15:15:00,ATM-3,CE,11.0,14.05,3.11,3.11,3.11,3.11,0.0,0,5003250
2026-08-24 15:20:00,ATM-3,CE,11.0,14.05,3.11,3.11,3.11,3.11,0.0,0,5003250
2026-08-24 15:25:00,ATM-3,CE,11.0,14.07,3.11,3.11,3.11,3.11,0.0,0,5003250
2026-08-24 15:30:00,ATM-3,CE,11.0,14.07,3.11,3.11,3.11,3.11,0.0,0,5003250
2026-08-24 15:35:00,ATM-3,CE,11.0,14.07,3.11,3.11,3.11,3.11,0.0,0,5003250
2026-08-25 09:25:00,ATM-3,CE,11.0,14.19,3.22,3.22,3.22,3.22,0.0,71475,5003250
2026-08-25 09:30:00,ATM-3,CE,11.0,14.27,3.22,3.22,3.22,3.22,0.0,0,5003250
2026-08-25 09:35:00,ATM-3,CE,11.0,14.42,3.22,3.22,3.22,3.22,0.0,0,5003250
2026-08-25 09:40:00,ATM-3,CE,12.0,14.56,3.22,3.22,2.48,2.55,0.0,71475,13222875
2026-08-25 09:45:00,ATM-3,CE,12.0,14.66,2.58,2.68,2.55,2.68,0.0,142950,13079925
2026-08-25 09:50:00,ATM-3,CE,12.0,14.66,2.68,2.72,2.65,2.72,0.0,285900,13008450
2026-08-25 09:55:00,ATM-3,CE,12.0,14.72,2.72,2.74,2.72,2.74,0.0,142950,13008450
2026-08-25 10:00:00,ATM-3,CE,12.0,14.66,2.74,2.74,2.74,2.74,0.0,0,13008450
2026-08-25 10:05:00,ATM-3,CE,12.0,14.64,2.74,2.74,2.65,2.65,0.0,71475,13008450
2026-08-25 10:10:00,ATM-3,CE,12.0,14.67,2.65,2.65,2.65,2.65,0.0,0,13008450
2026-08-25 10:15:00,ATM-3,CE,12.0,14.65,2.65,2.65,2.65,2.65,0.0,0,13008450
2026-08-25 10:20:00,ATM-3,CE,12.0,14.64,2.65,2.65,2.65,2.65,0.0,0,13008450
2026-08-25 10:25:00,ATM-3,CE,12.0,14.74,2.65,2.81,2.65,2.81,0.0,142950,12865500
2026-08-25 10:30:00,ATM-3,CE,12.0,14.72,2.81,2.81,2.81,2.81,0.0,0,12794025
2026-08-25 10:35:00,ATM-3,CE,12.0,14.75,2.81,2.81,2.81,2.81,0.0,0,12794025
2026-08-25 10:40:00,ATM-3,CE,12.0,14.71,2.81,2.81,2.81,2.81,0.0,0,12794025
2026-08-25 10:45:00,ATM-3,CE,12.0,14.71,2.81,2.81,2.81,2.81,0.0,0,12794025
2026-08-25 10:50:00,ATM-3,CE,12.0,14.73,2.81,2.81,2.81,2.81,0.0,0,12722550
2026-08-25 10:55:00,ATM-3,CE,12.0,14.76,2.81,2.81,2.81,2.81,0.0,0,12722550
2026-08-25 11:00:00,ATM-3,CE,12.0,14.78,2.81,2.81,2.8,2.8,0.0,571800,12508125
2026-08-25 11:05:00,ATM-3,CE,12.0,14.8,2.8,2.8,2.8,2.8,0.0,0,12508125
2026-08-25 11:10:00,ATM-3,CE,12.0,14.82,2.8,2.8,2.8,2.8,0.0,0,12508125
2026-08-25 11:15:00,ATM-3,CE,12.0,14.81,2.8,2.8,2.8,2.8,0.0,0,12508125
