ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:15:00,ATM-3,CE,260.0,267.55,7.3,7.75,7.3,7.65,0.0,56925,414000
2026-08-20 09:20:00,ATM-3,CE,260.0,268.45,7.6,8.35,7.6,8.35,0.0,77625,417450
2026-08-20 09:25:00,ATM-3,CE,260.0,267.8,8.45,8.45,8.0,8.0,0.0,27600,431250
2026-08-20 09:30:00,ATM-3,CE,260.0,267.9,8.0,8.0,7.85,8.0,0.0,17250,434700
2026-08-20 09:35:00,ATM-3,CE,260.0,267.7,7.95,8.0,7.7,7.75,0.0,25875,446775
2026-08-20 09:40:00,ATM-3,CE,260.0,267.8,7.75,7.75,7.7,7.7,0.0,27600,443325
2026-08-20 09:45:00,ATM-3,CE,260.0,267.85,7.85,7.9,7.7,7.85,0.0,39675,451950
2026-08-20 09:50:00,ATM-3,CE,260.0,267.85,7.85,7.85,7.75,7.75,0.0,25875,464025
2026-08-20 09:55:00,ATM-3,CE,260.0,267.7,8.0,8.0,7.75,7.85,0.0,15525,465750
2026-08-20 10:00:00,ATM-3,CE,260.0,267.75,7.85,7.85,7.85,7.85,0.0,1725,465750
2026-08-20 10:05:00,ATM-3,CE,260.0,267.9,7.85,8.05,7.85,7.95,0.0,60375,427800
2026-08-20 10:10:00,ATM-3,CE,260.0,267.8,7.95,7.95,7.95,7.95,0.0,0,427800
2026-08-20 10:15:00,ATM-3,CE,260.0,267.75,7.95,8.0,7.9,7.9,0.0,10350,424350
2026-08-20 10:20:00,ATM-3,CE,260.0,267.65,7.9,7.95,7.75,7.75,0.0,10350,426075
2026-08-20 10:25:00,ATM-3,CE,260.0,267.6,7.8,7.8,7.75,7.8,0.0,18975,424350
2026-08-20 10:30:00,ATM-3,CE,260.0,267.6,7.75,7.9,7.7,7.7,0.0,53475,429525
2026-08-20 10:35:00,ATM-3,CE,260.0,266.4,7.6,7.7,6.7,6.7,0.0,18975,432975
2026-08-20 10:40:00,ATM-3,CE,260.0,266.65,6.7,7.0,6.7,7.0,0.0,86250,451950
2026-08-20 10:45:00,ATM-3,CE,260.0,266.35,7.0,7.0,7.0,7.0,17.253321,0,451950
2026-08-20 11:00:00,ATM-3,CE,260.0,266.45,6.9,7.2,6.75,7.2,19.093484,24150,357075
2026-08-20 11:05:00,ATM-3,CE,260.0,266.35,7.2,7.2,6.95,7.0,17.299221,37950,357075
2026-08-20 11:25:00,ATM-3,CE,260.0,266.35,6.75,6.75,6.45,6.75,10.912591,1725,345000
2026-08-20 11:30:00,ATM-3,CE,260.0,266.85,6.75,7.4,6.75,7.4,16.305384,6900,343275
2026-08-20 11:35:00,ATM-3,CE,260.0,266.6,7.4,7.4,7.4,7.4,20.200547,1725,346725
2026-08-20 11:40:00,ATM-3,CE,260.0,266.7,7.4,7.4,7.15,7.15,13.497198,3450,346725
2026-08-20 11:45:00,ATM-3,CE,260.0,266.85,7.15,7.15,7.15,7.15,0.0,1725,345000
2026-08-20 11:50:00,ATM-3,CE,260.0,266.95,7.15,7.15,7.15,7.15,0.0,0,345000
2026-08-20 11:55:00,ATM-3,CE,260.0,266.9,7.15,7.4,7.15,7.4,15.268785,6900,343275
2026-08-20 12:00:00,ATM-3,CE,260.0,267.0,7.4,7.5,7.4,7.5,15.440225,1725,339825
2026-08-20 12:05:00,ATM-3,CE,260.0,267.0,7.5,7.5,7.5,7.5,15.451356,0,339825
2026-08-20 12:10:00,ATM-3,CE,260.0,266.9,7.45,7.5,7.45,7.45,16.473179,8625,334650
2026-08-20 12:15:00,ATM-3,CE,260.0,266.95,7.45,7.45,7.45,7.45,15.393338,1725,331200
2026-08-20 12:20:00,ATM-3,CE,260.0,267.15,7.45,7.75,7.45,7.75,17.954673,20700,329475
2026-08-20 12:25:00,ATM-3,CE,260.0,267.5,7.75,7.75,7.75,7.75,0.0,0,322575
2026-08-20 12:30:00,ATM-3,CE,260.0,267.65,7.75,8.15,7.75,8.15,16.544313,6900,322575
2026-08-20 12:35:00,ATM-3,CE,260.0,267.55,8.2,8.2,8.15,8.2,19.642741,36225,324300
2026-08-20 12:40:00,ATM-3,CE,260.0,268.15,8.25,8.4,8.2,8.4,0.0,15525,357075
2026-08-20 12:45:00,ATM-3,CE,260.0,268.35,8.85,9.0,8.4,9.0,21.076232,18975,346725
2026-08-20 12:50:00,ATM-3,CE,260.0,268.75,9.0,9.8,6.1,9.45,22.72933,13800,341550
2026-08-20 12:55:00,ATM-3,CE,260.0,268.6,9.45,9.45,9.45,9.45,24.975338,0,341550
2026-08-20 13:00:00,ATM-3,CE,262.5,269.4,7.0,7.75,7.0,7.7,20.715012,17250,127650
2026-08-20 13:05:00,ATM-3,CE,262.5,269.45,7.7,7.85,7.7,7.85,22.252784,15525,131100
2026-08-20 13:10:00,ATM-3,CE,262.5,270.2,8.0,8.5,7.85,8.5,22.261491,15525,122475
2026-08-20 13:15:00,ATM-3,CE,262.5,269.25,8.5,8.5,8.5,8.5,31.6762,0,122475
2026-08-20 13:20:00,ATM-3,CE,262.5,269.4,7.7,8.5,7.7,7.7,20.75607,3450,120750
2026-08-20 13:25:00,ATM-3,CE,262.5,269.2,7.7,7.7,7.55,7.55,21.099718,1725,122475
2026-08-20 13:30:00,ATM-3,CE,262.5,269.2,7.55,7.6,7.55,7.6,21.803627,1725,124200
2026-08-20 13:35:00,ATM-3,CE,262.5,269.1,7.6,7.6,7.6,7.6,22.92832,0,124200
2026-08-20 13:40:00,ATM-3,CE,262.5,269.05,7.6,7.6,7.6,7.6,23.464817,0,124200
2026-08-20 13:45:00,ATM-3,CE,262.5,269.1,7.6,7.6,7.6,7.6,22.949296,0,124200
2026-08-20 13:50:00,ATM-3,CE,262.5,269.0,7.25,7.6,7.25,7.25,19.293856,5175,127650
2026-08-20 13:55:00,ATM-3,CE,262.5,269.05,7.25,7.25,7.25,7.25,18.612538,0,127650
2026-08-20 14:00:00,ATM-3,CE,262.5,269.15,7.4,7.6,7.25,7.6,22.434614,3450,124200
