ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:15:00,ATM-3,CE,237.5,243.9,6.9,7.15,6.9,7.15,21.016084,7050,552250
2026-08-20 09:20:00,ATM-3,CE,237.5,244.0,7.15,7.15,7.15,7.15,19.529177,0,552250
2026-08-20 09:25:00,ATM-3,CE,237.5,244.8,7.15,7.5,7.15,7.5,0.0,7050,545200
2026-08-20 09:30:00,ATM-3,CE,237.5,244.6,7.65,7.65,7.5,7.65,18.702361,23500,549900
2026-08-20 09:35:00,ATM-3,CE,237.5,244.8,7.65,7.65,7.65,7.65,11.013623,0,564000
2026-08-20 09:40:00,ATM-3,CE,237.5,244.55,7.65,7.65,7.65,7.65,19.69128,0,564000
2026-08-20 09:45:00,ATM-3,CE,237.5,244.65,7.65,7.65,7.65,7.65,17.631279,0,564000
2026-08-20 09:50:00,ATM-3,CE,237.5,244.4,7.65,7.65,7.65,7.65,22.13274,0,564000
2026-08-20 09:55:00,ATM-3,CE,237.5,245.0,7.65,7.65,7.65,7.65,0.0,0,564000
2026-08-20 10:00:00,ATM-3,CE,237.5,245.4,7.65,7.65,7.65,7.65,0.0,0,564000
2026-08-20 10:05:00,ATM-3,CE,237.5,245.1,7.65,7.65,7.65,7.65,0.0,0,564000
2026-08-20 10:10:00,ATM-3,CE,237.5,245.15,7.65,7.65,7.65,7.65,0.0,0,564000
2026-08-20 10:15:00,ATM-3,CE,237.5,245.1,7.65,7.65,7.65,7.65,0.0,0,564000
2026-08-20 10:20:00,ATM-3,CE,237.5,245.05,7.65,7.65,7.65,7.65,0.0,0,564000
2026-08-20 10:25:00,ATM-3,CE,237.5,245.1,7.65,7.65,7.65,7.65,0.0,0,571050
2026-08-20 10:30:00,ATM-3,CE,237.5,245.35,7.65,8.05,7.65,8.05,0.0,16450,573400
2026-08-20 10:35:00,ATM-3,CE,237.5,245.7,8.05,8.65,8.05,8.65,18.098315,2350,573400
2026-08-20 10:40:00,ATM-3,CE,237.5,245.9,8.7,8.7,8.65,8.7,0.0,2350,573400
2026-08-20 10:45:00,ATM-3,CE,240.0,246.45,6.95,7.55,6.55,7.45,24.692527,141000,3463900
