ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:15:00,ATM-3,CE,380.0,395.55,14.6,15.8,14.6,15.8,0.0,32000,502000
2026-08-20 09:20:00,ATM-3,CE,380.0,395.2,16.4,16.4,15.8,16.2,24.760193,6000,496000
2026-08-20 09:25:00,ATM-3,CE,380.0,395.45,16.2,16.2,16.2,16.2,20.917129,0,496000
2026-08-20 09:30:00,ATM-3,CE,380.0,395.55,16.2,16.2,15.85,15.85,0.0,4000,498000
2026-08-20 09:35:00,ATM-3,CE,380.0,395.2,15.85,15.85,15.85,15.85,18.228901,0,498000
2026-08-20 09:40:00,ATM-3,CE,380.0,395.55,15.85,15.85,15.55,15.55,0.0,2000,498000
2026-08-20 09:45:00,ATM-3,CE,380.0,395.25,15.55,15.7,15.55,15.7,0.0,2000,498000
2026-08-20 09:50:00,ATM-3,CE,380.0,395.1,15.7,15.7,15.7,15.7,16.373492,0,500000
2026-08-20 09:55:00,ATM-3,CE,380.0,395.35,15.7,15.7,15.7,15.7,0.0,0,500000
2026-08-20 10:00:00,ATM-3,CE,380.0,395.25,15.7,15.7,15.7,15.7,0.0,0,500000
2026-08-20 10:05:00,ATM-3,CE,380.0,395.4,15.7,15.7,15.7,15.7,0.0,0,500000
2026-08-20 10:10:00,ATM-3,CE,380.0,395.5,15.7,15.85,15.7,15.85,0.0,6000,498000
2026-08-20 10:15:00,ATM-3,CE,380.0,396.6,16.15,16.8,15.85,16.8,0.0,8000,496000
2026-08-20 10:20:00,ATM-3,CE,380.0,396.5,16.8,16.8,16.8,16.8,0.0,0,496000
2026-08-20 10:25:00,ATM-3,CE,380.0,396.15,16.8,16.8,16.7,16.7,13.511677,8000,494000
2026-08-20 10:30:00,ATM-3,CE,380.0,395.9,16.7,16.7,16.7,16.7,22.548252,0,494000
2026-08-20 10:35:00,ATM-3,CE,380.0,395.5,16.7,16.7,15.8,15.8,0.0,4000,492000
2026-08-20 10:40:00,ATM-3,CE,380.0,395.5,15.8,15.8,15.8,15.8,0.0,0,494000
2026-08-20 10:45:00,ATM-3,CE,380.0,395.65,15.8,15.8,15.8,15.8,0.0,0,494000
2026-08-20 10:50:00,ATM-3,CE,380.0,395.55,15.8,15.8,15.8,15.8,0.0,0,494000
2026-08-20 10:55:00,ATM-3,CE,380.0,395.8,15.8,15.8,15.8,15.8,0.0,0,494000
2026-08-20 11:00:00,ATM-3,CE,380.0,395.9,15.8,15.8,15.8,15.8,0.0,0,494000
2026-08-20 11:05:00,ATM-3,CE,380.0,396.15,15.8,15.8,15.8,15.8,0.0,0,494000
2026-08-20 11:10:00,ATM-3,CE,380.0,396.8,15.8,16.6,15.8,16.6,0.0,18000,496000
2026-08-20 11:15:00,ATM-3,CE,380.0,396.55,16.6,16.6,16.6,16.6,0.0,0,496000
2026-08-20 11:20:00,ATM-3,CE,380.0,396.3,17.0,17.0,16.6,17.0,20.97643,16000,480000
2026-08-20 11:25:00,ATM-3,CE,380.0,396.75,17.0,17.0,17.0,17.0,0.0,0,480000
