ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:15:00,ATM-3,CE,400.0,417.1,17.0,18.0,16.7,18.0,23.691107,113400,2095800
2026-08-20 09:20:00,ATM-3,CE,400.0,415.8,18.0,18.25,16.4,17.05,26.902156,86800,2093000
2026-08-20 09:25:00,ATM-3,CE,400.0,414.6,17.05,17.05,16.1,16.1,28.037525,74200,2140600
2026-08-20 09:30:00,ATM-3,CE,400.0,413.45,15.4,16.1,14.85,14.85,25.674046,26600,2133600
2026-08-20 09:35:00,ATM-3,CE,400.0,413.55,15.25,15.25,14.15,14.9,25.320094,40600,2130800
2026-08-20 09:40:00,ATM-3,CE,400.0,414.05,14.35,15.75,14.35,15.75,29.195781,67200,2119600
2026-08-20 09:45:00,ATM-3,CE,400.0,414.25,15.75,16.1,15.3,15.9,29.024603,32200,2109800
2026-08-20 09:50:00,ATM-3,CE,400.0,415.6,15.9,17.0,15.9,17.0,28.335371,39200,2102800
2026-08-20 09:55:00,ATM-3,CE,400.0,415.5,17.25,17.4,17.0,17.0,29.219958,23800,2095800
2026-08-20 10:00:00,ATM-3,CE,400.0,416.1,17.5,17.65,17.0,17.55,29.467197,57400,2088800
2026-08-20 10:05:00,ATM-3,CE,400.0,416.0,17.45,17.7,17.05,17.05,24.840445,64400,2056600
2026-08-20 10:10:00,ATM-3,CE,405.0,418.85,17.9,18.6,13.95,13.95,0.0,40600,343000
2026-08-20 10:15:00,ATM-3,CE,405.0,420.1,15.25,16.3,13.95,16.3,25.289201,54600,338800
2026-08-20 10:20:00,ATM-3,CE,405.0,420.4,16.5,16.6,16.0,16.45,23.843575,23800,338800
2026-08-20 10:25:00,ATM-3,CE,405.0,419.65,16.45,16.45,15.85,15.85,24.799294,5600,333200
2026-08-20 10:30:00,ATM-3,CE,405.0,418.4,15.85,15.85,15.85,15.85,33.91947,0,333200
2026-08-20 10:35:00,ATM-3,CE,405.0,418.45,14.9,15.85,14.8,14.8,24.969286,7000,331800
2026-08-20 10:40:00,ATM-3,CE,405.0,417.6,14.8,14.8,14.8,14.8,30.985168,0,330400
2026-08-20 10:45:00,ATM-3,CE,405.0,418.05,14.0,14.85,14.0,14.85,28.492859,44800,310800
2026-08-20 10:50:00,ATM-3,CE,405.0,418.45,14.4,14.85,14.4,14.4,20.493028,1400,312200
2026-08-20 10:55:00,ATM-3,CE,405.0,418.8,14.75,15.3,14.4,15.0,23.88879,8400,306600
2026-08-20 11:00:00,ATM-3,CE,405.0,419.6,15.0,15.95,15.0,15.95,26.410401,12600,298200
2026-08-20 11:05:00,ATM-3,CE,405.0,420.05,15.95,15.95,15.95,15.95,21.501127,0,298200
2026-08-20 11:10:00,ATM-3,CE,405.0,420.05,16.25,16.25,15.95,16.25,25.367403,1400,296800
2026-08-20 11:15:00,ATM-3,CE,405.0,420.85,16.25,16.7,16.25,16.7,21.537294,2800,294000
2026-08-20 11:20:00,ATM-3,CE,405.0,420.4,16.7,16.85,16.25,16.85,28.416746,8400,294000
2026-08-20 11:25:00,ATM-3,CE,405.0,420.2,16.85,16.85,16.85,16.85,30.066366,0,294000
2026-08-20 11:30:00,ATM-3,CE,405.0,420.15,16.85,16.85,16.7,16.7,29.096802,1400,292600
2026-08-20 11:35:00,ATM-3,CE,405.0,420.0,16.7,16.7,16.7,16.7,30.287912,0,292600
2026-08-20 11:40:00,ATM-3,CE,405.0,420.6,16.7,16.7,16.4,16.4,20.467392,2800,292600
2026-08-20 11:45:00,ATM-3,CE,405.0,420.2,16.4,16.5,16.4,16.5,26.715467,1400,292600
2026-08-20 11:50:00,ATM-3,CE,405.0,420.0,16.5,16.5,16.5,16.5,28.490859,0,292600
2026-08-20 11:55:00,ATM-3,CE,405.0,421.5,16.65,17.1,16.5,17.1,15.233907,11200,292600
2026-08-20 12:00:00,ATM-3,CE,405.0,422.15,17.1,18.1,17.1,18.1,24.575447,7000,285600
2026-08-20 12:05:00,ATM-3,CE,405.0,422.3,18.25,18.6,13.5,18.6,29.203394,8400,285600
2026-08-20 12:10:00,ATM-3,CE,405.0,421.75,18.6,18.6,18.6,18.6,33.927067,0,285600
2026-08-20 12:15:00,ATM-3,CE,405.0,421.7,18.6,18.6,18.0,18.0,28.540233,2800,285600
2026-08-20 12:20:00,ATM-3,CE,405.0,421.45,17.75,18.0,17.75,17.75,28.264293,2800,285600
2026-08-20 12:25:00,ATM-3,CE,405.0,421.4,17.75,17.75,17.75,17.75,28.756425,0,285600
2026-08-20 12:30:00,ATM-3,CE,405.0,421.2,17.75,17.75,17.75,17.75,30.544638,0,285600
2026-08-20 12:35:00,ATM-3,CE,405.0,421.2,17.75,17.75,16.65,16.65,0.0,15400,282800
2026-08-20 12:40:00,ATM-3,CE,405.0,421.75,16.5,17.3,16.5,17.3,0.0,12600,292600
2026-08-20 12:45:00,ATM-3,CE,410.0,423.65,17.25,17.3,12.65,14.0,0.0,40600,1554000
2026-08-20 12:50:00,ATM-3,CE,410.0,423.0,14.3,14.65,14.0,14.25,23.387713,30800,1555400
2026-08-20 12:55:00,ATM-3,CE,410.0,423.65,14.25,14.8,14.1,14.8,23.09558,32200,1548400
2026-08-20 13:00:00,ATM-3,CE,410.0,424.0,14.75,15.0,14.75,14.9,20.345722,53200,1549800
2026-08-20 13:05:00,ATM-3,CE,410.0,423.15,14.9,14.9,14.25,14.25,21.985375,12600,1551200
2026-08-20 13:10:00,ATM-3,CE,410.0,422.75,14.2,14.4,13.25,14.4,26.813981,49000,1549800
2026-08-20 13:15:00,ATM-3,CE,405.0,422.5,14.4,18.95,14.4,18.95,31.2372,0,291200
2026-08-20 13:20:00,ATM-3,CE,405.0,422.15,18.95,18.95,18.95,18.95,34.189987,0,291200
2026-08-20 13:25:00,ATM-3,CE,405.0,422.2,18.95,18.95,13.35,18.95,33.812585,2800,291200
2026-08-20 13:30:00,ATM-3,CE,405.0,422.2,18.95,18.95,18.95,18.95,33.827138,0,291200
2026-08-20 13:35:00,ATM-3,CE,405.0,422.35,18.95,18.95,18.95,18.95,32.613843,0,291200
2026-08-20 13:40:00,ATM-3,CE,405.0,421.6,18.05,18.95,18.05,18.05,30.232896,1400,284200
2026-08-20 13:45:00,ATM-3,CE,405.0,421.5,18.05,18.05,18.05,18.05,31.117395,0,284200
2026-08-20 13:50:00,ATM-3,CE,405.0,421.45,18.05,18.05,18.05,18.05,31.550196,0,284200
2026-08-20 13:55:00,ATM-3,CE,405.0,421.3,18.05,18.05,18.05,18.05,32.764768,0,284200
2026-08-20 14:00:00,ATM-3,CE,405.0,421.35,18.05,18.05,18.05,18.05,32.387375,0,284200
2026-08-20 14:05:00,ATM-3,CE,405.0,421.3,18.05,18.05,17.4,17.4,26.044217,1400,284200
2026-08-20 14:10:00,ATM-3,CE,410.0,422.75,16.85,17.7,12.55,14.5,27.795808,106400,1486800
2026-08-20 14:15:00,ATM-3,CE,405.0,421.95,19.4,19.4,19.4,19.4,39.517506,0,282800
2026-08-20 14:20:00,ATM-3,CE,405.0,421.6,19.4,19.4,17.5,17.55,24.381585,4200,277200
2026-08-20 14:25:00,ATM-3,CE,405.0,421.85,17.55,17.55,17.55,17.55,19.964314,0,277200
2026-08-20 14:30:00,ATM-3,CE,405.0,421.4,17.55,17.55,17.55,17.55,26.837138,0,277200
2026-08-20 14:35:00,ATM-3,CE,405.0,421.55,17.55,17.55,17.35,17.35,21.892384,1400,274400
2026-08-20 14:40:00,ATM-3,CE,405.0,421.0,17.35,17.35,17.35,17.35,28.644536,0,274400
2026-08-20 14:45:00,ATM-3,CE,405.0,421.2,17.35,17.35,17.35,17.35,26.650696,0,274400
2026-08-20 14:50:00,ATM-3,CE,405.0,421.55,17.35,17.4,17.35,17.4,22.831556,7000,277200
2026-08-20 14:55:00,ATM-3,CE,405.0,421.6,17.4,17.4,17.4,17.4,21.999527,0,277200
2026-08-20 15:00:00,ATM-3,CE,405.0,422.0,17.4,17.4,17.4,17.4,0.0,0,274400
2026-08-20 15:05:00,ATM-3,CE,410.0,422.75,17.75,17.75,12.5,13.45,15.898771,29400,1440600
2026-08-20 15:10:00,ATM-3,CE,405.0,421.9,18.1,18.1,17.05,17.05,0.0,7000,284200
