ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:30:00,ATM-3,CE,2400.0,2572.0,168.1,171.9,167.9,171.0,0.0,900,193950
2026-08-20 09:35:00,ATM-3,CE,2400.0,2574.9,171.0,171.0,171.0,171.0,0.0,0,193950
2026-08-20 09:40:00,ATM-3,CE,2450.0,2579.4,171.0,171.0,128.6,131.15,0.0,450,55125
2026-08-20 09:45:00,ATM-3,CE,2400.0,2567.2,135.35,171.0,131.15,171.0,25.854254,675,193950
2026-08-20 09:50:00,ATM-3,CE,2400.0,2567.9,171.0,171.0,170.0,170.0,0.0,675,193725
2026-08-20 09:55:00,ATM-3,CE,2400.0,2569.6,170.0,170.0,170.0,170.0,0.0,0,193725
2026-08-20 10:00:00,ATM-3,CE,2400.0,2567.0,170.0,170.0,170.0,170.0,0.0,0,193725
2026-08-20 10:05:00,ATM-3,CE,2400.0,2566.5,170.0,170.0,167.3,167.3,0.0,450,193500
2026-08-20 10:10:00,ATM-3,CE,2400.0,2562.9,167.3,168.0,167.3,168.0,32.541016,225,193500
2026-08-20 10:15:00,ATM-3,CE,2400.0,2562.0,168.0,168.0,168.0,168.0,35.375203,0,193500
2026-08-20 10:20:00,ATM-3,CE,2400.0,2557.0,168.0,168.0,159.15,159.15,0.0,450,193275
2026-08-20 10:25:00,ATM-3,CE,2400.0,2554.1,159.15,159.15,156.05,156.05,0.0,450,193275
2026-08-20 10:30:00,ATM-3,CE,2400.0,2552.4,156.05,156.05,156.05,156.05,22.64254,0,193275
2026-08-20 10:35:00,ATM-3,CE,2400.0,2555.8,156.05,156.05,156.05,156.05,0.0,0,193275
2026-08-20 10:40:00,ATM-3,CE,2400.0,2556.4,156.05,156.05,156.05,156.05,0.0,0,193275
2026-08-20 10:45:00,ATM-3,CE,2400.0,2556.5,156.05,156.05,156.05,156.05,0.0,0,193275
2026-08-20 10:50:00,ATM-3,CE,2400.0,2557.3,156.05,156.05,156.05,156.05,0.0,0,193275
2026-08-20 10:55:00,ATM-3,CE,2400.0,2562.5,156.05,156.05,156.05,156.05,0.0,0,193275
2026-08-20 11:00:00,ATM-3,CE,2400.0,2564.4,156.05,156.05,156.05,156.05,0.0,0,193275
2026-08-20 11:05:00,ATM-3,CE,2400.0,2570.4,156.05,156.05,156.05,156.05,0.0,0,193275
2026-08-20 11:10:00,ATM-3,CE,2450.0,2578.8,156.05,156.05,130.8,140.7,40.432502,675,54900
2026-08-20 11:15:00,ATM-3,CE,2400.0,2574.5,156.05,156.05,156.05,156.05,0.0,0,193275
2026-08-20 11:20:00,ATM-3,CE,2400.0,2574.2,156.05,156.05,156.05,156.05,0.0,0,193275
2026-08-20 11:25:00,ATM-3,CE,2400.0,2571.9,156.05,156.05,156.05,156.05,0.0,0,193275
2026-08-20 11:30:00,ATM-3,CE,2400.0,2574.1,156.05,156.05,156.05,156.05,0.0,0,193275
2026-08-20 11:35:00,ATM-3,CE,2400.0,2573.2,134.45,156.05,134.45,156.05,0.0,0,193275
2026-08-20 11:40:00,ATM-3,CE,2400.0,2575.0,134.45,156.05,134.45,156.05,0.0,0,193275
2026-08-20 11:45:00,ATM-3,CE,2400.0,2574.3,134.35,156.05,134.35,156.05,0.0,225,193275
2026-08-20 11:50:00,ATM-3,CE,2400.0,2574.4,156.05,156.05,156.05,156.05,0.0,0,193275
2026-08-20 11:55:00,ATM-3,CE,2450.0,2578.0,133.6,138.15,133.6,138.15,37.639674,450,55125
2026-08-20 12:00:00,ATM-3,CE,2450.0,2577.1,138.15,138.15,138.15,138.15,38.939169,0,55125
2026-08-20 12:05:00,ATM-3,CE,2400.0,2574.0,138.15,156.05,138.15,156.05,0.0,0,193275
2026-08-20 12:10:00,ATM-3,CE,2400.0,2573.7,138.15,156.05,138.15,156.05,0.0,0,193275
2026-08-20 12:15:00,ATM-3,CE,2400.0,2573.1,156.05,156.05,156.05,156.05,0.0,0,193275
2026-08-20 12:20:00,ATM-3,CE,2450.0,2577.0,156.05,156.05,138.15,138.15,39.142431,0,55125
2026-08-20 12:25:00,ATM-3,CE,2450.0,2578.8,138.15,138.15,138.15,138.15,36.519357,0,55125
2026-08-20 12:30:00,ATM-3,CE,2450.0,2579.0,138.15,138.15,138.15,138.15,36.218083,0,55125
2026-08-20 12:35:00,ATM-3,CE,2450.0,2576.4,138.15,138.15,138.15,138.15,40.001682,0,55125
2026-08-20 12:40:00,ATM-3,CE,2450.0,2577.6,138.15,138.15,138.15,138.15,38.366136,0,55125
2026-08-20 12:45:00,ATM-3,CE,2450.0,2577.6,138.15,138.15,138.15,138.15,38.382447,0,55125
2026-08-20 12:50:00,ATM-3,CE,2450.0,2575.7,138.15,138.15,138.15,138.15,40.961739,0,55125
2026-08-20 12:55:00,ATM-3,CE,2450.0,2576.0,138.15,138.15,138.15,138.15,40.592785,0,55125
2026-08-20 13:00:00,ATM-3,CE,2400.0,2575.0,138.15,184.05,138.15,184.05,45.562329,0,192600
