ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:15:00,ATM-3,CE,2900.0,3054.4,106.35,155.3,106.35,150.95,0.0,96300,274275
2026-08-20 09:20:00,ATM-3,CE,2900.0,3061.1,149.1,162.0,149.1,155.3,0.0,45675,271125
2026-08-20 09:25:00,ATM-3,CE,2900.0,3035.1,157.15,162.05,133.45,134.65,0.0,47025,270675
2026-08-20 09:30:00,ATM-3,CE,2900.0,3028.1,133.85,191.0,126.95,133.0,19.417778,19125,269550
2026-08-20 09:35:00,ATM-3,CE,2850.0,3022.2,133.2,172.55,132.05,172.55,0.0,4275,98550
2026-08-20 09:40:00,ATM-3,CE,2850.0,3015.0,173.75,173.75,172.55,173.75,34.817068,450,98550
2026-08-20 09:45:00,ATM-3,CE,2900.0,3030.1,173.75,173.75,128.6,139.0,29.147212,28575,269775
2026-08-20 09:50:00,ATM-3,CE,2900.0,3029.5,138.0,142.1,132.15,135.65,23.661085,11475,252900
2026-08-20 09:55:00,ATM-3,CE,2900.0,3030.0,137.05,139.0,135.65,136.0,23.358784,3825,253575
2026-08-20 10:00:00,ATM-3,CE,2850.0,3020.9,132.15,178.0,132.0,178.0,32.314148,675,97650
2026-08-20 10:05:00,ATM-3,CE,2850.0,3023.4,178.0,178.0,178.0,178.0,23.892268,0,97650
2026-08-20 10:10:00,ATM-3,CE,2900.0,3033.3,178.0,178.0,129.1,140.1,25.762739,11025,258300
2026-08-20 10:15:00,ATM-3,CE,2900.0,3042.2,140.05,147.7,138.0,147.7,23.557299,14625,257850
2026-08-20 10:20:00,ATM-3,CE,2900.0,3047.3,150.0,153.7,147.7,153.65,26.662079,14175,253350
2026-08-20 10:25:00,ATM-3,CE,2900.0,3045.0,153.65,153.9,149.5,151.25,26.112566,2250,253575
2026-08-20 10:30:00,ATM-3,CE,2900.0,3042.9,152.55,152.7,144.45,151.15,30.09094,12600,252000
2026-08-20 10:35:00,ATM-3,CE,2900.0,3041.1,149.6,151.15,146.5,148.8,28.805194,5625,252450
2026-08-20 10:40:00,ATM-3,CE,2900.0,3042.0,148.8,150.55,145.15,148.1,25.364741,5400,251775
2026-08-20 10:45:00,ATM-3,CE,2900.0,3044.0,148.1,154.95,148.1,153.1,31.786701,4050,251100
2026-08-20 10:50:00,ATM-3,CE,2900.0,3043.4,153.1,153.1,153.1,153.1,32.689373,0,251100
2026-08-20 10:55:00,ATM-3,CE,2900.0,3053.7,153.1,163.0,152.05,159.15,24.974132,5625,252450
2026-08-20 11:00:00,ATM-3,CE,2900.0,3071.7,159.6,181.3,125.45,177.0,26.653012,17550,252675
2026-08-20 11:05:00,ATM-3,CE,2900.0,3075.0,177.65,183.5,172.35,183.5,35.369603,4275,252900
2026-08-20 11:10:00,ATM-3,CE,2900.0,3069.5,182.55,183.5,175.9,179.9,37.916864,2025,252225
2026-08-20 11:15:00,ATM-3,CE,2950.0,3076.4,175.0,179.9,128.95,135.55,28.634253,17100,162450
2026-08-20 11:20:00,ATM-3,CE,2950.0,3088.4,183.5,183.5,133.3,147.0,29.571309,9900,160875
2026-08-20 11:25:00,ATM-3,CE,2950.0,3086.0,147.6,159.95,145.35,145.85,31.237472,13050,162675
2026-08-20 11:30:00,ATM-3,CE,2950.0,3087.4,145.85,147.85,144.35,147.0,31.083358,3375,162450
2026-08-20 11:35:00,ATM-3,CE,2950.0,3095.0,147.0,154.0,144.9,153.0,29.509071,6975,163125
2026-08-20 11:40:00,ATM-3,CE,2950.0,3090.7,153.35,157.55,149.6,149.6,30.483244,5175,161550
2026-08-20 11:45:00,ATM-3,CE,2950.0,3094.1,149.6,157.6,149.6,152.35,29.869051,4275,162225
2026-08-20 11:50:00,ATM-3,CE,2950.0,3098.7,154.25,161.35,152.35,158.1,32.551161,2700,162900
2026-08-20 11:55:00,ATM-3,CE,2950.0,3096.8,156.75,158.1,153.3,153.3,26.648755,1575,162900
2026-08-20 12:00:00,ATM-3,CE,2950.0,3093.0,153.8,154.35,151.95,151.95,30.972218,900,163350
2026-08-20 12:05:00,ATM-3,CE,2950.0,3093.0,152.6,154.15,151.65,154.15,34.377724,3375,164250
2026-08-20 12:10:00,ATM-3,CE,2950.0,3101.0,151.1,160.4,151.1,160.4,32.960039,4725,166500
2026-08-20 12:15:00,ATM-3,CE,2950.0,3100.0,160.4,160.4,157.1,160.4,34.407973,1125,166950
2026-08-20 12:20:00,ATM-3,CE,2950.0,3098.3,158.65,162.95,158.65,160.85,37.220713,900,167625
2026-08-20 12:25:00,ATM-3,CE,2950.0,3106.9,160.85,163.85,157.9,163.85,29.170788,1350,167400
2026-08-20 12:30:00,ATM-3,CE,2950.0,3102.9,164.0,164.0,159.4,159.4,27.57739,5175,166050
2026-08-20 12:35:00,ATM-3,CE,2950.0,3119.3,166.3,180.0,159.4,180.0,37.917347,2925,167175
2026-08-20 12:40:00,ATM-3,CE,3000.0,3125.1,136.0,184.3,135.0,139.1,34.540476,29925,486900
2026-08-20 12:45:00,ATM-3,CE,2950.0,3118.5,181.0,182.0,176.15,176.5,33.088994,4500,167175
2026-08-20 12:50:00,ATM-3,CE,2950.0,3119.7,176.5,176.5,169.45,174.45,23.570237,7200,168300
2026-08-20 12:55:00,ATM-3,CE,2950.0,3118.4,170.0,174.45,160.0,165.75,0.0,1800,168075
2026-08-20 13:00:00,ATM-3,CE,2950.0,3112.1,165.75,165.75,164.0,164.0,0.0,450,168075
2026-08-20 13:05:00,ATM-3,CE,2950.0,3119.1,164.0,176.15,164.0,172.1,0.0,1575,168300
2026-08-20 13:10:00,ATM-3,CE,2950.0,3119.8,172.1,177.1,172.0,177.1,31.874011,900,168300
2026-08-20 13:15:00,ATM-3,CE,3000.0,3126.0,177.1,177.1,133.5,138.55,33.031958,10575,481950
2026-08-20 13:20:00,ATM-3,CE,2950.0,3116.1,138.9,184.2,138.55,184.2,47.330153,6750,168750
2026-08-20 13:25:00,ATM-3,CE,2950.0,3116.8,184.2,184.2,171.0,171.0,18.210829,225,168525
2026-08-20 13:30:00,ATM-3,CE,2950.0,3107.5,171.0,171.0,165.6,165.6,31.858889,225,168525
2026-08-20 13:35:00,ATM-3,CE,2950.0,3106.5,161.4,165.6,161.4,163.95,30.428937,2700,167625
2026-08-20 13:40:00,ATM-3,CE,2950.0,3113.3,163.95,169.7,163.95,169.7,28.938038,450,167400
2026-08-20 13:45:00,ATM-3,CE,2950.0,3113.9,169.7,170.55,169.7,170.55,29.667725,450,167400
2026-08-20 13:50:00,ATM-3,CE,2950.0,3121.9,170.55,178.0,170.55,176.9,25.370048,3375,166950
2026-08-20 13:55:00,ATM-3,CE,2950.0,3120.0,177.3,178.0,176.9,178.0,33.533415,2250,167400
2026-08-20 14:00:00,ATM-3,CE,2950.0,3123.3,178.0,180.9,176.85,180.9,33.182404,900,167850
2026-08-20 14:05:00,ATM-3,CE,3000.0,3126.9,178.7,182.1,136.9,140.05,34.074131,58050,431550
2026-08-20 14:10:00,ATM-3,CE,3000.0,3131.8,141.15,145.45,140.05,143.1,32.515729,14175,433125
2026-08-20 14:15:00,ATM-3,CE,3000.0,3127.3,142.85,186.2,137.15,140.4,34.110012,13050,429525
2026-08-20 14:20:00,ATM-3,CE,2950.0,3123.6,183.85,183.85,180.0,180.0,30.434567,1350,166500
2026-08-20 14:25:00,ATM-3,CE,3000.0,3127.7,180.0,180.0,136.95,140.0,33.202149,4275,434025
2026-08-20 14:30:00,ATM-3,CE,2950.0,3123.0,138.45,184.05,138.0,184.05,39.427785,1800,166050
2026-08-20 14:35:00,ATM-3,CE,2950.0,3124.9,184.05,184.05,176.9,176.9,0.0,225,166050
2026-08-20 14:40:00,ATM-3,CE,2950.0,3121.5,180.0,180.0,176.9,177.4,28.811016,675,165600
2026-08-20 14:45:00,ATM-3,CE,3000.0,3130.3,177.4,177.4,134.0,143.25,34.521406,16650,428625
2026-08-20 14:50:00,ATM-3,CE,3000.0,3131.6,141.0,143.25,139.4,142.9,32.599917,10575,425700
2026-08-20 14:55:00,ATM-3,CE,3000.0,3126.1,140.6,142.9,134.6,136.0,29.753203,4950,425925
2026-08-20 15:00:00,ATM-3,CE,2950.0,3119.5,179.2,179.2,173.6,175.75,29.630227,1125,165825
2026-08-20 15:05:00,ATM-3,CE,2950.0,3119.3,176.6,176.6,171.8,174.65,26.795722,2025,165150
2026-08-20 15:10:00,ATM-3,CE,2950.0,3120.0,175.5,178.7,174.2,175.85,28.575165,5400,163800
