ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:40:00,ATM-3,CE,320.0,334.75,14.25,14.25,14.25,14.25,0.0,1500,87000
2026-08-20 09:45:00,ATM-3,CE,320.0,334.85,14.25,14.25,14.25,14.25,0.0,0,87000
2026-08-20 09:50:00,ATM-3,CE,320.0,334.9,14.25,14.25,14.25,14.25,0.0,0,87000
2026-08-20 09:55:00,ATM-3,CE,320.0,335.05,14.25,14.25,14.25,14.25,0.0,0,87000
2026-08-20 10:00:00,ATM-3,CE,320.0,335.2,14.25,14.25,14.25,14.25,0.0,0,87000
2026-08-20 10:05:00,ATM-3,CE,320.0,335.55,14.25,14.25,14.25,14.25,0.0,0,87000
2026-08-20 10:10:00,ATM-3,CE,320.0,335.7,14.25,14.25,14.25,14.25,0.0,0,87000
2026-08-20 10:15:00,ATM-3,CE,320.0,336.0,14.25,14.25,14.25,14.25,0.0,0,87000
2026-08-20 10:20:00,ATM-3,CE,320.0,335.9,14.25,14.25,14.25,14.25,0.0,0,87000
2026-08-20 10:25:00,ATM-3,CE,320.0,335.75,14.25,14.25,14.25,14.25,0.0,0,87000
2026-08-20 10:30:00,ATM-3,CE,320.0,335.35,14.25,14.25,14.25,14.25,50.200953,0,87000
2026-08-20 10:35:00,ATM-3,CE,320.0,336.2,14.25,14.25,14.25,14.25,0.0,0,87000
2026-08-20 10:40:00,ATM-3,CE,320.0,336.1,14.25,14.25,14.25,14.25,0.0,0,87000
2026-08-20 10:45:00,ATM-3,CE,320.0,336.35,14.25,14.25,14.25,14.25,0.0,0,87000
2026-08-20 10:50:00,ATM-3,CE,320.0,336.65,14.25,14.25,14.25,14.25,0.0,0,87000
2026-08-20 10:55:00,ATM-3,CE,320.0,336.5,14.25,14.25,14.25,14.25,0.0,0,87000
2026-08-20 11:00:00,ATM-3,CE,320.0,336.6,14.25,14.25,14.25,14.25,0.0,0,87000
2026-08-20 11:05:00,ATM-3,CE,320.0,337.1,14.25,14.25,14.25,14.25,0.0,0,87000
2026-08-20 11:10:00,ATM-3,CE,320.0,337.2,17.35,17.35,14.25,17.35,0.0,1500,87000
2026-08-20 11:15:00,ATM-3,CE,320.0,337.5,17.35,17.35,17.35,17.35,0.0,0,87000
2026-08-20 11:20:00,ATM-3,CE,320.0,337.4,17.35,17.35,17.35,17.35,0.0,0,87000
2026-08-20 11:50:00,ATM-3,CE,325.0,338.0,12.55,13.05,12.55,13.05,0.0,4500,67500
2026-08-20 11:55:00,ATM-3,CE,325.0,338.05,13.05,13.5,13.05,13.1,0.0,12000,61500
2026-08-20 12:00:00,ATM-3,CE,325.0,338.2,13.1,13.1,13.1,13.1,0.0,0,61500
2026-08-20 12:05:00,ATM-3,CE,325.0,338.15,13.1,13.1,13.1,13.1,0.0,0,61500
2026-08-20 12:10:00,ATM-3,CE,325.0,338.15,13.1,13.1,13.1,13.1,0.0,0,61500
2026-08-20 12:15:00,ATM-3,CE,325.0,338.0,13.1,13.1,13.1,13.1,0.0,0,61500
2026-08-20 12:20:00,ATM-3,CE,325.0,337.85,13.0,13.1,12.85,12.85,0.0,7500,61500
2026-08-20 12:25:00,ATM-3,CE,325.0,338.0,12.85,12.95,12.85,12.95,0.0,4500,61500
2026-08-20 12:30:00,ATM-3,CE,325.0,338.35,12.95,13.0,12.95,13.0,0.0,1500,63000
