ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:15:00,ATM-3,CE,1540.0,1598.0,59.95,63.0,59.95,60.85,18.718463,16675,938875
2026-08-20 09:20:00,ATM-3,CE,1540.0,1596.1,60.85,63.0,60.5,60.5,24.278235,18850,935250
2026-08-20 09:25:00,ATM-3,CE,1540.0,1594.7,60.5,60.5,56.5,56.5,0.0,725,935250
2026-08-20 09:30:00,ATM-3,CE,1540.0,1597.2,58.6,60.35,56.5,58.65,0.0,11600,933075
2026-08-20 09:35:00,ATM-3,CE,1540.0,1606.7,58.65,67.2,58.65,66.3,0.0,15225,927275
2026-08-20 09:40:00,ATM-3,CE,1540.0,1606.4,69.55,72.95,66.3,68.65,13.978124,11600,921475
2026-08-20 09:45:00,ATM-3,CE,1540.0,1607.8,68.65,68.65,68.65,68.65,0.0,0,920750
2026-08-20 09:50:00,ATM-3,CE,1540.0,1609.8,68.65,68.65,68.55,68.55,0.0,1450,920750
2026-08-20 09:55:00,ATM-3,CE,1540.0,1609.0,70.5,70.5,68.55,70.5,0.0,5075,920750
2026-08-20 10:00:00,ATM-3,CE,1560.0,1617.7,53.35,58.9,53.05,58.6,0.0,70325,1046175
2026-08-20 10:05:00,ATM-3,CE,1560.0,1615.9,58.0,58.6,57.75,57.9,0.0,70325,1120850
2026-08-20 10:10:00,ATM-3,CE,1560.0,1611.8,55.2,57.9,52.5,54.25,14.137109,16675,1116500
2026-08-20 10:15:00,ATM-3,CE,1560.0,1613.5,54.25,55.45,53.6,55.45,0.0,17400,1112875
2026-08-20 10:20:00,ATM-3,CE,1560.0,1621.5,56.5,63.9,55.45,63.45,0.0,39875,1115050
2026-08-20 10:25:00,ATM-3,CE,1560.0,1619.0,62.65,63.8,61.1,61.1,0.0,13775,1115775
2026-08-20 10:30:00,ATM-3,CE,1560.0,1614.5,61.1,61.1,56.0,56.85,13.576887,21025,1104900
2026-08-20 10:35:00,ATM-3,CE,1560.0,1612.9,56.55,56.85,55.0,55.3,13.931262,7250,1102725
2026-08-20 10:40:00,ATM-3,CE,1560.0,1613.0,55.3,55.4,54.75,55.2,0.0,6525,1101275
2026-08-20 10:45:00,ATM-3,CE,1560.0,1614.2,55.4,56.5,54.8,56.5,12.737979,11600,1099825
2026-08-20 10:50:00,ATM-3,CE,1560.0,1611.6,56.5,56.5,53.0,55.0,19.484761,4350,1099825
2026-08-20 10:55:00,ATM-3,CE,1560.0,1612.2,55.0,55.0,52.9,54.35,0.0,2175,1096925
2026-08-20 11:00:00,ATM-3,CE,1540.0,1603.5,71.9,72.9,63.95,65.35,0.0,9425,847525
2026-08-20 11:05:00,ATM-3,CE,1540.0,1599.8,64.95,65.35,63.45,63.45,23.089486,3625,845350
2026-08-20 11:10:00,ATM-3,CE,1540.0,1600.3,60.35,64.95,60.35,64.95,26.547678,5800,846075
2026-08-20 11:15:00,ATM-3,CE,1540.0,1599.5,64.95,64.95,63.7,63.7,24.935805,1450,847525
2026-08-20 11:20:00,ATM-3,CE,1540.0,1599.9,63.1,64.05,63.1,64.05,24.902338,4350,846075
2026-08-20 11:25:00,ATM-3,CE,1540.0,1599.8,62.8,64.05,62.8,63.0,21.296398,5800,844625
2026-08-20 11:30:00,ATM-3,CE,1540.0,1600.3,63.0,63.0,63.0,63.0,18.755294,0,844625
2026-08-20 11:35:00,ATM-3,CE,1540.0,1599.0,63.95,63.95,62.15,62.15,20.885197,6525,843175
2026-08-20 11:40:00,ATM-3,CE,1540.0,1599.7,62.15,62.15,62.15,62.15,16.686188,0,843175
2026-08-20 11:45:00,ATM-3,CE,1540.0,1600.3,62.15,65.05,62.15,65.05,26.931013,725,846075
2026-08-20 11:50:00,ATM-3,CE,1540.0,1599.5,65.05,65.05,63.05,63.05,22.74087,725,845350
2026-08-20 11:55:00,ATM-3,CE,1540.0,1600.6,63.4,63.4,63.05,63.4,19.529367,725,844625
2026-08-20 12:00:00,ATM-3,CE,1540.0,1603.6,63.4,67.5,63.4,67.5,25.208688,2900,843900
2026-08-20 12:05:00,ATM-3,CE,1540.0,1606.2,67.5,68.85,67.5,68.85,19.918543,1450,845350
2026-08-20 12:10:00,ATM-3,CE,1560.0,1614.9,70.0,70.0,51.4,56.0,0.0,20300,1083150
2026-08-20 12:15:00,ATM-3,CE,1560.0,1616.4,57.8,57.8,56.0,57.5,0.0,7250,1083150
2026-08-20 12:20:00,ATM-3,CE,1560.0,1617.7,58.9,59.0,57.5,59.0,0.0,2175,1083150
2026-08-20 12:25:00,ATM-3,CE,1560.0,1617.7,59.0,59.0,57.95,58.05,0.0,2175,1081700
2026-08-20 12:30:00,ATM-3,CE,1560.0,1618.8,58.8,60.3,58.05,60.3,0.0,8700,1081700
2026-08-20 12:35:00,ATM-3,CE,1560.0,1618.0,60.3,62.3,60.3,61.0,19.686594,26825,1069375
2026-08-20 12:40:00,ATM-3,CE,1560.0,1614.0,60.0,61.0,56.2,58.0,22.519382,25375,1051975
2026-08-20 12:45:00,ATM-3,CE,1560.0,1612.4,58.0,58.0,54.5,54.5,0.0,4350,1046900
2026-08-20 12:50:00,ATM-3,CE,1560.0,1610.3,54.5,73.9,53.25,53.95,20.314007,15950,1046900
2026-08-20 12:55:00,ATM-3,CE,1560.0,1610.3,54.15,73.1,53.8,53.8,19.794063,7250,1046900
2026-08-20 13:00:00,ATM-3,CE,1540.0,1609.5,71.8,72.4,71.8,72.4,22.506218,1450,827950
2026-08-20 13:05:00,ATM-3,CE,1540.0,1608.7,72.4,72.4,72.4,72.4,26.054223,2175,826500
2026-08-20 13:10:00,ATM-3,CE,1560.0,1612.1,71.45,72.4,53.8,55.4,19.563215,5800,1046175
2026-08-20 13:15:00,ATM-3,CE,1560.0,1610.8,55.4,73.05,54.1,54.6,21.022617,5800,1044000
2026-08-20 13:20:00,ATM-3,CE,1560.0,1611.6,54.6,73.05,54.6,56.05,23.267514,3625,1044000
2026-08-20 13:25:00,ATM-3,CE,1560.0,1610.5,56.05,75.0,54.7,55.1,23.365052,2175,1042550
2026-08-20 13:30:00,ATM-3,CE,1560.0,1612.3,55.1,56.85,55.1,56.45,22.611534,5800,1042550
2026-08-20 13:35:00,ATM-3,CE,1560.0,1612.0,56.3,56.75,55.35,56.7,24.128277,26825,1041825
2026-08-20 13:40:00,ATM-3,CE,1540.0,1610.0,55.85,74.95,54.35,74.95,30.758267,38425,823600
2026-08-20 13:45:00,ATM-3,CE,1560.0,1610.2,53.45,53.45,53.45,53.45,18.930316,0,1042550
2026-08-20 13:50:00,ATM-3,CE,1560.0,1611.9,53.45,57.0,53.45,56.8,24.675052,2900,1042550
2026-08-20 13:55:00,ATM-3,CE,1560.0,1611.7,56.8,56.8,56.8,56.8,25.149741,0,1042550
2026-08-20 14:00:00,ATM-3,CE,1560.0,1611.2,56.8,56.8,55.6,55.6,23.095552,2175,1042550
2026-08-20 14:05:00,ATM-3,CE,1560.0,1612.8,55.6,56.95,55.6,56.95,22.843065,1450,1041825
2026-08-20 14:10:00,ATM-3,CE,1560.0,1613.3,56.95,57.3,56.95,57.3,22.531317,725,1041825
2026-08-20 14:15:00,ATM-3,CE,1540.0,1609.4,56.6,74.85,55.55,74.85,32.122162,4350,809825
2026-08-20 14:20:00,ATM-3,CE,1560.0,1610.5,54.9,74.85,54.9,54.9,22.928686,4350,1041825
2026-08-20 14:25:00,ATM-3,CE,1560.0,1611.5,54.9,54.9,54.45,54.45,18.06468,2175,1041825
2026-08-20 14:30:00,ATM-3,CE,1560.0,1612.1,54.45,56.25,54.45,55.55,20.33836,5800,1041100
2026-08-20 14:35:00,ATM-3,CE,1560.0,1610.6,75.35,75.35,53.45,55.2,23.559383,5075,1040375
2026-08-20 14:40:00,ATM-3,CE,1560.0,1610.1,55.2,55.2,54.65,54.65,23.276783,725,1040375
2026-08-20 14:45:00,ATM-3,CE,1540.0,1609.7,73.95,73.95,53.6,73.95,28.624804,725,809100
2026-08-20 14:50:00,ATM-3,CE,1540.0,1606.0,72.15,73.95,69.9,69.9,26.350216,1450,809100
2026-08-20 14:55:00,ATM-3,CE,1540.0,1604.1,69.9,69.9,69.9,69.9,31.509232,0,808375
2026-08-20 15:00:00,ATM-3,CE,1540.0,1606.1,66.15,69.9,66.15,66.15,0.0,1450,808375
2026-08-20 15:05:00,ATM-3,CE,1540.0,1608.5,66.15,66.15,66.15,66.15,0.0,0,808375
2026-08-20 15:10:00,ATM-3,CE,1540.0,1609.3,66.15,73.85,51.7,73.85,29.570771,2900,807650
2026-08-20 15:15:00,ATM-3,CE,1540.0,1609.3,73.85,73.85,69.45,69.45,0.0,2900,806925
2026-08-20 15:20:00,ATM-3,CE,1540.0,1609.3,69.45,69.45,69.45,69.45,0.0,0,806925
2026-08-20 15:25:00,ATM-3,CE,1540.0,1603.6,69.45,69.45,69.45,69.45,31.563122,0,806925
2026-08-20 15:30:00,ATM-3,CE,1540.0,1603.6,69.45,69.45,69.45,69.45,31.577348,0,806200
2026-08-20 15:35:00,ATM-3,CE,1540.0,1603.6,69.45,69.45,67.55,67.55,25.966495,2900,804025
2026-08-21 09:15:00,ATM-3,CE,1560.0,1610.1,59.95,61.5,50.7,53.0,20.503945,26825,1041825
2026-08-21 09:20:00,ATM-3,CE,1560.0,1614.2,50.25,57.0,50.25,57.0,21.26591,10150,1040375
2026-08-21 09:25:00,ATM-3,CE,1560.0,1618.5,57.0,59.0,54.65,59.0,0.0,15950,1036750
2026-08-21 09:30:00,ATM-3,CE,1560.0,1619.6,57.2,60.8,57.2,59.0,0.0,24650,1037475
2026-08-21 09:35:00,ATM-3,CE,1560.0,1623.6,58.75,62.5,58.75,62.25,0.0,6525,1037475
2026-08-21 09:40:00,ATM-3,CE,1560.0,1623.1,62.45,64.7,61.45,63.6,0.0,18850,1040375
2026-08-21 09:45:00,ATM-3,CE,1560.0,1620.2,63.6,63.6,60.05,60.05,0.0,6525,1039650
2026-08-21 09:50:00,ATM-3,CE,1560.0,1625.0,60.5,65.65,60.05,65.45,0.0,13050,1038925
2026-08-21 09:55:00,ATM-3,CE,1560.0,1618.6,65.1,65.45,60.2,60.2,0.0,49300,1001225
2026-08-21 10:00:00,ATM-3,CE,1560.0,1619.1,60.2,61.4,60.2,61.4,19.848422,725,994700
2026-08-21 10:05:00,ATM-3,CE,1560.0,1617.7,61.4,62.5,60.2,60.2,20.805956,2175,994700
2026-08-21 10:10:00,ATM-3,CE,1560.0,1620.0,60.5,63.2,60.2,63.2,24.917509,14500,993975
2026-08-21 10:15:00,ATM-3,CE,1560.0,1620.5,63.2,63.9,63.2,63.9,25.899367,2175,994700
2026-08-21 10:20:00,ATM-3,CE,1560.0,1621.4,63.9,64.1,63.8,63.8,21.22674,2900,995425
2026-08-21 10:25:00,ATM-3,CE,1560.0,1621.7,63.8,63.8,62.95,62.95,0.0,1450,994700
2026-08-21 10:30:00,ATM-3,CE,1560.0,1620.1,61.15,62.95,61.15,61.15,0.0,725,993975
2026-08-21 10:35:00,ATM-3,CE,1560.0,1621.3,61.15,61.15,61.15,61.15,0.0,0,993250
2026-08-21 10:40:00,ATM-3,CE,1560.0,1621.5,61.15,61.15,61.15,61.15,0.0,0,993250
2026-08-21 10:45:00,ATM-3,CE,1560.0,1617.1,61.15,61.15,59.15,59.15,17.347768,4350,993250
2026-08-21 10:50:00,ATM-3,CE,1560.0,1616.6,58.45,59.65,58.45,59.65,23.383559,2175,991800
2026-08-21 10:55:00,ATM-3,CE,1560.0,1616.2,59.65,59.65,59.65,59.65,24.884644,0,991800
2026-08-21 11:00:00,ATM-3,CE,1560.0,1615.0,59.65,59.65,59.65,59.65,28.451184,0,991800
2026-08-21 11:05:00,ATM-3,CE,1560.0,1615.5,59.65,59.65,59.65,59.65,27.105786,0,991800
2026-08-21 11:10:00,ATM-3,CE,1560.0,1622.0,59.65,63.85,59.65,63.85,15.351549,5075,990350
2026-08-21 11:15:00,ATM-3,CE,1560.0,1618.9,63.85,63.85,63.85,63.85,30.719794,0,990350
2026-08-21 11:20:00,ATM-3,CE,1560.0,1622.0,63.85,63.85,62.55,63.75,0.0,2900,991800
