ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:30:00,ATM-3,CE,165.0,173.6,10.95,10.95,10.95,10.95,67.017551,0,1555700
2026-08-20 09:50:00,ATM-3,CE,165.0,173.62,10.0,10.0,10.0,10.0,51.37168,0,1551000
2026-08-20 10:35:00,ATM-3,CE,170.0,176.3,7.5,7.5,7.5,7.5,39.147874,0,2068000
2026-08-20 10:40:00,ATM-3,CE,170.0,176.27,7.5,7.5,7.5,7.5,39.550655,0,2068000
2026-08-21 09:30:00,ATM-3,CE,170.0,176.36,7.0,7.0,7.0,7.0,32.71061,0,1969300
2026-08-21 09:35:00,ATM-3,CE,170.0,176.5,7.0,7.0,6.5,6.5,0.0,0,1969300
2026-08-21 09:40:00,ATM-3,CE,170.0,176.91,6.5,6.5,6.5,6.5,0.0,0,1969300
2026-08-21 09:45:00,ATM-3,CE,170.0,176.26,6.5,6.5,6.5,6.5,18.599657,0,1969300
2026-08-21 14:20:00,ATM-3,CE,165.0,173.69,9.5,9.5,9.5,9.5,47.09333,0,1485200
2026-08-21 14:25:00,ATM-3,CE,165.0,173.68,9.5,9.5,9.5,9.5,47.327534,0,1485200
2026-08-21 14:30:00,ATM-3,CE,165.0,173.62,9.5,9.5,9.5,9.5,48.583939,0,1485200
2026-08-21 14:35:00,ATM-3,CE,165.0,173.41,9.5,9.5,9.5,9.5,52.572175,0,1485200
2026-08-21 14:40:00,ATM-3,CE,165.0,173.73,9.5,9.5,9.5,9.5,46.32684,0,1485200
2026-08-21 14:45:00,ATM-3,CE,165.0,173.75,9.5,9.5,9.5,9.5,45.909061,0,1485200
2026-08-21 14:50:00,ATM-3,CE,165.0,173.6,9.5,9.5,9.5,9.5,49.080137,0,1485200
2026-08-21 14:55:00,ATM-3,CE,165.0,173.68,9.5,9.5,9.5,9.5,47.469302,4700,1466400
2026-08-21 15:00:00,ATM-3,CE,165.0,173.66,9.5,9.5,8.25,9.0,32.532037,42300,1461700
2026-08-21 15:05:00,ATM-3,CE,165.0,173.48,9.0,9.0,9.0,9.0,38.650452,0,1461700
2026-08-21 15:25:00,ATM-3,CE,165.0,173.46,8.0,8.0,8.0,8.0,0.0,0,1461700
