ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:15:00,ATM-3,CE,1020.0,1048.0,30.5,31.15,29.3,29.3,0.0,9750,1726500
2026-08-20 09:20:00,ATM-3,CE,1020.0,1048.1,29.3,29.5,28.5,29.5,0.0,18000,1727250
2026-08-20 09:25:00,ATM-3,CE,1020.0,1050.1,29.85,31.7,29.5,31.55,0.0,13500,1725750
2026-08-20 09:30:00,ATM-3,CE,1020.0,1049.8,31.5,31.55,31.1,31.1,0.0,5250,1726500
2026-08-20 09:35:00,ATM-3,CE,1020.0,1049.0,31.3,31.3,30.7,30.7,13.573552,7500,1725750
2026-08-20 09:40:00,ATM-3,CE,1020.0,1050.2,30.3,31.15,30.0,31.15,0.0,14250,1722750
2026-08-20 09:45:00,ATM-3,CE,1020.0,1049.8,31.15,31.15,30.3,30.6,0.0,3750,1719750
2026-08-20 09:50:00,ATM-3,CE,1020.0,1050.6,30.6,30.6,30.6,30.6,0.0,0,1719000
2026-08-20 09:55:00,ATM-3,CE,1020.0,1050.0,30.6,31.7,30.6,31.0,0.0,18000,1710750
2026-08-20 10:00:00,ATM-3,CE,1020.0,1049.4,31.0,31.0,30.5,30.5,0.0,7500,1705500
2026-08-20 10:05:00,ATM-3,CE,1020.0,1049.6,30.5,30.6,30.35,30.6,0.0,12750,1698750
2026-08-20 10:10:00,ATM-3,CE,1020.0,1049.8,30.6,30.6,30.5,30.6,0.0,5250,1696500
2026-08-20 10:15:00,ATM-3,CE,1020.0,1049.3,30.65,30.65,30.6,30.65,0.0,3000,1696500
2026-08-20 10:20:00,ATM-3,CE,1020.0,1048.3,30.65,30.65,29.45,29.8,10.33114,5250,1695000
2026-08-20 10:25:00,ATM-3,CE,1020.0,1048.2,29.8,29.8,29.5,29.5,0.0,10500,1694250
2026-08-20 10:30:00,ATM-3,CE,1020.0,1048.4,29.5,29.75,29.5,29.75,0.0,750,1694250
2026-08-20 10:35:00,ATM-3,CE,1020.0,1048.5,30.2,30.2,29.75,30.2,13.561568,3000,1694250
2026-08-20 10:40:00,ATM-3,CE,1020.0,1049.9,30.05,31.1,30.05,31.1,0.0,13500,1692750
2026-08-20 10:45:00,ATM-3,CE,1020.0,1051.2,31.0,32.2,31.0,32.2,0.0,3000,1691250
2026-08-20 10:50:00,ATM-3,CE,1020.0,1050.4,32.2,32.2,32.0,32.0,13.094761,2250,1691250
2026-08-20 10:55:00,ATM-3,CE,1020.0,1050.8,32.0,32.0,32.0,32.0,0.0,0,1691250
2026-08-20 11:00:00,ATM-3,CE,1020.0,1050.8,32.0,32.0,32.0,32.0,0.0,0,1691250
2026-08-20 11:05:00,ATM-3,CE,1020.0,1049.8,32.0,32.0,32.0,32.0,17.734881,0,1691250
2026-08-20 11:10:00,ATM-3,CE,1020.0,1049.4,32.0,32.0,31.15,31.15,14.46568,2250,1690500
2026-08-20 11:15:00,ATM-3,CE,1020.0,1048.0,31.15,31.15,29.75,29.75,13.954544,750,1689750
2026-08-20 11:20:00,ATM-3,CE,1020.0,1047.6,29.95,29.95,29.4,29.45,14.625164,9000,1689000
2026-08-20 11:25:00,ATM-3,CE,1020.0,1047.5,29.3,29.45,29.0,29.0,10.480301,3000,1689000
2026-08-20 11:30:00,ATM-3,CE,1020.0,1048.0,29.0,30.5,29.0,30.5,18.537282,2250,1689750
2026-08-20 11:35:00,ATM-3,CE,1020.0,1048.0,30.5,30.5,30.05,30.05,16.165748,750,1689000
2026-08-20 11:40:00,ATM-3,CE,1020.0,1047.9,30.05,30.05,30.05,30.05,16.72185,0,1689000
2026-08-20 11:45:00,ATM-3,CE,1020.0,1048.0,30.05,30.75,30.05,30.75,19.687056,8250,1684500
2026-08-20 11:50:00,ATM-3,CE,1020.0,1046.8,30.75,30.75,30.75,30.75,23.533814,0,1683750
2026-08-20 11:55:00,ATM-3,CE,1020.0,1047.0,30.75,30.75,29.2,29.5,18.134034,3000,1683000
2026-08-20 12:00:00,ATM-3,CE,1020.0,1046.9,29.5,29.5,29.5,29.5,18.551006,0,1683000
2026-08-20 12:05:00,ATM-3,CE,1020.0,1047.0,29.5,29.5,29.5,29.5,18.154312,0,1683000
2026-08-20 12:10:00,ATM-3,CE,1020.0,1047.8,29.5,31.0,29.5,31.0,21.449451,750,1681500
2026-08-20 12:15:00,ATM-3,CE,1020.0,1047.8,30.8,31.0,30.8,30.8,20.683728,750,1681500
2026-08-20 12:20:00,ATM-3,CE,1020.0,1046.9,30.65,30.8,30.15,30.15,21.209758,6750,1679250
2026-08-20 12:25:00,ATM-3,CE,1020.0,1047.5,30.15,30.15,30.15,30.15,19.101696,0,1679250
2026-08-20 12:30:00,ATM-3,CE,1020.0,1047.0,30.15,30.15,30.15,30.15,20.904874,1500,1677750
2026-08-20 12:35:00,ATM-3,CE,1020.0,1047.6,30.15,30.15,30.15,30.15,18.720455,750,1678500
2026-08-20 12:40:00,ATM-3,CE,1020.0,1047.0,30.8,30.8,30.15,30.8,23.244916,1500,1678500
2026-08-20 12:45:00,ATM-3,CE,1020.0,1048.9,30.8,32.1,30.8,32.1,22.066266,3000,1675500
2026-08-20 12:50:00,ATM-3,CE,1020.0,1048.7,32.2,32.9,32.1,32.15,22.913614,5250,1674000
2026-08-20 12:55:00,ATM-3,CE,1020.0,1049.9,32.15,32.85,31.85,32.85,21.575609,10500,1671750
2026-08-20 13:00:00,ATM-3,CE,1020.0,1049.4,32.85,32.85,32.2,32.2,20.716941,18000,1671750
2026-08-20 13:05:00,ATM-3,CE,1020.0,1049.0,32.2,32.2,32.2,32.2,22.158511,750,1671750
2026-08-20 13:10:00,ATM-3,CE,1020.0,1049.7,32.2,32.2,32.2,32.2,19.517282,0,1671750
2026-08-20 13:15:00,ATM-3,CE,1020.0,1049.5,32.2,32.2,32.2,32.2,20.35917,0,1671750
2026-08-20 13:20:00,ATM-3,CE,1020.0,1049.7,32.2,32.7,32.2,32.7,21.739551,1500,1670250
2026-08-20 13:25:00,ATM-3,CE,1020.0,1050.0,32.6,32.7,32.05,32.05,17.243534,3000,1669500
2026-08-20 13:30:00,ATM-3,CE,1020.0,1050.2,32.05,32.7,32.05,32.7,19.786695,1500,1668750
2026-08-20 13:35:00,ATM-3,CE,1020.0,1049.4,32.7,32.8,32.05,32.05,20.131938,3000,1668000
2026-08-20 13:40:00,ATM-3,CE,1020.0,1049.7,32.05,32.4,31.85,31.85,17.75119,6750,1667250
2026-08-20 13:45:00,ATM-3,CE,1020.0,1050.3,31.85,32.95,31.85,32.95,20.569775,3000,1668750
2026-08-20 13:50:00,ATM-3,CE,1020.0,1050.0,32.95,32.95,32.5,32.5,19.740196,3000,1667250
2026-08-20 13:55:00,ATM-3,CE,1020.0,1049.8,32.5,32.5,32.4,32.4,20.131648,1500,1665750
2026-08-20 14:00:00,ATM-3,CE,1020.0,1049.4,32.4,32.4,31.8,31.8,19.001424,1500,1664250
2026-08-20 14:05:00,ATM-3,CE,1020.0,1048.5,31.8,31.8,30.4,30.6,17.00494,7500,1662750
