ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:15:00,ATM-3,CE,1060.0,1123.0,65.0,67.0,65.0,67.0,38.83725,1650,645975
2026-08-20 09:20:00,ATM-3,CE,1060.0,1130.0,67.0,71.1,67.0,71.1,0.0,2475,644325
2026-08-20 09:25:00,ATM-3,CE,1080.0,1132.8,50.35,57.55,50.35,57.55,36.56828,11550,462000
2026-08-20 09:30:00,ATM-3,CE,1080.0,1131.8,56.05,57.55,53.55,53.55,19.689491,8250,458700
2026-08-20 09:35:00,ATM-3,CE,1060.0,1129.9,75.4,75.4,53.45,75.4,47.790489,6600,641850
2026-08-20 09:40:00,ATM-3,CE,1080.0,1131.1,53.55,54.05,53.55,54.05,28.499208,7425,456225
2026-08-20 09:45:00,ATM-3,CE,1060.0,1128.6,53.5,75.4,53.5,75.4,51.719238,825,641850
2026-08-20 09:50:00,ATM-3,CE,1080.0,1131.5,75.4,75.4,50.4,51.75,0.0,4125,454575
2026-08-20 09:55:00,ATM-3,CE,1080.0,1133.7,51.75,54.55,51.75,54.55,0.0,1650,454575
2026-08-20 10:00:00,ATM-3,CE,1080.0,1133.0,54.55,55.1,53.1,54.5,0.0,5775,450450
2026-08-20 10:05:00,ATM-3,CE,1080.0,1130.3,54.0,54.5,53.3,53.3,28.499043,3300,447975
2026-08-20 10:10:00,ATM-3,CE,1080.0,1131.9,52.15,53.3,52.1,52.1,0.0,1650,447150
2026-08-20 10:15:00,ATM-3,CE,1080.0,1131.2,52.1,53.0,51.95,51.95,0.0,2475,449625
2026-08-20 10:20:00,ATM-3,CE,1080.0,1130.8,72.0,72.0,51.95,51.95,0.0,0,449625
2026-08-20 10:25:00,ATM-3,CE,1060.0,1130.0,51.9,72.0,51.2,72.0,29.570058,10725,625350
2026-08-20 10:30:00,ATM-3,CE,1060.0,1130.0,50.9,72.0,50.9,72.0,29.590229,0,625350
2026-08-20 10:35:00,ATM-3,CE,1080.0,1130.3,72.0,72.0,50.85,50.85,0.0,0,443850
2026-08-20 10:40:00,ATM-3,CE,1080.0,1131.4,50.85,72.0,50.85,50.85,0.0,0,443850
2026-08-20 10:45:00,ATM-3,CE,1080.0,1132.3,50.85,52.4,50.85,52.4,0.0,23925,441375
2026-08-20 10:50:00,ATM-3,CE,1080.0,1131.4,52.4,52.4,51.6,51.9,0.0,17325,438075
2026-08-20 10:55:00,ATM-3,CE,1080.0,1132.3,51.9,51.9,51.9,51.9,0.0,8250,438075
2026-08-20 11:00:00,ATM-3,CE,1080.0,1131.9,51.9,54.3,51.9,54.0,23.77551,4950,433950
2026-08-20 11:05:00,ATM-3,CE,1080.0,1132.0,54.0,54.0,53.2,53.2,0.0,1650,433950
2026-08-20 11:10:00,ATM-3,CE,1080.0,1131.5,53.2,53.2,52.65,52.65,0.0,825,432300
2026-08-20 11:15:00,ATM-3,CE,1080.0,1130.5,52.65,72.5,52.65,52.65,23.725096,0,432300
2026-08-20 11:20:00,ATM-3,CE,1080.0,1131.3,52.65,52.65,52.65,52.65,0.0,0,432300
2026-08-20 11:25:00,ATM-3,CE,1080.0,1131.3,52.65,52.65,52.65,52.65,0.0,0,432300
2026-08-20 11:30:00,ATM-3,CE,1080.0,1131.0,52.65,52.65,52.65,52.65,18.261023,0,432300
2026-08-20 11:35:00,ATM-3,CE,1080.0,1130.4,52.65,70.0,52.65,52.65,24.482286,0,433125
2026-08-20 11:40:00,ATM-3,CE,1060.0,1129.7,70.0,70.0,52.65,70.0,0.0,0,623700
2026-08-20 11:45:00,ATM-3,CE,1080.0,1130.2,52.65,70.0,50.9,50.9,0.0,7425,437250
2026-08-20 11:50:00,ATM-3,CE,1080.0,1130.6,70.0,70.0,50.9,50.9,0.0,0,437250
2026-08-20 11:55:00,ATM-3,CE,1080.0,1131.0,52.0,52.0,50.9,52.0,0.0,1650,436425
2026-08-20 12:00:00,ATM-3,CE,1080.0,1130.5,52.0,52.0,52.0,52.0,0.0,0,436425
2026-08-20 12:05:00,ATM-3,CE,1060.0,1128.4,52.0,69.75,52.0,69.75,0.0,0,621225
2026-08-20 12:10:00,ATM-3,CE,1060.0,1127.4,69.75,69.75,69.75,69.75,32.167187,0,621225
2026-08-20 12:15:00,ATM-3,CE,1060.0,1127.3,69.75,69.75,69.75,69.75,32.881991,0,621225
2026-08-20 12:20:00,ATM-3,CE,1060.0,1128.0,69.75,69.75,69.75,69.75,26.278301,0,621225
2026-08-20 12:25:00,ATM-3,CE,1060.0,1128.0,69.75,69.75,69.75,69.75,26.302446,0,621225
2026-08-20 12:30:00,ATM-3,CE,1060.0,1124.7,69.75,69.75,69.75,69.75,44.451648,0,621225
2026-08-20 12:35:00,ATM-3,CE,1060.0,1124.4,69.75,69.75,69.75,69.75,45.443524,0,621225
2026-08-20 12:40:00,ATM-3,CE,1060.0,1123.5,69.75,69.75,69.75,69.75,48.179086,0,621225
2026-08-20 12:45:00,ATM-3,CE,1060.0,1126.2,69.75,69.75,69.75,69.75,38.84479,0,621225
2026-08-20 12:50:00,ATM-3,CE,1060.0,1126.0,69.75,69.75,69.75,69.75,39.720301,0,621225
2026-08-20 12:55:00,ATM-3,CE,1060.0,1124.9,69.75,69.75,69.75,69.75,43.871093,0,621225
2026-08-20 13:00:00,ATM-3,CE,1060.0,1125.4,69.75,69.75,69.75,69.75,42.113564,0,621225
2026-08-20 13:05:00,ATM-3,CE,1060.0,1126.2,69.75,69.75,69.75,69.75,38.915193,0,621225
2026-08-20 13:10:00,ATM-3,CE,1060.0,1125.8,69.75,69.75,69.75,69.75,40.610002,0,621225
2026-08-20 13:15:00,ATM-3,CE,1060.0,1126.2,69.75,69.75,69.75,69.75,38.950481,0,621225
2026-08-20 13:20:00,ATM-3,CE,1060.0,1127.2,69.75,69.75,69.75,69.75,33.768746,0,621225
2026-08-20 13:25:00,ATM-3,CE,1060.0,1126.0,66.55,69.75,66.55,66.55,0.0,825,620400
2026-08-20 13:30:00,ATM-3,CE,1060.0,1126.0,66.55,66.55,66.55,66.55,0.0,0,620400
2026-08-20 13:35:00,ATM-3,CE,1060.0,1125.2,66.55,66.55,66.55,66.55,0.0,0,620400
2026-08-20 13:40:00,ATM-3,CE,1060.0,1125.3,66.55,66.55,66.55,66.55,0.0,0,620400
2026-08-20 13:45:00,ATM-3,CE,1060.0,1125.1,66.55,66.55,66.55,66.55,0.0,0,620400
2026-08-20 13:50:00,ATM-3,CE,1060.0,1125.0,66.55,66.55,66.55,66.55,21.609956,0,620400
2026-08-20 13:55:00,ATM-3,CE,1060.0,1125.0,66.55,66.55,66.55,66.55,21.651105,0,620400
2026-08-20 14:00:00,ATM-3,CE,1060.0,1124.8,66.55,66.55,66.55,66.55,25.750832,0,620400
2026-08-20 14:05:00,ATM-3,CE,1060.0,1124.6,66.55,66.55,66.55,66.55,28.125994,0,620400
2026-08-20 14:10:00,ATM-3,CE,1060.0,1124.0,66.55,66.55,66.55,66.55,32.747146,0,620400
2026-08-20 14:15:00,ATM-3,CE,1060.0,1124.5,66.55,66.55,63.3,63.3,0.0,825,620400
2026-08-20 14:20:00,ATM-3,CE,1060.0,1123.9,63.3,63.3,63.3,63.3,0.0,0,620400
2026-08-20 14:25:00,ATM-3,CE,1060.0,1124.8,63.3,63.3,63.3,63.3,0.0,0,620400
2026-08-20 14:30:00,ATM-3,CE,1060.0,1125.9,63.3,63.3,63.3,63.3,0.0,0,620400
2026-08-20 14:35:00,ATM-3,CE,1060.0,1125.8,63.3,63.3,63.3,63.3,0.0,0,620400
2026-08-20 14:40:00,ATM-3,CE,1060.0,1126.0,63.3,63.3,63.3,63.3,0.0,0,620400
2026-08-20 14:45:00,ATM-3,CE,1060.0,1126.0,63.3,63.3,63.3,63.3,0.0,0,620400
2026-08-20 14:50:00,ATM-3,CE,1060.0,1125.6,63.3,63.3,63.3,63.3,0.0,0,620400
2026-08-20 14:55:00,ATM-3,CE,1060.0,1125.9,63.3,63.3,63.3,63.3,0.0,0,620400
2026-08-20 15:00:00,ATM-3,CE,1060.0,1125.1,63.3,63.3,63.3,63.3,0.0,0,620400
2026-08-20 15:05:00,ATM-3,CE,1060.0,1120.8,63.3,63.3,63.3,63.3,31.396716,0,620400
2026-08-20 15:10:00,ATM-3,CE,1060.0,1121.7,63.3,63.3,62.25,62.25,0.0,825,620400
2026-08-20 15:15:00,ATM-3,CE,1060.0,1121.7,62.25,62.25,62.25,62.25,0.0,0,620400
2026-08-20 15:20:00,ATM-3,CE,1060.0,1121.7,62.25,62.25,62.25,62.25,0.0,0,620400
2026-08-20 15:25:00,ATM-3,CE,1060.0,1128.2,62.25,62.25,62.25,62.25,0.0,0,620400
2026-08-20 15:30:00,ATM-3,CE,1060.0,1128.2,62.25,62.25,58.2,58.2,0.0,8250,617925
2026-08-20 15:35:00,ATM-3,CE,1060.0,1128.2,58.2,58.2,58.2,58.2,0.0,0,617925
2026-08-21 09:35:00,ATM-3,CE,1080.0,1130.1,47.0,47.0,47.0,47.0,0.0,825,428175
2026-08-21 09:40:00,ATM-3,CE,1080.0,1130.1,47.0,49.8,47.0,49.8,0.0,825,427350
2026-08-21 09:45:00,ATM-3,CE,1080.0,1130.2,49.3,49.8,49.3,49.4,0.0,1650,427350
2026-08-21 10:00:00,ATM-3,CE,1080.0,1130.8,49.3,49.3,48.9,49.3,0.0,7425,423225
2026-08-21 10:15:00,ATM-3,CE,1060.0,1128.2,68.0,68.0,68.0,68.0,0.0,825,617100
2026-08-21 10:20:00,ATM-3,CE,1060.0,1128.5,68.0,68.0,68.0,68.0,0.0,0,617100
2026-08-21 10:25:00,ATM-3,CE,1060.0,1129.7,68.0,68.0,68.0,68.0,0.0,0,617100
2026-08-21 10:30:00,ATM-3,CE,1060.0,1128.6,68.0,68.0,68.0,68.0,0.0,0,617100
2026-08-21 10:35:00,ATM-3,CE,1060.0,1129.1,68.0,68.0,68.0,68.0,0.0,0,617100
