ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:15:00,ATM-3,CE,260.0,275.2,17.0,17.0,17.0,17.0,50.137465,1825,474500
2026-08-20 09:20:00,ATM-3,CE,260.0,274.4,17.0,17.0,17.0,17.0,57.699795,0,474500
2026-08-20 09:25:00,ATM-3,CE,265.0,277.75,17.0,18.15,13.9,13.9,35.968521,1825,286525
2026-08-20 09:30:00,ATM-3,CE,265.0,279.3,14.9,15.4,13.9,15.2,34.707575,18250,290175
2026-08-20 09:35:00,ATM-3,CE,265.0,282.3,15.9,19.55,12.4,18.75,48.557263,91250,282875
2026-08-20 09:40:00,ATM-3,CE,270.0,284.2,18.75,18.75,14.25,16.45,51.441895,173375,1553075
2026-08-20 09:45:00,ATM-3,CE,265.0,281.2,15.65,20.25,15.65,18.85,61.026611,12775,277400
2026-08-20 09:50:00,ATM-3,CE,265.0,279.9,18.85,18.85,16.85,16.85,50.490336,12775,271925
2026-08-20 09:55:00,ATM-3,CE,265.0,280.7,16.8,16.85,16.8,16.8,40.544119,5475,268275
2026-08-20 10:00:00,ATM-3,CE,265.0,280.3,16.8,17.5,16.8,17.5,54.238109,1825,268275
2026-08-20 10:05:00,ATM-3,CE,265.0,279.5,17.5,17.5,17.5,17.5,61.140154,0,268275
2026-08-20 10:10:00,ATM-3,CE,265.0,280.45,16.5,17.5,16.5,17.3,50.45402,21900,271925
2026-08-20 10:15:00,ATM-3,CE,265.0,281.2,17.3,17.65,16.85,17.65,46.706104,5475,268275
2026-08-20 10:20:00,ATM-3,CE,265.0,281.0,17.65,17.65,17.65,17.65,49.035062,0,268275
2026-08-20 10:25:00,ATM-3,CE,265.0,281.15,17.4,17.7,17.4,17.7,48.015894,7300,268275
2026-08-20 10:30:00,ATM-3,CE,265.0,280.7,17.7,17.7,17.7,17.7,52.836458,0,268275
2026-08-20 10:35:00,ATM-3,CE,265.0,281.15,17.7,17.7,17.5,17.5,45.274129,1825,266450
2026-08-20 10:40:00,ATM-3,CE,265.0,281.0,17.5,17.5,17.5,17.5,47.1166,0,266450
2026-08-20 10:45:00,ATM-3,CE,265.0,280.85,17.5,17.5,17.5,17.5,48.845072,0,266450
2026-08-20 10:50:00,ATM-3,CE,265.0,281.0,17.5,17.5,17.5,17.5,47.153895,0,266450
2026-08-20 10:55:00,ATM-3,CE,265.0,280.25,17.5,17.5,17.5,17.5,54.92872,0,266450
2026-08-20 11:00:00,ATM-3,CE,265.0,280.15,17.5,17.5,17.5,17.5,55.86556,0,266450
2026-08-20 11:05:00,ATM-3,CE,265.0,280.2,17.5,17.5,17.5,17.5,55.430916,0,266450
2026-08-20 11:10:00,ATM-3,CE,265.0,280.2,17.5,17.5,17.5,17.5,55.45173,0,266450
2026-08-20 11:15:00,ATM-3,CE,265.0,280.45,17.5,17.5,17.5,17.5,53.109092,0,266450
2026-08-20 11:20:00,ATM-3,CE,265.0,280.45,17.5,17.5,17.5,17.5,53.129307,0,266450
2026-08-20 11:25:00,ATM-3,CE,265.0,280.7,17.5,17.5,17.5,17.5,50.617552,0,266450
2026-08-20 11:30:00,ATM-3,CE,265.0,280.75,17.5,17.5,17.5,17.5,50.1065,0,266450
2026-08-20 11:35:00,ATM-3,CE,265.0,280.3,17.5,17.5,17.5,17.5,54.62732,0,266450
2026-08-20 11:40:00,ATM-3,CE,265.0,279.3,17.5,17.5,17.5,17.5,63.147752,0,264625
2026-08-20 11:45:00,ATM-3,CE,265.0,279.2,17.5,17.5,17.5,17.5,63.944077,0,264625
2026-08-20 11:50:00,ATM-3,CE,265.0,279.5,17.5,17.5,17.5,17.5,61.612235,0,264625
2026-08-20 11:55:00,ATM-3,CE,265.0,279.45,17.5,17.5,17.5,17.5,62.035109,0,264625
2026-08-20 12:00:00,ATM-3,CE,265.0,279.2,17.5,17.5,17.5,17.5,64.014357,0,264625
2026-08-20 12:05:00,ATM-3,CE,265.0,278.8,17.5,17.5,15.15,15.15,41.242998,7300,264625
2026-08-20 12:10:00,ATM-3,CE,265.0,279.6,15.15,15.15,15.15,15.15,27.785606,0,264625
