ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:50:00,ATM-3,CE,175.0,183.42,9.3,9.3,9.3,9.3,38.579471,0,860750
2026-08-20 09:55:00,ATM-3,CE,175.0,183.55,8.93,9.3,8.93,8.93,25.695153,2750,860750
2026-08-20 10:00:00,ATM-3,CE,175.0,183.4,8.93,8.93,8.93,8.93,30.387404,0,860750
2026-08-20 10:05:00,ATM-3,CE,175.0,183.6,8.93,8.93,8.93,8.93,23.447444,0,860750
2026-08-20 10:20:00,ATM-3,CE,177.5,184.8,7.43,7.43,7.43,7.43,0.0,2750,288750
2026-08-20 10:25:00,ATM-3,CE,177.5,185.05,7.43,7.71,7.43,7.71,0.0,2750,288750
2026-08-20 10:30:00,ATM-3,CE,177.5,185.42,7.71,7.71,7.71,7.71,0.0,0,286000
2026-08-20 10:35:00,ATM-3,CE,177.5,185.18,7.71,7.71,7.71,7.71,24.948288,0,286000
2026-08-20 10:40:00,ATM-3,CE,177.5,185.27,7.71,7.71,7.71,7.71,0.0,0,286000
2026-08-20 10:45:00,ATM-3,CE,177.5,185.33,7.71,7.71,7.71,7.71,0.0,0,286000
2026-08-20 10:50:00,ATM-3,CE,177.5,184.8,7.71,8.3,7.71,8.3,37.164501,5500,283250
2026-08-20 10:55:00,ATM-3,CE,177.5,184.74,8.3,8.3,7.83,7.89,30.021342,8250,280500
2026-08-20 11:00:00,ATM-3,CE,177.5,184.44,7.89,7.89,7.54,7.54,28.06832,5500,283250
2026-08-20 11:05:00,ATM-3,CE,177.5,184.45,7.54,7.54,7.54,7.54,27.870964,0,283250
2026-08-20 11:10:00,ATM-3,CE,177.5,184.14,7.54,7.54,7.54,7.54,33.39914,0,283250
2026-08-20 11:15:00,ATM-3,CE,177.5,183.9,7.26,7.54,7.16,7.16,30.029069,27500,277750
2026-08-20 11:20:00,ATM-3,CE,177.5,184.18,7.16,7.16,6.93,6.93,0.0,2750,272250
2026-08-20 11:25:00,ATM-3,CE,177.5,183.96,6.93,7.16,6.93,7.16,29.010565,5500,269500
2026-08-20 11:30:00,ATM-3,CE,177.5,183.95,7.16,7.16,7.16,7.16,29.201892,0,269500
2026-08-20 11:35:00,ATM-3,CE,177.5,183.85,7.16,7.16,7.16,7.16,30.90671,0,269500
2026-08-20 11:40:00,ATM-3,CE,175.0,183.65,7.16,10.64,6.95,10.64,58.551296,0,841500
2026-08-20 11:45:00,ATM-3,CE,175.0,183.73,10.64,10.64,10.64,10.64,57.625036,0,841500
2026-08-20 11:50:00,ATM-3,CE,177.5,183.76,10.64,10.64,6.84,6.84,25.88401,0,275000
2026-08-20 11:55:00,ATM-3,CE,175.0,183.65,6.84,9.4,6.84,9.4,36.857569,0,841500
2026-08-20 12:00:00,ATM-3,CE,177.5,183.76,9.4,9.4,6.84,6.84,25.908328,0,275000
2026-08-20 12:05:00,ATM-3,CE,177.5,183.78,6.92,9.4,6.84,6.92,27.32482,8250,272250
2026-08-20 12:10:00,ATM-3,CE,177.5,183.85,6.92,6.92,6.92,6.92,25.943147,0,272250
2026-08-20 12:15:00,ATM-3,CE,177.5,184.0,6.92,7.13,6.92,7.13,27.744251,11000,275000
2026-08-20 12:20:00,ATM-3,CE,177.5,183.78,7.13,7.13,7.03,7.03,29.646586,2750,280500
2026-08-20 12:25:00,ATM-3,CE,177.5,183.78,7.03,7.03,6.86,6.86,26.024035,11000,288750
2026-08-20 12:30:00,ATM-3,CE,175.0,183.7,6.86,9.4,6.86,9.4,35.95917,0,838750
2026-08-20 12:35:00,ATM-3,CE,177.5,183.87,6.87,6.93,6.87,6.93,25.820265,5500,288750
2026-08-20 12:40:00,ATM-3,CE,175.0,183.6,6.93,9.38,6.93,9.35,36.859622,2750,825000
2026-08-20 12:45:00,ATM-3,CE,177.5,183.9,6.93,6.93,6.93,6.93,25.188456,0,294250
2026-08-20 12:50:00,ATM-3,CE,177.5,183.84,6.93,6.96,6.93,6.93,26.482153,11000,291500
2026-08-20 12:55:00,ATM-3,CE,177.5,183.9,6.93,7.0,6.93,7.0,26.889992,8250,286000
2026-08-20 13:00:00,ATM-3,CE,175.0,183.75,7.0,9.45,7.0,9.45,36.189728,0,825000
2026-08-20 13:05:00,ATM-3,CE,175.0,183.7,9.45,9.45,6.9,9.45,37.217482,0,825000
2026-08-20 13:10:00,ATM-3,CE,175.0,183.57,9.45,9.45,9.45,9.45,39.653674,0,825000
2026-08-20 13:15:00,ATM-3,CE,175.0,183.56,9.45,9.45,9.45,9.45,39.845809,0,825000
2026-08-20 13:20:00,ATM-3,CE,177.5,183.84,9.45,9.45,6.9,6.9,25.850142,0,291500
2026-08-20 13:25:00,ATM-3,CE,175.0,183.59,9.45,9.45,9.12,9.12,31.470645,2750,797500
2026-08-20 13:30:00,ATM-3,CE,175.0,183.39,9.12,9.12,9.12,9.12,35.979521,0,797500
2026-08-20 13:35:00,ATM-3,CE,175.0,183.38,9.12,9.12,9.12,9.12,36.192133,0,797500
2026-08-20 13:40:00,ATM-3,CE,175.0,183.38,9.12,9.12,9.12,9.12,36.207731,0,797500
2026-08-20 13:45:00,ATM-3,CE,175.0,183.27,9.12,9.12,9.12,9.12,38.274661,0,797500
2026-08-20 13:50:00,ATM-3,CE,175.0,183.26,9.12,9.12,9.12,9.12,38.467835,0,797500
2026-08-20 13:55:00,ATM-3,CE,175.0,183.37,9.12,9.12,9.12,9.12,36.449835,0,797500
2026-08-20 14:00:00,ATM-3,CE,175.0,183.38,9.12,9.12,8.7,8.7,23.227642,8250,800250
2026-08-20 14:05:00,ATM-3,CE,175.0,183.52,8.7,8.7,8.7,8.7,0.0,0,800250
2026-08-20 14:10:00,ATM-3,CE,175.0,183.45,8.7,8.7,8.7,8.7,16.66174,0,800250
2026-08-20 14:15:00,ATM-3,CE,175.0,183.29,8.7,8.7,8.7,8.7,27.043074,0,800250
2026-08-20 14:20:00,ATM-3,CE,175.0,183.42,8.7,8.7,8.7,8.7,20.662216,0,800250
2026-08-20 14:25:00,ATM-3,CE,175.0,183.47,8.7,8.7,8.7,8.7,0.0,0,800250
2026-08-20 14:30:00,ATM-3,CE,175.0,183.38,8.7,8.7,8.7,8.7,23.328995,0,800250
2026-08-20 14:35:00,ATM-3,CE,175.0,183.46,8.7,8.7,8.7,8.7,0.0,0,800250
2026-08-20 14:40:00,ATM-3,CE,175.0,183.51,8.7,8.7,8.7,8.7,0.0,0,800250
2026-08-20 14:45:00,ATM-3,CE,175.0,183.58,8.7,8.7,8.7,8.7,0.0,0,800250
2026-08-20 14:50:00,ATM-3,CE,175.0,183.54,8.7,8.7,8.7,8.7,0.0,0,797500
2026-08-20 14:55:00,ATM-3,CE,175.0,183.54,8.7,8.7,8.7,8.7,0.0,0,797500
2026-08-20 15:00:00,ATM-3,CE,175.0,183.5,8.7,8.7,8.7,8.7,0.0,0,794750
2026-08-20 15:05:00,ATM-3,CE,175.0,183.17,8.98,8.98,8.7,8.98,37.400951,19250,786500
2026-08-20 15:10:00,ATM-3,CE,175.0,183.14,8.7,9.0,8.7,9.0,38.372831,5500,786500
2026-08-20 15:15:00,ATM-3,CE,175.0,183.14,8.9,9.0,8.9,8.9,36.267479,16500,786500
2026-08-20 15:20:00,ATM-3,CE,175.0,183.14,8.9,8.9,8.9,8.9,36.283181,0,786500
2026-08-20 15:25:00,ATM-3,CE,175.0,183.5,8.86,8.95,8.86,8.95,29.151844,5500,775500
2026-08-20 15:30:00,ATM-3,CE,175.0,183.5,8.95,8.95,8.95,8.95,29.167034,0,775500
2026-08-20 15:35:00,ATM-3,CE,175.0,183.5,8.95,8.95,8.95,8.95,29.182242,0,775500
2026-08-21 09:30:00,ATM-3,CE,177.5,184.37,6.36,6.36,6.36,6.36,45.72703,0,247500
2026-08-21 09:35:00,ATM-3,CE,177.5,184.4,6.36,6.36,6.36,6.36,0.0,0,247500
2026-08-21 09:40:00,ATM-3,CE,177.5,184.7,6.36,7.61,6.36,7.61,27.428321,13750,247500
2026-08-21 09:45:00,ATM-3,CE,177.5,184.31,7.61,7.61,7.23,7.23,26.704294,11000,253000
2026-08-21 09:50:00,ATM-3,CE,177.5,184.16,7.16,7.23,7.16,7.16,28.651806,2750,258500
2026-08-21 09:55:00,ATM-3,CE,177.5,184.19,7.16,7.16,7.16,7.16,27.911279,0,258500
2026-08-21 10:00:00,ATM-3,CE,177.5,183.97,7.16,7.16,7.16,7.16,32.760662,0,258500
2026-08-21 10:05:00,ATM-3,CE,177.5,184.05,7.16,7.16,7.16,7.16,31.180294,0,253000
2026-08-21 10:10:00,ATM-3,CE,177.5,183.94,7.16,7.16,6.76,6.76,22.175685,16500,247500
2026-08-21 10:15:00,ATM-3,CE,177.5,183.93,6.76,6.76,6.66,6.73,21.276884,16500,244750
2026-08-21 10:20:00,ATM-3,CE,175.0,183.73,9.1,9.45,6.6,9.1,30.635699,5500,761750
2026-08-21 10:25:00,ATM-3,CE,177.5,184.18,6.64,7.09,6.6,7.09,26.150136,8250,242000
2026-08-21 10:30:00,ATM-3,CE,177.5,184.02,7.09,7.5,7.04,7.04,28.905188,8250,242000
2026-08-21 10:35:00,ATM-3,CE,177.5,184.05,7.04,7.04,7.04,7.04,28.196811,0,242000
2026-08-21 10:40:00,ATM-3,CE,177.5,183.9,6.9,7.04,6.89,6.89,27.772341,8250,242000
2026-08-21 10:45:00,ATM-3,CE,177.5,184.07,6.89,6.89,6.83,6.83,19.551076,5500,233750
2026-08-21 10:50:00,ATM-3,CE,177.5,183.9,6.83,6.83,6.83,6.83,26.071935,0,233750
2026-08-21 10:55:00,ATM-3,CE,177.5,183.93,6.83,6.85,6.83,6.85,25.864145,13750,228250
2026-08-21 11:00:00,ATM-3,CE,177.5,183.79,6.85,6.85,6.85,6.85,29.333074,0,228250
2026-08-21 11:05:00,ATM-3,CE,175.0,183.71,9.4,9.4,9.4,9.4,40.57299,0,761750
2026-08-21 11:10:00,ATM-3,CE,175.0,183.75,6.85,9.4,6.85,9.4,39.691495,0,759000
2026-08-21 11:15:00,ATM-3,CE,175.0,183.6,9.4,9.4,9.4,9.4,42.921152,0,759000
2026-08-21 11:20:00,ATM-3,CE,175.0,183.6,9.4,9.4,9.4,9.4,42.942269,0,759000
2026-08-21 11:25:00,ATM-3,CE,177.5,183.91,9.2,9.4,6.6,6.6,0.0,5500,233750
2026-08-21 11:30:00,ATM-3,CE,175.0,183.61,9.2,9.2,9.2,9.2,37.747324,0,756250
2026-08-21 11:35:00,ATM-3,CE,175.0,183.28,9.2,9.2,9.2,9.2,44.639101,0,756250
2026-08-21 11:40:00,ATM-3,CE,175.0,183.06,9.2,9.2,9.2,9.2,48.407388,0,756250
2026-08-21 11:45:00,ATM-3,CE,175.0,182.92,9.2,9.2,9.2,9.2,50.608308,0,756250
2026-08-21 11:50:00,ATM-3,CE,175.0,182.6,9.2,9.2,9.2,9.2,55.189048,0,753500
2026-08-21 11:55:00,ATM-3,CE,175.0,182.76,9.2,9.2,9.2,9.2,52.998666,0,753500
2026-08-21 12:00:00,ATM-3,CE,175.0,182.89,9.2,9.2,9.2,9.2,51.129703,0,753500
2026-08-21 12:05:00,ATM-3,CE,175.0,182.91,9.2,9.2,9.2,9.2,50.853702,0,753500
2026-08-21 12:10:00,ATM-3,CE,175.0,182.66,9.2,9.2,9.2,9.2,54.471852,0,753500
2026-08-21 12:15:00,ATM-3,CE,175.0,182.77,9.2,9.2,9.2,9.2,52.954142,0,753500
2026-08-21 12:20:00,ATM-3,CE,175.0,182.63,9.2,9.2,8.05,8.05,29.97884,19250,742500
2026-08-21 12:25:00,ATM-3,CE,175.0,182.6,8.05,8.05,8.05,8.05,30.895937,0,742500
2026-08-21 12:30:00,ATM-3,CE,175.0,182.51,7.95,8.05,7.95,7.95,30.337185,2750,742500
2026-08-21 12:35:00,ATM-3,CE,175.0,182.49,7.95,7.95,7.95,7.95,30.931122,0,742500
2026-08-21 12:40:00,ATM-3,CE,175.0,182.35,7.95,7.95,7.95,7.95,34.462509,0,742500
2026-08-21 12:45:00,ATM-3,CE,175.0,182.54,7.95,7.95,7.95,7.95,29.47545,0,742500
2026-08-21 12:50:00,ATM-3,CE,175.0,182.65,7.95,7.95,7.95,7.95,25.305876,0,742500
2026-08-21 12:55:00,ATM-3,CE,175.0,182.64,7.95,7.95,7.95,7.95,25.788755,0,742500
2026-08-21 13:00:00,ATM-3,CE,175.0,182.66,7.95,7.95,7.95,7.95,24.851728,0,742500
2026-08-21 13:05:00,ATM-3,CE,175.0,182.72,8.0,8.0,7.95,8.0,24.468559,2750,739750
2026-08-21 13:10:00,ATM-3,CE,175.0,182.84,8.15,8.15,8.0,8.15,26.350011,2750,739750
2026-08-21 13:15:00,ATM-3,CE,175.0,183.02,8.3,8.3,8.15,8.3,25.233522,2750,739750
2026-08-21 13:20:00,ATM-3,CE,175.0,182.77,8.3,8.3,8.3,8.3,33.994072,0,739750
