ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:15:00,ATM-3,CE,2240.0,2304.3,48.0,76.1,48.0,71.95,22.865865,9000,108900
2026-08-20 09:20:00,ATM-3,CE,2240.0,2304.0,72.4,73.4,71.05,72.35,23.932819,5175,109125
2026-08-20 09:25:00,ATM-3,CE,2240.0,2302.5,72.35,73.8,72.35,73.8,27.82249,225,109125
2026-08-20 09:30:00,ATM-3,CE,2260.0,2311.7,71.0,74.9,58.4,60.8,21.891476,9000,130275
2026-08-20 09:35:00,ATM-3,CE,2260.0,2312.0,63.0,66.95,60.8,62.0,23.201904,17100,122175
2026-08-20 09:40:00,ATM-3,CE,2260.0,2312.0,62.95,64.0,62.0,62.5,23.87264,3825,121500
2026-08-20 09:45:00,ATM-3,CE,2240.0,2309.8,62.6,80.6,60.5,78.25,25.480934,4950,99675
2026-08-20 09:50:00,ATM-3,CE,2240.0,2307.6,76.1,78.25,74.65,74.65,22.643863,900,99450
2026-08-20 09:55:00,ATM-3,CE,2240.0,2306.5,76.55,76.65,74.65,75.95,26.271075,1350,99000
2026-08-20 10:00:00,ATM-3,CE,2260.0,2310.9,76.55,77.35,60.1,61.05,23.172519,1800,115875
2026-08-20 10:05:00,ATM-3,CE,2260.0,2312.3,63.0,63.5,61.05,63.0,24.261425,3375,115650
2026-08-20 10:10:00,ATM-3,CE,2260.0,2310.5,62.45,79.0,58.95,60.15,22.424089,1800,115650
2026-08-20 10:15:00,ATM-3,CE,2240.0,2310.0,61.4,77.1,60.15,77.1,23.311346,900,96525
2026-08-20 10:20:00,ATM-3,CE,2240.0,2309.8,77.1,77.45,77.1,77.45,24.240016,450,96300
2026-08-20 10:25:00,ATM-3,CE,2240.0,2308.2,76.05,77.45,76.05,76.4,24.802826,1125,96075
2026-08-20 10:30:00,ATM-3,CE,2240.0,2309.2,76.4,77.55,59.9,77.55,25.285084,2925,95175
2026-08-20 10:35:00,ATM-3,CE,2240.0,2306.8,77.55,77.55,75.4,75.4,25.138367,900,95175
