ts,offset,side,strike,spot,open,high,low,close,iv,volume,oi
2026-08-20 09:15:00,ATM-3,CE,4950.0,5078.1,125.0,129.95,123.9,126.1,0.0,3150,152075
2026-08-20 09:20:00,ATM-3,CE,4950.0,5086.0,130.0,133.25,126.1,130.6,0.0,2100,151900
2026-08-20 09:25:00,ATM-3,CE,4950.0,5102.5,134.9,145.5,130.6,145.5,0.0,6300,149800
2026-08-20 09:30:00,ATM-3,CE,4950.0,5097.4,145.75,145.75,140.2,140.2,0.0,4550,149275
2026-08-20 09:35:00,ATM-3,CE,4950.0,5096.9,139.45,143.55,139.45,143.55,0.0,700,149625
2026-08-20 09:40:00,ATM-3,CE,4950.0,5097.4,143.55,143.55,139.0,142.85,0.0,1225,148750
2026-08-20 09:45:00,ATM-3,CE,4950.0,5092.8,142.85,144.15,140.85,140.85,0.0,1400,147525
2026-08-20 09:50:00,ATM-3,CE,4950.0,5090.5,140.85,140.85,133.4,133.4,0.0,1750,147700
2026-08-20 09:55:00,ATM-3,CE,4950.0,5089.0,139.55,139.55,133.4,135.4,0.0,875,147700
2026-08-20 10:00:00,ATM-3,CE,4950.0,5088.6,135.4,135.65,132.35,132.35,0.0,700,147700
2026-08-20 10:05:00,ATM-3,CE,4950.0,5090.0,133.3,138.15,132.35,135.65,0.0,1750,147000
2026-08-20 10:10:00,ATM-3,CE,4950.0,5097.5,139.6,140.75,135.65,140.75,0.0,2100,147525
2026-08-20 10:15:00,ATM-3,CE,4950.0,5097.9,142.6,142.6,140.75,141.45,0.0,875,147700
2026-08-20 10:20:00,ATM-3,CE,4950.0,5095.0,141.45,141.45,138.9,138.9,0.0,175,147175
2026-08-20 10:25:00,ATM-3,CE,4950.0,5099.0,134.0,139.35,134.0,138.7,0.0,1400,146300
2026-08-20 10:30:00,ATM-3,CE,4950.0,5106.9,138.7,150.0,138.7,150.0,0.0,875,146125
2026-08-20 10:35:00,ATM-3,CE,4950.0,5103.5,149.7,150.0,148.45,148.45,0.0,350,146125
2026-08-20 10:40:00,ATM-3,CE,4950.0,5104.0,148.45,149.0,148.45,149.0,0.0,175,146125
2026-08-20 10:45:00,ATM-3,CE,4950.0,5105.8,149.0,149.0,145.85,145.85,0.0,525,146300
2026-08-20 10:50:00,ATM-3,CE,4950.0,5105.0,145.85,145.85,145.05,145.05,0.0,350,146300
2026-08-20 10:55:00,ATM-3,CE,4950.0,5103.0,145.05,148.3,145.05,148.3,0.0,175,146650
2026-08-20 11:00:00,ATM-3,CE,4950.0,5110.0,148.3,152.15,148.3,152.0,0.0,350,146825
2026-08-20 11:05:00,ATM-3,CE,4950.0,5098.4,152.0,152.0,151.0,151.0,0.0,525,146650
