symbol,date,cas_close
HDFCBANK,2026-08-25,727.5
BSE,2026-08-25,3303.0
RELIANCE,2026-08-25,1317.0
ICICIBANK,2026-08-25,1422.7
BHARTIARTL,2026-08-25,1947.0
SBIN,2026-08-25,1048.0
INFY,2026-08-25,1144.0
LICI,2026-08-25,424.0
MCX,2026-08-25,3280.0
PAYTM,2026-08-25,1718.0
KALYANKJIL,2026-08-25,612.6
ETERNAL,2026-08-25,331.0
BAJFINANCE,2026-08-25,1087.4
ATHERENERG,2026-08-25,1439.4
TCS,2026-08-25,2296.2
IDEA,2026-08-25,15.19
M&M,2026-08-25,3443.0
HAL,2026-08-25,4900.0
AXISBANK,2026-08-25,1235.0
LT,2026-08-25,4119.0
DIXON,2026-08-25,14990.0
HINDALCO,2026-08-25,1051.05
KAYNES,2026-08-25,3936.0
MUTHOOTFIN,2026-08-25,3201.0
POWERINDIA,2026-08-25,33300.0
MARUTI,2026-08-25,13678.0
SHRIRAMFIN,2026-08-25,1138.5
TITAN,2026-08-25,5124.8
TECHM,2026-08-25,1599.9
SWIGGY,2026-08-25,287.4
BEL,2026-08-25,413.25
TATASTEEL,2026-08-25,186.94
GVT&D,2026-08-25,4185.0
DIVISLAB,2026-08-25,8744.5
JIOFIN,2026-08-25,243.15
HINDZINC,2026-08-25,592.6
GRASIM,2026-08-25,3289.6
APOLLOHOSP,2026-08-25,8889.0
ITC,2026-08-25,271.4
HEROMOTOCO,2026-08-25,5624.5
KOTAKBANK,2026-08-25,401.6
SAIL,2026-08-25,184.59
NATIONALUM,2026-08-25,397.8
MOTHERSON,2026-08-25,166.45
TVSMOTOR,2026-08-25,4420.0
COFORGE,2026-08-25,1892.8
VEDL,2026-08-25,275.0
SUNPHARMA,2026-08-25,1922.0
TMPV,2026-08-25,314.25
PFC,2026-08-25,367.0
ADANIENSOL,2026-08-25,1594.5
TRENT,2026-08-25,2930.0
ASHOKLEY,2026-08-25,174.69
KEI,2026-08-25,5588.0
LAURUSLABS,2026-08-25,1866.2
EICHERMOT,2026-08-25,8055.0
BHEL,2026-08-25,417.0
ADANIENT,2026-08-25,3110.0
ONGC,2026-08-25,234.0
SOLARINDS,2026-08-25,19800.0
NESTLEIND,2026-08-25,1479.0
MANAPPURAM,2026-08-25,367.45
ADANIPOWER,2026-08-25,206.33
BHARATFORG,2026-08-25,2052.5
NTPC,2026-08-25,339.85
BDL,2026-08-25,1359.9
ADANIPORTS,2026-08-25,1702.7
GODREJCP,2026-08-25,929.2
INDIGO,2026-08-25,5218.0
BAJAJ-AUTO,2026-08-25,11927.0
CUMMINSIND,2026-08-25,5239.5
NAUKRI,2026-08-25,1350.0
LUPIN,2026-08-25,2175.5
PERSISTENT,2026-08-25,5655.0
AMBER,2026-08-25,7432.0
MAZDOCK,2026-08-25,2610.0
COALINDIA,2026-08-25,404.0
HCLTECH,2026-08-25,1315.8
ULTRACEMCO,2026-08-25,11540.0
BAJAJFINSV,2026-08-25,2004.0
POWERGRID,2026-08-25,271.0
BOSCHLTD,2026-08-25,48680.0
HINDUNILVR,2026-08-25,2024.2
DLF,2026-08-25,682.95
JSWSTEEL,2026-08-25,1320.3
POLYCAB,2026-08-25,9098.0
NYKAA,2026-08-25,334.0
HINDPETRO,2026-08-25,373.2
POLICYBZR,2026-08-25,1798.3
OFSS,2026-08-25,11729.0
UNIONBANK,2026-08-25,186.98
LTM,2026-08-25,4528.0
DRREDDY,2026-08-25,1193.5
RECLTD,2026-08-25,326.0
SUZLON,2026-08-25,46.75
CHOLAFIN,2026-08-25,1873.0
MAXHEALTH,2026-08-25,1016.0
JUBLFOOD,2026-08-25,515.0
ADANIGREEN,2026-08-25,1330.0
CGPOWER,2026-08-25,878.5
