symbol,security_id,days,mean_turnover_cr,close_25aug,prev_close_24aug
HDFCBANK,1333,17,1804.18,727.5,729.0
BSE,19585,17,1615.26,3303.0,3312.7
RELIANCE,2885,17,1356.7,1317.0,1309.8
ICICIBANK,4963,17,1342.58,1422.7,1415.0
BHARTIARTL,10604,17,1271.96,1947.0,1935.0
SBIN,3045,17,1140.68,1048.0,1039.5
INFY,1594,17,935.58,1144.0,1130.0
LICI,9480,17,918.94,424.0,421.85
MCX,31181,17,901.17,3280.0,3268.0
PAYTM,6705,17,880.99,1718.0,1623.5
KALYANKJIL,2955,17,839.15,612.6,607.95
ETERNAL,5097,17,744.93,331.0,327.15
BAJFINANCE,317,17,674.97,1087.4,1077.0
ATHERENERG,757645,17,665.76,1439.4,1453.1
TCS,11536,17,661.15,2296.2,2284.1
IDEA,14366,17,648.98,15.19,14.07
M&M,2031,17,635.34,3443.0,3414.1
HAL,2303,17,613.09,4900.0,4906.0
AXISBANK,5900,17,600.0,1235.0,1236.0
LT,11483,17,584.36,4119.0,4090.0
DIXON,21690,17,572.27,14990.0,14570.0
HINDALCO,1363,17,523.26,1051.05,1058.5
KAYNES,12092,17,501.58,3936.0,3840.2
MUTHOOTFIN,23650,17,472.23,3201.0,3209.0
POWERINDIA,18457,17,456.08,33300.0,33840.0
MARUTI,10999,17,454.5,13678.0,13620.0
SHRIRAMFIN,4306,17,450.65,1138.5,1119.0
TITAN,3506,17,449.78,5124.8,5079.0
TECHM,13538,17,431.13,1599.9,1584.0
SWIGGY,27066,17,427.99,287.4,284.25
BEL,383,17,423.68,413.25,409.0
TATASTEEL,3499,17,422.69,186.94,186.3
GVT&D,16783,17,405.48,4185.0,4177.9
DIVISLAB,10940,17,397.0,8744.5,8496.0
JIOFIN,18143,17,396.0,243.15,242.0
HINDZINC,1424,17,395.48,592.6,604.0
GRASIM,1232,17,392.27,3289.6,3288.0
APOLLOHOSP,157,17,390.38,8889.0,8702.0
ITC,1660,17,388.08,271.4,269.7
HEROMOTOCO,1348,17,386.42,5624.5,5685.0
KOTAKBANK,1922,17,379.43,401.6,401.45
SAIL,2963,17,374.57,184.59,179.65
NATIONALUM,6364,17,369.39,397.8,403.3
MOTHERSON,4204,17,362.45,166.45,169.0
TVSMOTOR,8479,17,361.54,4420.0,4363.5
COFORGE,11543,17,358.24,1892.8,1873.0
VEDL,3063,17,357.07,275.0,277.0
SUNPHARMA,3351,17,346.9,1922.0,1910.0
TMPV,3456,17,343.07,314.25,314.4
PFC,14299,17,341.72,367.0,364.0
ADANIENSOL,10217,17,340.94,1594.5,1555.1
TRENT,1964,17,331.95,2930.0,2905.0
ASHOKLEY,212,17,328.67,174.69,173.29
KEI,13310,17,322.08,5588.0,5494.0
LAURUSLABS,19234,17,316.79,1866.2,1801.0
EICHERMOT,910,17,314.67,8055.0,8047.0
BHEL,438,17,313.26,417.0,411.4
ADANIENT,25,17,312.75,3110.0,2998.6
ONGC,2475,17,310.09,234.0,236.55
SOLARINDS,13332,17,295.63,19800.0,19925.0
NESTLEIND,17963,17,291.27,1479.0,1471.3
MANAPPURAM,19061,17,290.05,367.45,365.05
ADANIPOWER,17388,17,285.41,206.33,203.7
BHARATFORG,422,17,284.9,2052.5,2041.0
NTPC,11630,17,283.93,339.85,339.5
BDL,2144,17,283.64,1359.9,1368.0
ADANIPORTS,15083,17,276.84,1702.7,1672.1
GODREJCP,10099,17,274.17,929.2,928.9
INDIGO,11195,17,271.79,5218.0,5115.0
BAJAJ-AUTO,16669,17,269.48,11927.0,11800.0
CUMMINSIND,1901,17,268.71,5239.5,5190.0
NAUKRI,13751,17,268.5,1350.0,1349.0
LUPIN,10440,17,261.27,2175.5,2188.0
PERSISTENT,18365,17,258.74,5655.0,5694.0
AMBER,1185,17,257.75,7432.0,7378.0
MAZDOCK,509,17,251.46,2610.0,2540.0
COALINDIA,20374,17,249.64,404.0,406.9
HCLTECH,7229,17,249.38,1315.8,1322.0
ULTRACEMCO,11532,17,246.64,11540.0,11504.0
BAJAJFINSV,16675,17,245.95,2004.0,2001.7
POWERGRID,14977,17,239.94,271.0,271.4
BOSCHLTD,2181,17,239.15,48680.0,48100.0
HINDUNILVR,1394,17,231.16,2024.2,2030.0
DLF,14732,17,224.65,682.95,689.0
JSWSTEEL,11723,17,223.81,1320.3,1327.0
POLYCAB,9590,17,223.72,9098.0,9054.0
NYKAA,6545,17,223.63,334.0,330.3
HINDPETRO,1406,17,222.91,373.2,371.95
POLICYBZR,6656,17,220.35,1798.3,1785.0
OFSS,10738,17,219.03,11729.0,11518.0
UNIONBANK,10753,17,217.77,186.98,183.6
LTM,17818,17,217.65,4528.0,4525.7
DRREDDY,881,17,215.33,1193.5,1190.0
RECLTD,15355,17,213.53,326.0,327.9
SUZLON,12018,17,212.25,46.75,47.05
CHOLAFIN,685,17,206.49,1873.0,1846.7
MAXHEALTH,22377,17,206.32,1016.0,990.5
JUBLFOOD,18096,17,204.02,515.0,507.9
ADANIGREEN,3563,17,201.05,1330.0,1308.0
CGPOWER,760,17,200.93,878.5,877.5
VMM,27969,17,200.9,112.5,113.5
TORNTPHARM,3518,17,200.02,4932.0,4886.5
BRITANNIA,547,17,199.97,5382.5,5311.0
AUBANK,21238,17,199.31,1128.6,1114.0
HDFCAMC,4244,17,198.51,2698.0,2618.0
CANBK,10794,17,197.24,128.81,127.3
BANKBARODA,4668,17,197.15,241.0,241.5
ABB,13,17,196.67,7627.0,7504.0
ZYDUSLIFE,7929,17,196.6,1124.5,1103.8
SIEMENS,3150,17,194.4,4090.5,4114.0
INDUSTOWER,29135,17,191.21,387.25,374.25
ASIANPAINT,236,17,191.03,2639.8,2640.8
GAIL,4717,17,184.77,175.5,173.75
SONACOMS,4684,17,179.58,808.8,813.5
PIDILITIND,2664,17,174.4,1651.1,1660.0
AUROPHARMA,275,17,171.77,1617.8,1608.0
CDSL,21174,17,170.55,1394.8,1385.1
HDFCLIFE,467,17,169.31,546.7,552.95
NMDC,15332,17,168.74,85.94,85.9
ASTRAL,14418,17,168.25,1540.0,1532.8
COCHINSHIP,21508,17,164.45,1518.5,1514.0
FEDERALBNK,1023,17,163.36,346.95,357.75
ABCAPITAL,21614,17,159.22,410.85,412.9
BPCL,526,17,157.55,318.1,311.9
FORTIS,14592,17,157.36,923.95,918.0
PNB,10666,17,154.89,115.93,115.86
SBILIFE,21808,17,154.72,1755.0,1761.8
TIINDIA,312,17,154.71,2888.0,2880.0
DELHIVERY,9599,17,154.6,447.95,444.75
LTF,24948,17,153.63,319.5,315.85
VBL,18921,17,152.73,438.0,428.0
LODHA,3220,17,152.13,1281.1,1258.4
APLAPOLLO,25780,17,151.0,2139.3,2145.0
RADICO,10990,17,150.03,4630.0,4600.0
HYUNDAI,25844,17,148.79,2232.5,2207.0
OIL,17438,17,148.43,467.5,477.0
TATAPOWER,3426,17,146.71,370.6,373.5
BIOCON,11373,17,146.09,417.2,409.4
FORCEMOT,11573,17,143.68,17431.0,17600.0
WIPRO,3787,17,143.19,180.09,181.31
TATACONSUM,3432,17,142.92,1060.5,1062.5
DMART,19913,17,141.89,3909.6,3940.0
PNBHOUSING,18908,17,138.6,1182.0,1165.0
PGEL,25358,17,135.67,594.35,597.0
NAM-INDIA,357,17,135.19,1224.4,1247.8
ANGELONE,324,17,134.42,300.9,286.0
BANDHANBNK,2263,17,133.03,173.5,173.9
ICICIGI,21770,17,131.88,1616.0,1620.0
PAGEIND,14413,17,130.59,35500.0,35560.0
MFSL,2142,17,129.99,1592.5,1569.8
UPL,11287,17,129.23,585.0,571.9
AMBUJACEM,1270,17,126.11,413.1,408.75
VOLTAS,3718,17,125.59,1243.0,1242.0
PATANJALI,17029,17,125.2,350.9,350.0
WAAREEENER,25907,17,124.34,2655.0,2674.8
MARICO,4067,17,122.72,847.5,846.1
