symbol,liq_rank,mean_turnover_cr,typical_abs_eod_move,n_base_days,jun30_preCAS_lasthr_pct,jun30_preCAS_spike_pct,jun30_preCAS_z,jul28_preCAS_lasthr_pct,jul28_preCAS_spike_pct,jul28_preCAS_z,aug25_CAS_lasthr_pct,aug25_CAS_spike_pct,aug25_CAS_z
HDFCBANK,1,1804.18,0.05,58,-0.24,0.37,4.3,-0.52,0.31,3.5,0.08,0.48,5.9
BSE,2,1615.26,0.071,58,-0.65,0.24,1.6,-0.05,0.09,0.2,0.05,0.24,1.6
RELIANCE,3,1356.7,0.091,58,0.15,-0.02,-0.5,-0.2,0.26,1.2,0.64,0.33,1.7
ICICIBANK,4,1342.58,0.043,58,0.63,0.31,4.3,0.23,-0.62,9.2,0.04,0.13,1.4
BHARTIARTL,5,1271.96,0.055,58,-0.65,0.25,2.4,0.31,0.21,1.9,0.48,0.16,1.3
SBIN,6,1140.68,0.068,58,-0.25,0.24,1.8,-0.26,0.35,2.8,0.36,0.38,3.1
INFY,7,935.58,0.068,58,-0.3,0.54,4.6,-0.04,-0.27,2.0,0.77,1.1,10.1
LICI,8,918.94,0.067,58,-0.29,0.39,3.3,0.0,0.2,1.3,-0.36,0.71,6.5
MCX,9,901.17,0.082,58,-0.19,0.2,1.0,-0.12,0.59,4.2,0.2,0.11,0.2
PAYTM,10,880.99,0.121,58,-0.22,0.73,3.4,0.39,0.13,0.1,0.45,0.56,2.4
KALYANKJIL,11,839.15,0.096,58,-0.3,0.43,2.3,0.95,0.13,0.3,0.44,-0.07,-0.2
ETERNAL,12,744.93,0.075,58,0.17,0.28,1.9,0.67,-0.06,-0.1,-0.03,0.42,3.1
BAJFINANCE,13,674.97,0.079,58,0.23,0.09,0.1,-0.08,0.24,1.4,0.26,0.5,3.6
ATHERENERG,14,665.76,0.231,58,-0.04,-2.75,10.5,-0.07,0.41,0.7,-0.23,-0.01,-0.9
TCS,15,661.15,0.07,58,0.31,-0.1,0.3,-0.2,0.0,-0.7,0.44,0.36,2.8
IDEA,16,648.98,0.152,58,-0.76,0.0,-0.7,0.54,-0.46,1.4,-0.2,0.0,-0.7
M&M,17,635.34,0.064,58,-0.73,0.26,2.1,-0.3,0.11,0.5,0.53,0.09,0.2
HAL,18,613.09,0.081,58,-0.48,-0.02,-0.5,-0.03,-0.08,-0.0,0.25,0.22,1.2
AXISBANK,19,600.0,0.096,58,-0.3,0.45,2.5,-0.32,0.0,-0.7,0.19,0.02,-0.6
LT,20,584.36,0.064,58,0.01,0.01,-0.5,0.21,0.05,-0.1,0.55,0.07,0.0
DIXON,21,572.27,0.087,58,-0.13,-0.11,0.2,0.72,0.21,0.9,1.26,0.48,3.0
HINDALCO,22,523.26,0.081,58,-0.45,0.3,1.9,-0.1,0.38,2.5,-0.08,0.43,2.9
KAYNES,23,501.58,0.1,58,-1.44,0.31,1.4,0.08,0.82,4.8,0.64,-0.06,-0.3
MUTHOOTFIN,24,472.23,0.091,58,-0.29,-0.01,-0.6,-0.53,0.55,3.4,0.08,-0.48,2.8
POWERINDIA,25,456.08,0.098,58,0.1,0.49,2.7,0.16,0.05,-0.3,-0.05,0.09,-0.1
MARUTI,26,454.5,0.051,58,-0.18,0.44,5.1,-0.09,-0.06,0.1,0.5,0.42,4.8
SHRIRAMFIN,27,450.65,0.116,58,0.07,0.14,0.1,-0.5,0.43,1.8,0.52,0.48,2.1
TITAN,28,449.78,0.09,58,-0.25,0.55,3.7,0.06,0.23,1.2,0.48,0.25,1.3
TECHM,29,431.13,0.138,58,0.32,-0.06,-0.4,-0.07,-0.39,1.2,1.21,0.5,1.7
SWIGGY,30,427.99,0.077,58,0.06,0.1,0.2,0.3,0.86,6.9,-0.28,0.26,1.6
BEL,31,423.68,0.043,58,0.28,0.02,-0.3,0.01,0.0,-0.7,0.29,0.5,7.2
TATASTEEL,32,422.69,0.066,58,-0.12,0.21,1.4,0.09,0.0,-0.7,0.39,1.35,13.1
